"MRK.5.1", "Na wɔbaa po no n'egya wɔ Gerasafo asaase do.", ""
"MRK.5.21", "Na Jesus nam hɛn no mu twae baa esuegya bio no, nyimpadodow pii behyiaa no ho: nna ɔwɔ mpoano.", ""
"MRK.5.22", "Na nhyiamudan mu mpanyimfo no mu baako a ne dzin dze Jairus bae; na ohun no no, ɔhwee n'ananadze,", ""
"MRK.5.23", "na ɔserɛɛ no pii dɛ, Me babaa kakraba ruwu: meserɛ wo, bra bɛfa wo nsa to no do, ma no ho nyɛ no dzen na onnya nkwa.", ""
"MRK.5.24", "Na ɔnye no kɔree, na nyimpadodow pii kaa no do, na wɔkyeer no do.", ""
"MRK.5.25", "Na ɔbaa bi a oenya bɔgyaagu mfe duebien,", ""
"MRK.5.26", "na oehu amandze pii wɔ eduyɛfo pii nsa, na ɔahwer dza ɔwɔ nyina, na ɔnnyɛ yie biara, na mbom sor araa na yarba no kɔ no,", ""
"MRK.5.27", "tsee Jesus ne nka no, obedzii n'ekyir nyimpadodow no mu dze ne nsa bɛkaa n'atar;", ""
"MRK.5.28", "osiandɛ ɔsee dɛ, Sɛ meka n'atar nko mpo a, mo ho bɛyɛ me dzen.", ""
"MRK.5.29", "Na ntsɛmara no bɔgya bura wewee, na ɔtsee wɔ no honam mu dɛ woeyi no mbusu no kɔ.", ""
"MRK.5.30", "Na ntsɛmara Jesus hun wɔ no mu dɛ ahoɔdzen a ɔwɔ no mu no bi efi mu no, ɔdaan noho wɔ nyimpadodow no mu see dɛ,  Woana dze ne nsa kaa m'atar?", ""
"MRK.5.31", "Na n'esuafo no see no dɛ, Ehu dɛ nyimpadodow no akyer wo do, na afei iribisa dɛ, Woana dze ne nsa kaa me yi ɛ?", ""
"MRK.5.32", "Na ɔtoo n'enyi aprɔw dɛ obohu nyia ɔyɛɛ dɛm adze no.", ""
"MRK.5.33", "Na ɔbaa no, onyim dza wɔayɛ wɔ no mu no, dze suro nye ahopopo bae botwae hwee n'enyim na ɔkaa nokwar no nyina kyerɛɛ no.", ""
"MRK.5.34", "Na ɔsee no dɛ,  Babaa, wo gyedzi agye wo: kɔ asomdwee mu, na wo ho nyɛ wo dzen mfi wo mbusu mu.", ""
"MRK.5.35", "Na Jesus da ho rekasa no, binom fi nhyiamudan mu panyin no ne fie bae bɛsee dɛ, Wo babaa no ewu: eda ho ara rehaw Kyerɛkyerɛfo no ayɛ dɛn?", ""
"MRK.5.36", "Na Jesus tsee asɛm a wɔreka no, ɔsee nhyiamudan mu panyin no dɛ,  Mma nnsuro, na gye dzi ara.", ""
"MRK.5.37", "Na ɔamma obiara kwan ma oeenndzi n'ekyir, gyedɛ Peter nye James nye John, James no nua no.", ""
"MRK.5.38", "Na wɔbaa nhyiamudan mu panyin no ne fie; na Jesus hun dɛ hɔ ayɛ gyigyeegye, na nkorɔfo rusu na wɔreka mmɔn.", ""
"MRK.5.39", "Ɔkɛhɛɛn hɔ no, ɔsee hɔn dɛ,  Ɔyɛ dɛn na hom reyɛ dede na hom rusu yi? Abofra no nnwui, na ɔada.", ""
"MRK.5.40", "Na hɔn dze, wɔsereew no twee. Na Jesus yii hɔn nyina edzi no, ɔfaa abofraba no n'egya nye ne na na ɔnye hɔn a wɔka no ho no kɔr mbrɛ abofraba no wɔ.", ""
"MRK.5.41", "Na osuoo abofraba no ne nsamu, na ɔsee dɛ,   ne nkyerɛase nye dɛ,  Akataasia, mese wo dɛ, Nyan.", "Talita, kumi:"
"MRK.5.42", "Na ntsɛmara na akataasia no soɛree na ɔnantsewee: (nna oedzi mfe duebien.) Na ntsɛmara hɔn ho boow hɔn kɛse.", ""
"MRK.5.43", "Na ɔbraa hɔn ketsee dɛ mma wɔnnka ma obiara nntse, na ɔsee dɛ wɔmma abofra no biribi ma ondzi.", ""
