"2CH.18.1", "Afei Jehosafat nyaa adze na enyidzi piigyan; na ɔnye Ahab yɛɛ asew.", ""
"2CH.18.22", "Dɛm ntsi afei, hwɛ, EWURADZE dze sunsum torfo ahyɛ wo nkɔnhyɛfo yi anomu; na EWURADZE akasa wo ho bɔn.", ""
"2CH.18.23", "Nna Kenaana ne ba Zedekia twee pinii, na ɔbɔɔ Mikaia sotɔr see dɛ, Ebɛn ɔkwan do na EWURADZE no sunsum nam fi me nkyɛn bɛkaa iyi kyerɛɛ wo?", ""
"2CH.18.24", "Na Mikaia see dɛ, Hwɛ, da no a ebɔkɔ mpiakyir pia mu dɛ irukosuma woho no na ibohu.", ""
"2CH.18.25", "Na Israelhen no see dɛ, Hom mfa Mikaia, na hom mfa no nsan nkɔ kurow no mu ambrado Amon, na ɔhen ne ba Joas nkyɛn;", ""
"2CH.18.26", "na hom nse dɛ, Mbrɛ ɔhen se nye yi, Hom mfa akowaa yi nto efiadze, na hom mfa ahohiahia edziban na ahohiahia nsu nyɛn no, na onkodu dɛ mebɛsan aba no asomdwee mu.", ""
"2CH.18.27", "Na Mikaia see dɛ, Sɛ ɔwoara esan ba no asomdwee mu ara dze a, nna nnyɛ EWURADZE na ɔnam mo do akasa. Na ɔdze sɔɔw do dɛ, Aman, hom nyinara hom ntsie dza maka yi.", ""
"2CH.18.28", "Na Israelhen no na Judahen Jehosafat fowee kɔr Ramot-gilead.", ""
"2CH.18.29", "Na Israelhen no see Jehosafat dɛ, Mebɛsakyer moho, na makɔ akono: na ɔwo dze hyɛ w’ahentar. Nna Israelhen no sakyeer noho; na wosii mu kɔr akono.", ""
"2CH.18.30", "Afei Siriahen no ahyɛ ne ntseaseanam do asafohemfo no, dɛ, Mma hom nnye kakraba anaa kɛse nnko, gyedɛ Israelhen no nkotonoo.", ""
"2CH.18.31", "Na ɔbaa dɛ, aber a ntseaseanam do asafohemfo no hun Jehosafat no, nna wɔsee dɛ, Israelhen nye no. Dɛm ntsi wotwae yeer no dɛ wɔnye no rokɔko: na Jehosafat kekaa mu, na EWURADZE boaa no: na Nyankopɔn nuu hɔn mu ma wɔdanee fii no ho.", ""
"2CH.18.32", "Na ɔbaa dɛ, aber a ntseaseanam do asafohen no hun dɛ nnyɛ Israelhen nye no, nna wogyaa no tsiw saan ekyir.", ""
"2CH.18.33", "Na ɔbarimba bi twee n’egyen mu a ɔannhyɛ da ara towee, na ɔbɔɔ Israelhen no wɔ mbɔtoamu na akatabo no ntamu: dɛm ntsi ɔsee tseaseanam kafo no dɛ, Dan wo nsa, na fa me fi dɔm yi mu; na mepira dzendzen.", ""
"2CH.18.34", "Na ɔko no mu yɛɛ dzen da no: naaso Israelhen no suoo noho mu gyinaa ne tseaseanam mu wɔ Siriafo no enyim araa dze kodur ewimbir: na bɛyɛ mber a wi rokɔtɔ no na owui.", ""
