"JER.51.1", "Mbrɛ EWURADZE se nye yi: Hwɛ, mobɔbɔ ɔsɛɛ mframa aba Babilɔn do, na hɔn a wɔtse Leb-kamai do.", ""
"JER.51.48", "Nna enyigye ntsi ɔsor na asaase, na dza ɔwɔ mu nyinara bɔtow Babilɔn ho ndwom; na afofafo befi kwaamu afamu aba no do, EWURADZE na ɔse.", "#Nyi 18.20"
"JER.51.49", "Dɛ mbrɛ Babilɔn maa Israel atɔfo hwehwee ase no, dɛmara so Babilɔn na asaase nyina hɔn atɔfoe bɔhwehwe ase wɔ hɔ.", "#Nyi 18.24"
"JER.51.50", "Hom a hom efi afona anomu, hom nduom, na mma hom nngyina komm; hom mfi ekyirekyir nkaa EWURADZE, na hom mma Jerusalɛm mbra hom adwen mu.", ""
"JER.51.51", "Hɛn enyi ato, osiandɛ yɛatse ahorbahyɛ nka; enyimguase akata hɛn enyim: osiandɛ ananaben aba EWURADZE ne fie krɔnkrɔnmbea no do.", ""
"JER.51.52", "Ɔno ntsi, hwɛ, nda reba a, EWURADZE na ɔse, mubobu ne sianhonyi nyina atsɛn; na epirafo besi nkrum wɔ n’asaase nyina do.", ""
"JER.51.53", "Sɛ Babilɔn fow kɔ sor mpo, na ɔkyekyer n’ahoɔdzen sorɔnsorɔmbea no akoban mpo a me nkyɛn ara na afofafo befir aba no do, EWURADZE na ɔse.", ""
"JER.51.54", "Nkekamu a ofi Babilɔn, na ɔsɛɛ kɛse a ofi Kaldeafo asaase do ne ndze na ɔda mu no!", ""
"JER.51.55", "Osiandɛ EWURADZE refa Babilɔn afo, na ɔma no mu ndze kɛse no sɛɛ fi mu; na hɔn asorɛkye wor dɛ esu pii na hɔn ndze gyegye huoo:", ""
"JER.51.56", "na afofanyi no aba no do, Babilɔn do a, na wɔafa ne mbarimba akatakyi no, woebubu hɔn ngyen mu esinesin: na EWURADZE yɛ ahyɛnanmu Nyankopɔn, tua ara na obotua hɔn kaw.", ""
"JER.51.57", "Na mebɛma n’asafohen na n’enyansafo, n’ambradofo na n’amampanyin na n’akatakyi no wɔabobow; na wɔbɛda daa nda prɛko, na wonnkenyan, Ɔhen a ne dzin dze dɔm EWURADZE no na ɔse.", ""
"JER.51.58", "Mbrɛ dɔm EWURADZE se nye yi: Babilɔn afasu atɛtɛr no, wobodwuruw no pasaa, na wɔdze ogya ahyew no mbobotsen atsentsen no; na ɔman no bɛberɛ ama egyangyandze, na amanaman no aberɛ ama ogya; na wɔbɔtɔ bahaw.", ""
"JER.51.59", "Asɛm a nkɔnhyɛnyi Jeremia dze hyɛɛ Maseia ba Neria ne ba Seraia, ber a ɔnye Judahen Zedekia kɔr Babilɔn wɔ n’ahendzi afe a otsia anan no mu nye yi. Afei na Seraia yɛ gyaasehen.", ""
"JER.51.60", "Na Jeremia kyerɛɛw mbusu a ɔbɛba Babilɔn do nyina hyɛɛ nwoma mu, mekyerɛ nsɛm a wɔakyerɛw no wɔ Babilɔn ho yi nyina.", ""
"JER.51.61", "Na Jeremia see Seraia, dɛ, Sɛ idu Babilɔn a, ɔno hwɛ na kenkan nsɛm yi nyina,", ""
"JER.51.62", "na se dɛ, EWURADZE, ɔwo na akasa bea yi ho dɛ ibotwa no akyen, amma obiara aanntsena mu, nyimpa o, abowa o, na mbom dɛ ɔnyɛ amamfo ara daa.", ""
"JER.51.63", "Na ɔmbra dɛ sɛ iwie nwoma yi kenkan a, fa ɔbo kyekyer ho, na tow kyen Eufrates mu:", ""
"JER.51.64", "na ka dɛ, Dɛm na Babilɔn bɔdɔ, na onnkopue bio wɔ mbusu a medze mebɛba do no ntsi: na wɔbɔtɔ bahaw. Mbrɛ Jeremia nsɛm yi pem nye ha.", ""
