"JER.23.1", "Ndom nka nguanhwɛfo a wɔsɛɛ m'edzidzibea do nguan na wɔbɔ hɔn petse no! EWURADZE na ɔse.", ""
"JER.23.30", "Dɛm ntsi hwɛ, menye nkɔnhyɛfo no enya, EWURADZE na ɔse, hɔn a wowiawia m'asɛm wɔ hɔn nsɛfo nkyɛn no.", ""
"JER.23.31", "Hwɛ, EWURADZE na ɔse, menye nkɔnhyɛfo a wɔdze hɔn tɛkyerɛma ka dɛ, Ɔno na ɔse, no enya.", ""
"JER.23.32", "Hwɛ, menye hɔn a wɔhyɛ ator adaa ho nkɔm no enya, EWURADZE na ɔse, na wɔkeka kyerɛ, na wɔdze hɔn atorsɛm na hɔn ntuw hun ma me man wɔfom: naaso mannsoma hɔn, eso mannhyɛ hɔn; eso wɔrennyɛ mfaso bi mma ɔman yi koraa, EWURADZE na ɔse.", ""
"JER.23.33", "Na sɛ ɔman yi, anaa nkɔnhyɛnyi no, anaa ɔsɔfo bi bisa wo dɛ, EWURADZE adzesoa nye bɛn a? Ɔno se hɔn dɛ, Adzesoa bɛn a? Mobɔtow hom egu, EWURADZE na ɔse.", ""
"JER.23.34", "Na nkɔnhyɛnyi, na ɔsɔfo, na ɔman a wɔbɛka dɛ, EWURADZE n'adzesoa no, dze, mebɛtsea nyimpa no na ne fi mpo.", ""
"JER.23.35", "Mbrɛ hom mu obiara nka nkyerɛ ne nyɛnko, na obiara nka nkyerɛ no nua nye yi, Ebɛnadze na EWURADZE ebua? Na, ebɛn asɛm na EWURADZE aka?", ""
"JER.23.36", "Na EWURADZE adzesoa no dze, mma hom mmbɔ dzin bio, na obiara noara n'asɛm bɛdan no adzesoa; osiandɛ hom esi tseasefo Nyankopɔn, dɔm EWURADZE, hɛn Nyankopɔn no ne nsɛm tsir adze.", ""
"JER.23.37", "Dɛm na hom nse nkɔnhyɛnyi no, Ebɛn na EWURADZE dze ebua wo? Asɛm bɛn na EWURADZE aka?", ""
"JER.23.38", "Na sɛ hom se dɛ, EWURADZE n'adzesoa a; dɛm ntsi mbrɛ EWURADZE se nye yi: Osiandɛ hom ka asɛm yi, dɛ, EWURADZE n'adzesoa, na emi na masoma wɔ hom nkyɛn, dɛ, Mma hom nnka dɛ, EWURADZE n'adzesoa;", ""
"JER.23.39", "dɛm ntsi, hwɛ, mo werɛ befir hom korakora, na matow hom na kurow a medze maa hom na hom egyanom no efi m'enyim akyen:", ""
"JER.23.40", "na medze daa ahorohoraa, na daa enyito a werɛ nnkefir da, mebɛba hom do.", ""
