"JER.50.1", "Asɛm a EWURADZE nam nkɔnhyɛnyi Jeremia do kaa tsiaa Babilɔn wɔ Kaldeafo asaase ho no.", ""
"JER.50.23", "Mbrɛ woetwitwa na woebubu asaase nyina hamɛr no mu esinesin a! Mbrɛ Babilɔn edua adan amamfo wɔ amanaman mu a!", ""
"JER.50.24", "Babilɔn, mesua wo efir na wɔapa wo so, na ɔwoara ennhu: woehu wo, na wɔakyer wo so, osiandɛ enye EWURADZE edzi aperper.", ""
"JER.50.25", "EWURADZE ebua n'akoradze dan na woeyi n'ebufuhyew akodze epue: osiandɛ EWURADZE, dɔm EWURADZE no, wɔ dwuma bi dzi wɔ Kaldeafo asaase do.", ""
"JER.50.26", "Hom mfir mfɛndzanan mbra no do, hom mbuebue n'eburosan no: hom ntutu no ngu dɛ efiefi, na hom nsɛɛ no huntuhuntu: mma hom mma no mu biribi nnka.", ""
"JER.50.27", "Hom nkuku n'anantwinyin nyina; hom mma wɔnsan nkɔ ekumii. Wondue! Osiandɛ hɔn da edu, hɔn asotweber no a.", ""
"JER.50.28", "Hom ntsie hɔn a woguan na wofi nsa fi Babilɔn asaase do, dɛ wɔrekɛpaa mu aka EWURADZE hɛn Nyankopɔn n'awerdzi, n'asɔrfi ho awerdzi akyerɛ no hɔn ndze.", ""
"JER.50.29", "Hom mfrɛ egyentofo no nyinara nkɔtoatoa Babilɔn, hɔn a wɔkontom egyen no nyinara; hom mbɔ nseraban ntwa no ho nhyia; mma hom mma no mu obiara mmfi nsa: hom nsusu n'edwuma do nhyɛ no ananmu; dɛ mbrɛ ɔno ɔayɛ nyinara no, hom so nyɛ no bi: osiandɛ ɔayɛ EWURADZE no do nkontompɔ, Israel Krɔnkrɔnnyi no do a.", ""
"JER.50.30", "Dɛm ntsi na ne mberantsɛ bɔtotɔ n'abrɔn do, na wɔbɛma ne mbarimba akofo nyinara wɔayɛ foo wɔ da no mu, EWURADZE na ɔse.", ""
"JER.50.31", "Hwɛ, ɔwo ɔkontompɔnyi, menye wo enya, EWURADZE, dɔm Ewuradze no na ɔse: osiandɛ wo da no edu, ber a medze bɔtwe w'aso no a.", ""
"JER.50.32", "Na ɔkontompɔnyi no befintsiw na ɔahwe ase, na obiara remma no do: na mubokua gya wɔ no kurow no mu, na ɔahyew dza abɔ no ho aprɔw nyinara.", ""
"JER.50.33", "Mbrɛ dɔm EWURADZE se nye yi: wɔatseetsee Israelmba na Juda prɛko: na hɔn a wɔfaa hɔn ndɔmmum nyina dzedze hɔn mu dzen; wɔpow dɛ wɔbɛma wɔakɔ.", ""
"JER.50.34", "Hɔn pomfo yɛ dzen; ne dzin dze dɔm EWURADZE: obedzi hɔn asɛm kofekofe ama hɔn, na ɔama asaase no ahomgye, na ɔahyɛ Babilɔnfo no ahomtsew.", ""
"JER.50.35", "Afona wɔ Kaldeafo do, EWURADZE na ɔse, na Babilɔnfo no do, na n'asafohen na n'enyansafo no do.", ""
"JER.50.36", "Afona wɔ ahohyehyɛfo no do, na wɔbɛyɛ akwasampafo! Afona wɔ hɔn mbarimba akatakyi no do, na hɔn akoma botutu.", ""
"JER.50.37", "Afona wɔ hɔn mpɔnkɔ na hɔn ntseaseanam do, na aforaforafo a wɔwɔ no mu no nyina do, ama wɔaayɛ dɛ mbaa: afona wɔ n'akoradze do, ama woeewia.", ""
"JER.50.38", "Weseeyɛ wɔ n'esu do, na wɔbɔwewew: osiandɛ ɔyɛ ehonyi a woesian asaase, na wɔabobɔ adam wɔ abosom ho.", ""
"JER.50.39", "Dɛm ntsi sar do mbowa abɔyafo wɔnye mpataku bɛtsena wɔ hɔ, na nsohor bɛtsena mu: na wɔrenntsena do bio dabiarada; eso wɔrenntsena do bio ofi ebusuasantsen kɛpem ebusuasantsen.", ""
"JER.50.40", "Dɛ mbrɛ Nyankopɔn butuuw Sodom na Gomora na hɔn ho nkurow no, EWURADZE na ɔse; dɛmara so na nyimpa biara renntsena hɔ, eso nyimpa biara rennyɛ ɔmamforanyi wɔ hɔ.", ""
"JER.50.41", "Hwɛ, ɔman bi fi kwaamu afamu reba; na wobekenyan ɔman kɛse, na ahemfo pii efi asaase ne mfɛndzanan noho.", ""
"JER.50.42", "Wokurakura egyen na peaa; hɔn tsir yɛ dzen, na wonnyi ehumbɔbɔr; hɔn ndze wor dɛ po, na wɔtsetse mpɔnkɔ do; obiara etwa mpasuar, dɛ ɔbarimba a ɔrokɔ akono wɔ wo do, Ao Babilɔn babaa!", ""
"JER.50.43", "Babilɔnhen atse hɔn nka, na n'abaw egura: nketsenketse akyer no, na yaw a ɔtse dɛ ɔbaa a ɔwɔ awoko mu.", ""
"JER.50.44", "Hwɛ, ɔbɔfow dɛ gyata fi Jordan ne ntsɛn no mu abɛtsena bea a ɔyɛ dzen no do, na mebɛma woeguan efi me nkyɛn awerɛfir mu; na obiara a wɔasan mu eyi no no, ɔno na medze no besi no do: na woana na ɔtse dɛ emi? Woana na ɔbɛhyɛ me mber? Woana nye oguanhwɛfo no a obegyina m'enyim no?", ""
"JER.50.45", "Dɛm ntsi hom ntsie EWURADZE n'apam a ɔapam etsia Babilɔn no; na ne tsirmpɔw a ɔabɔ etsia Kaldeafo asaase no: Ampaara wobotwuw hɔn adze akɔ, mekyerɛ nguankuw mu nkakraba no; ampaara ɔbɛma hɔn tsenabea ayɛ amamfo ama hɔn.", ""
"JER.50.46", "Babilɔn ne gye ne dede ntsi, asaase wosow, na wɔtse nkekamu no wɔ amanaman mu.", ""
