"JER.2.1", "Na EWURADZE n’asɛm baa mo hɔ, dɛ,", ""
"JER.2.26", "Dɛ mbrɛ owifo wɔkyer no a, n’enyi to no, dɛmara so na Israelmba hɔn enyi ato; hɔn, hɔn ahemfo, hɔn mbapɔmba, hɔn asɔfoe, nye hɔn nkɔnhyɛfo a", ""
"JER.2.27", "wɔse dusin dɛ, Ɔwo nye m’egya; na ɔbo dɛ, Ɔwo na awo me no: na hɔn ekyir na wɔadandan ama me, na nnyɛ hɔn enyim a: naaso hɔn fonaber mu dze wɔse dɛ, Soɛr na gye hɛn nkwa.", ""
"JER.2.28", "W’abosom a ayɛ ama woho no wɔ henfa? Ma wɔnsoɛr ɛ, sɛ wobotum agye wo nkwa wɔ wo fonaber mu a: na, Juda e, w’abosom hɔn dodow tse dɛ wo nkurow dodow ano.", ""
"JER.2.29", "Ɔyɛ dɛn ntsi na hom hwinhwin tsia me yi? Hom nyinara afomfom etsia me, EWURADZE na ɔse.", ""
"JER.2.30", "Ɔkwa ara nna mabobɔ hom mba; wɔammfa mu esuadze biara: homankasa hom afona na ɔamemen hom nkɔnhyɛfo dɛ ogyata a ɔsɛɛ adze.", ""
"JER.2.31", "Mbasantsen, hom nhwɛ EWURADZE n’asɛm, Aso madan sar ama Israel? Anaa sumpɔrwa asaase? Ebɛnadze ntsi na me man se dɛ, Yɛatsew ahoma; yɛnnkɛba wo nkyɛn ara bio yi?", ""
"JER.2.32", "Aso ɔbɛyɛ dɛ ababaawa no werɛ befir n’ahyehyɛdze, anaa ayefor no werɛ befir n’efuradze? Naaso me man dze, hɔn werɛ efir me nda pii a wɔkan a ɔnnyɛ.", ""
"JER.2.33", "Mbrɛ isiesie wo kwan kɔhwehwɛ ɔdɔ a! Dɛm ntsi mbaa emumuyɛfo mpo akyerɛkyerɛ hɔn wo kwan.", ""
"JER.2.34", "Eso w’atar ano na wohu abɔbɔfo a wodzi bem hɔn akra bɔgyaa; nnyɛ dɛ ihun hɔn dɛ worububu adan mu, naaso yinom nyinara ekyir no,", ""
"JER.2.35", "ese dɛ, Midzi bem; ampaara n’ebufuw adan efi mo do. Hwɛ, medze wo bɛba asɛndzii, osiandɛ ese dɛ, Mennyɛɛ bɔn.", ""
"JER.2.36", "Ɔyɛ dɛn ntsi na ebɔ awonama pii dɛm dɛ ebɛsesa wo kwan? Egypt bɛma w’enyi ato, dɛ mbrɛ ato Asiria maa w’enyi toe no.", ""
"JER.2.37", "Hɔ so na ibefir edzi akɔ, dɛ wo nsa bɔ w’etsifi: osiandɛ EWURADZE apow w’awerɛhyɛmu, na innkowie yie wɔ hɔn mu.", ""
