"EZK.43.1", "N’ekyir no ɔdze me baa abobokɛse no ano, abobokɛse no a ɔhwɛ boka afamu no a:", ""
"EZK.43.13", "Na afɔrmbukyia no no nsusui wɔ basafa mu nye yinom; (basafa kor yɛ basafa na nsatseama:) n’ase nyɛ bɛyɛ anamɔn kor na fa, na ne tɛtɛr anamɔn kor na fa, na n’anoano a ɔbɔ ho aprɔw hyia no nyɛ nsatseama kor: na iyi nyɛ afɔrmbukyia no n’ase.", "#Eks 27.1, 2; 2 Mbe 4.1"
"EZK.43.14", "Na ofi ngyinado no do dze kesi bamba kakraba no do ɔnyɛ basafa kor, na ne tɛtɛr bɛyɛ anamɔn kor na fa; na ofi bamba kakraba no do dze kesi bamba kɛse no do ɔnyɛ basafa ebien, na ne tɛtɛr bɛyɛ anamɔn kor na fa.", ""
"EZK.43.15", "Na afɔrmbukyia sor dze no nyɛ basafa ebien; na ofi afɔrmbukyia gyakuabea dze kɔ sor no ɔnyɛ mmbɛn anan.", ""
"EZK.43.16", "Na afɔrmbukyia gyakuabea no ne tsentsen nyɛ basafa esia na ne tɛtɛr esia, n’eduodoo anan no nyɛ etwaanan.", ""
"EZK.43.17", "Na bamba no ne tsentsen nyɛ basafa esuon na ne tɛtɛr esuon wɔ n’eduodoo anan no do; na n’ano a otwa ho hyia no nyɛ bɛyɛ anamɔn kor; na n’ase no nyɛ anamɔn kor na fa ntwa ho nhyia; na n’atwer no nhwɛ boka afamu.", ""
"EZK.43.18", "Na ɔsee me dɛ, Onyimpa ba, mbrɛ EWURADZE Nyankopɔn se nye iyi: Yinom nye afɔrmbukyia no ho ahyehyɛdze wɔ da a wɔbɛyɛ no, dɛ wɔbɔbɔ hyew afɔr wɔ do, na wɔapetse bɔgya wɔ do.", "#Eks 29.35-37"
"EZK.43.19", "Asɔfo Levifo a wofi Zadok asefo mu a wɔbɛn me dɛ wɔsom no mu, EWURADZE Nyankopɔn na ɔse, fa nantwifɔr kor ma hɔn ma wɔmfa mbɔ bɔn ho afɔr.", ""
"EZK.43.20", "Na fa no bɔgyaa no bi, na fa keka ne mmbɛn anan no, na ne bamba no n’aduodoo anan no, na n’anoano a ɔbɔ ho aprɔw no ho: dɛm na fa tsew ho na pata ma no.", ""
"EZK.43.21", "Na fa bɔn ho afɔr nantwi no so na ɔnhyew no wɔ fi no beebi a wɔahyɛ ato hɔ wɔ krɔnkrɔnbea no ekyir.", ""
"EZK.43.22", "Na da a otsia ebien no, fa apɔnkyenyin a onndzi dzɛm bra bɔbɔ bɔn ho afɔr; na wɔmfa ntsew afɔrmbukyia no ho, dɛ mbrɛ wɔdze nantwisaa no tseew ho no.", ""
"EZK.43.23", "Sɛ iwie ho tsew a, fa nantwifɔr a onndzi dzɛm, na nguankuw no mu dwanyin a onndzi dzɛm bɔbɔ afɔr.", ""
"EZK.43.24", "Na fa hɔn bra EWURADZE enyim, na asɔfo no mfa nkyen ngugu hɔn do, na wɔmfa mbɔ hyew afɔr mma EWURADZE.", ""
"EZK.43.25", "Da biara siesie apɔnkye bɔ bɔn ho afɔr araa nda esuon: wonsiesie nantwifɔr so, na nguankuw mu dwanyin a onndzii dzɛm.", ""
"EZK.43.26", "Nda esuon na wɔmpata mma afɔrmbukyia no na wɔntsew ho; wɔmfa no dɛm ntu nhyɛ nsa.", ""
"EZK.43.27", "Na sɛ wowie nda no dzi a, ɔmbra dɛ ne da a otsia awɔtwe no, na ɔdze kɔ no, asɔfo no mbɔ hom hyew afɔr na hom asomdwee afɔr no wɔ afɔrmbukyia no do; na m’enyi bɔsɔ hom, EWURADZE Nyankopɔn na ɔse.", ""
