"EZK.16.1", "EWURADZE n'asɛm baa mo hɔ bio, dɛ,", ""
"EZK.16.40", "Wɔbɔbɔ ngua wɔ wo do so, na woesiw wo abo, na wɔdze hɔn mfona ehwirahwira wo mu.", ""
"EZK.16.41", "Na wɔdze gya bɛhyew w'adan, na woebua wo atsɛn wɔ mbaa pii enyim; na mebɛma egyaa ndwamangor, na eremma apɛdze so ara bio.", ""
"EZK.16.42", "Nna mebɛma m'ebufuhyew adwe wɔ wo do, na me nyinkuntwe efi wo do, na mayɛ komm, na mo bo rummfuw bio.", ""
"EZK.16.43", "Osiandɛ annkaa wo mbofraber mu nda no, na ahow mo werɛ wɔ ndzɛmba yinom nyina mu ntsi; dɛm ntsi hwɛ, mo so medze wo kwan bobua w'etsifi, EWURADZE Nyankopɔn na ɔse: na mma nnyɛ ndwamandze yi mmbɔ w'ekyiwadze nyina do.", ""
"EZK.16.44", "Hwɛ, obiara a obubu mbɛ no, obobu bɛ yi etsia wo, dɛ, Mbrɛ na tse no, mbrɛ ne babaa so tse ara nye no.", ""
"EZK.16.45", "Wo na ne babaa nye wo, ɔno a okyir no kun na ne mba no, na wo nkyerɛbaa hɔn akyerɛbaa nye wo, hɔn a wokyir hɔn kunnom na hɔn mba no: wo na yɛ Hitinyi, na w'egya yɛ Amorinyi.", ""
"EZK.16.46", "Na w'akyerɛbaa panyin nye Samaria a ɔtse w'abankum, ɔno na ne mbabaa: na w'akyerɛbaa kakraba a ɔtse w'abanyimfa no, ɔno nye Sodom na ne mbabaa.", ""
"EZK.16.47", "Naaso emmfaa hɔn akwan do, eso ennyɛɛ hɔn ekyiwadze no bi: mbom, mber kakraabi ntamu no, ɔwo esɛɛe seen hɔn wɔ w'akwan nyina mu.", ""
"EZK.16.48", "Dɛ metse ase yi, EWURADZE Nyankopɔn na ɔse, W'akyerɛbaa Sodom, ɔno na ne mbabaa, ɔnnyɛɛ dza ayɛ yi, ɔwo na wo mbabaa.", ""
"EZK.16.49", "Hwɛ, iyi nye w'akyerɛbaa Sodom n'emumuyɛ; ntsɛn, edzidzimee, na ahotɔ dwudwoodwo mu na ɔno na ne mbabaa wɔtsena; eso ɔannhyɛ abɔbɔfo na hianyi nsa dzen.", ""
"EZK.16.50", "Na wɔyɛɛ ahopɔw, na wɔyɛɛ ekyiwadze wɔ m'enyim: dɛm ntsi miyiyii hɔn wɔ hɔ dɛ mbrɛ mohwɛ a oye.", ""
"EZK.16.51", "Eso Samaria nnyɛɛ wo bɔn mu fa; mbom ɔwo ama w'ekyiwadze adɔɔ so akyɛn hɔn, na edze w'ekyiwadze a ayɛ no nyinara ebu wo nkyerɛbaa bem.", ""
"EZK.16.52", "Ɔwoara so, soa woara w'enyito, dɛ ebu atsɛn ama wo nkyerɛbaa; ɔnam wo bɔn a edze ayɛ ekyiwadze asen hɔn no ntsi, hɔn ho tsew sen wo: nyew, ma w'enyim ngu ase so, na soa w'enyito, wɔ dɛ ebu wo nkyerɛbaa bem.", ""
"EZK.16.53", "Na medze hɔn ndɔmmumkɔ, Sodom na ne mbabaa hɔn yieyɛ, na Samaria na ne mbabaa hɔn yieyɛ, na wo yieyɛ a wɔwɔ hɔn mu no hɔn yieyɛ bɛsan aba:", ""
"EZK.16.54", "ama ɔwoara asoa woara w'enyito, na w'enyi ato wɔ dza ayɛ nyinara ntsi, wɔ dɛ eyɛ akyekyewerɛ ma hɔn no.", ""
"EZK.16.55", "Wo nkyerɛbaa, Sodom na ne mbabaa bɛsan aba hɔn asetsena dadaw no mu, na Samaria na ne mbabaa aba hɔn asetsena dadaw no mu, na ɔwo na wo mbabaa bɛsan aba hom asetsena dadaw no mu.", ""
"EZK.16.56", "Na wo nkontompɔ da no mu no, ammfa w'ano ammbɔ w'akyerɛbaa Sodom ne dzin;", ""
"EZK.16.57", "ansaana woyi w'emumuyɛ edzi no, dɛ ber a Siria mbabaa, na hɔn a woetwa no ho ehyia nyina, Filistiafo mbabaa a woyii wo ehi bɔɔ wɔ aprɔw no, wɔsopaa wo no.", ""
"EZK.16.58", "Ɔwo asoa wo ndwamandze na w'ekyiwadze no, EWURADZE na ɔse.", ""
"EZK.16.59", "Na mbrɛ EWURADZE Nyankopɔn se nye iyi: Menye wo bedzi no dɛ mbrɛ ayɛ no ara, ɔwo a ebu ntam no tootooba, edze ato ahyɛmu no.", ""
"EZK.16.60", "Naaso emi dze, mebɛkaa m'ahyɛmu a menye wo dzii wɔ wo mbofraber nda no mu no, na mebɛma daa ahyɛmudzi etsim hɔ ama wo.", ""
"EZK.16.61", "Ɔno na ebɛkaa w'akwan no, na w'enyi ato, ber a ebɛgye wo nkyerɛbaa, wo nkyerɛbaa mpanyin na nkakraba no: na medze hɔn ayɛ mbabaa ama wo, na ɔnnam w'ahyɛmudzi no do.", ""
"EZK.16.62", "Na mebɛma menye wo ahyɛmudzi no egyina; na ibohu dɛ emi nye EWURADZE:", ""
"EZK.16.63", "ama aakaa, na w'enyim eegu ase, na eemmbue w'ano da biara bio, wɔ w'enyito ntsi; ber a medze dza ayɛ nyinara efir wo no, EWURADZE Nyankopɔn na ɔse.", ""
