"EZK.33.1", "Na EWURADZE n'asɛm baa mo hɔ, dɛ,", ""
"EZK.33.13", "Sɛ mese tseneneenyi dɛ obenya nkwa ara ampa a; sɛ ɔtwer ne ndzeyɛtsenenee, na ɔyɛ emumuyɛ a, wɔrennkaa ne ndzeyɛtsenenee no mu biara; na emumuyɛ a ɔayɛ no, ɔnoara mu na obowu.", ""
"EZK.33.14", "Bio, sɛ mese mumuyɛnyi dɛ, Owu na ibowu; na sɛ ɔsan fi no bɔn ho, na ɔyɛ dza ɔfa mbra mu na ɔtsen a;", ""
"EZK.33.15", "sɛ mumuyɛnyi no dan ahobadze no ma, ɔhyɛ dza owiae no ananmu, ɔnantsew nkwa ahyɛdze no do, dɛ ɔnnyɛ emumuyɛdze a; nkwa ara na obenya, orunnwu.", ""
"EZK.33.16", "Wɔrennkaa no bɔn a ɔayɛ no mu biara nntsia no: ɔayɛ dza ɔfa mbra mu na ɔtsen; nkwa ara na obenya.", ""
"EZK.33.17", "Naaso wo man ne mba no wɔse dɛ, EWURADZE n'amambu nnsaa: na hɔn dze, hɔnara na hɔn amambu nnsaa.", ""
"EZK.33.18", "Sɛ tseneneenyi san fi ne ndzeyɛtsenenee ho, na ɔyɛ emumuyɛ a, no mu ara na obowu.", ""
"EZK.33.19", "Na sɛ mumuyɛnyi san fi n'emumuyɛ ho, na ɔyɛ dza ɔfa mbra mu na ɔtsen a, ɔnam do benya nkwa.", ""
"EZK.33.20", "Naaso hom ka dɛ, EWURADZE n'amambu nnsaa. Israel fifo, mubobu hom atsɛn dɛ mbrɛ hom mu biara n'abrabɔ tse.", ""
"EZK.33.21", "Na ɔbaa dɛ hɛn ndɔmmumkɔ afe a otsia duebien no, bosoom a otsia du no, bosoom no ne da a otsia enum no mu, na obi a oguanee fi Jerusalɛm mu baa mo hɔ, dɛ; Wɔabɔ kurow no.", "#2 Ahe 25.3-10; Jer 39.2-8; 52.4-14"
"EZK.33.22", "Afei EWURADZE nsa baa mo do ewimbir no, ansaana nyia oguanee no reba; aber a ɔbaa mo hɔ anapa no, nna oebue m'ano dada; na m'ano buei na mutumii kasaa bio.", ""
"EZK.33.23", "Na EWURADZE n'asɛm baa mo hɔ, dɛ,", ""
"EZK.33.24", "Onyimpa ba, hɔn a wɔtse Israel asaase do ekurofo mu no ka dɛ, Abraham yɛ ɔbaakofo, na onyaa asaase no tsenaa do: na hɛn dze, yɛdɔɔ so; wɔdze asaase no ama hɛn dɛ egyapadze.", ""
"EZK.33.25", "Dɛm ntsi se hɔn dɛ, Mbrɛ EWURADZE Nyankopɔn se nye iyi: Hom dze bɔgya ka ho dzidzi, na hom ma hom enyi do hwɛ hom abosom, na hom ka bɔgya gu: aso hom bɛfa asaase no ayɛ homdze?", ""
"EZK.33.26", "Hom gyinagyina hom afona do, hom yɛ ekyiwadze, na hom mu biara gu ne nyɛnko yer ho fi: aso hom bɛfa asaase no ayɛ homdze?", ""
"EZK.33.27", "Mbrɛ ka kyerɛ hɔn nye yi, Mbrɛ EWURADZE Nyankopɔn se nye iyi: Metse ase yi, ampaara hɔn a wɔwowɔ ekurofo no do no bɔtotɔ afona ano, na nyia ɔwɔ haban petee mu no, medze no bɛma mbowa ma woeedzi, na hɔn a wɔwowɔ aban adzendzen na etu mu no, wobowuwu yardɔm ano.", ""
"EZK.33.28", "Na mebɛma asaase no ayɛ amamfo na ahobowdze, na no tum no nkontompɔ no bɔbɔ adze; na Israel mbepɔw bɛyɛ afo, ma biara runndua do.", ""
"EZK.33.29", "Nna wobohu dɛ emi nye EWURADZE, ber a mayɛ asaase no amamfo na ahobowdze no, osian hɔn ekyiwadze nyinara a wɔayɛ ntsi.", ""
"EZK.33.30", "Na ɔwo, onyimpa ba dze, wo man ne mba keka wo ho asɛm wɔ afasu ho na adan mbobow ano, na obi kasa kyerɛ obi, biara na no nua, dɛ, Meserɛ hom, hom mbra mbetsie asɛm kor a ofi EWURADZE nkyɛn aba.", ""
"EZK.33.31", "Na wɔba wo nkyɛn dɛ man bi ba, na wɔtsenatsena w'enyim dɛ me man, na wotsie wo nsɛm, na wɔnnyɛ: osiandɛ wɔdze hɔn ano kyerɛ dɔ pii, naaso hɔn akoma dze, odzi hɔn mfaso ekyir.", ""
"EZK.33.32", "Na, hwɛ, etse dɛ obi a ne ndze fenemfenem na onyim sanku bɔ papaara, no ndwom dɛdɛɛdɛw ma hɔn: osiandɛ wɔtse wo nsɛm, naaso wɔnnyɛ.", ""
"EZK.33.33", "Na sɛ iyi ba mu a, (hwɛ, ɔbɛba,) nna wobohu dɛ nkɔnhyɛnyi atsena hɔn mu pɛn.", ""
