"EZK.34.1", "Na EWURADZE n’asɛm baa mo hɔ, dɛ,", ""
"EZK.34.12", "Dɛ mbrɛ guanhwɛfo tsiw no nguankuw wɔ da a ɔaba no nguan a wɔabɔ hɔn apetse mbeambea no mu no, dɛmara so na mibetsiw mo nguan; na mibeyi hɔn efi mbeambea nyina a wɔabɔ hɔn apetse hɔ no wɔ mununkum na sum da no mu.", ""
"EZK.34.13", "Na mibeyi hɔn mefi aman mu, na maboaboa hɔn ano mefi nkurow nkurow do, na medze hɔn aba hɔnara hɔn asaase do; na manyɛn hɔn wɔ Israel mbepɔw do esuka no nkyɛn, nye asaase no do tsenabea nyina.", ""
"EZK.34.14", "Na medze edzidzidze pa mebɛnyɛn hɔn, na Israel mbepɔw atsentsen do bɛyɛ hɔn nguamban: hɔ na wobobutubutuw nguamban pa mu, na edzidzibea a ɔatɔ seradze mu na wobedzidzi wɔ Israel mbepɔw do.", ""
"EZK.34.15", "Emi mara mebɛnyɛn mo nguan, na mama woebutubutuw famu, EWURADZE Nyankopɔn na ɔse.", ""
"EZK.34.16", "Mobɔhwehwɛ dza ɔyewee no, na medze dza wɔpaam no no asan aba, na makyekyer dza wobubui no, na mahyɛ dza ɔyaree no dzen: na mebɛsɛɛ dza ɔadɔ seradze na dza ɔyɛ dzen no; mebɛnyɛn hɔn atsɛmbu mu.", ""
"EZK.34.17", "Na hom, mo nguankuw dze, mbrɛ EWURADZE Nyankopɔn se nye iyi: Hwɛ, murubu nantwi na nantwi ntamu atsɛn, na nguannyin na mpɔnkyenyin ntamu so.", ""
"EZK.34.18", "Aso ɔyɛ adze kakraba ma hom dɛ hom dzidzi edzidzibea pa do, na hom edzidzibea nkaa no dze, tsiatsia ara na hom tsiatsia do? Hom nom nsu a agyen, na nkaa no dze, hom dze hom anan fon no?", ""
"EZK.34.19", "Na mo nguan dze, wodzi dza hom dze hom anan etsiatsia do, na wɔnom dza hom dze hom anan afon no.", ""
"EZK.34.20", "Dɛm ntsi mbrɛ EWURADZE Nyankopɔn ka kyerɛ hɔn nye yi: Hwɛ, emi, marankasa, mubobu nantwi a ɔadɔ seradze na nantwi a ɔafɔn ntamu atsɛn.", ""
"EZK.34.21", "Osiandɛ hom dze hom nkyɛnmu na hom abatsir sunsun, na hom dze hom mmbɛn sesɛ ayarfo nyina, kodu dɛ hom abɔ hɔn apetse mbeambea ntsi;", ""
"EZK.34.22", "dɛm ntsi mebɛgye mo nguankuw nkwa, na wɔrennyɛ afonam bio; na mubobu nantwi na nantwi ntamu atsɛn.", ""
"EZK.34.23", "Na medze guanhwɛfo kor mibesi hɔn do, na ɔanyɛn hɔn, m’akowaa David a; ɔbɛnyɛn hɔn, na ɔayɛ hɔn guanhwɛfo.", "#Nyi 7.17"
"EZK.34.24", "Na emi EWURADZE mebɛyɛ hɔn Nyankopɔn, na m’akowaa David ayɛ hɔn mu safohen; emi EWURADZE na maka.", "#Eze 37.24"
"EZK.34.25", "Na menye hɔn bedzi asomdwee ahyɛmu, na mama mbowa bɔn efi asaase no do: na wɔbɛtsena sar do dwudwoodwo, na wɔadeda kwaa mu.", ""
"EZK.34.26", "Na mebɛma hɔn na mbeambea a wɔdeda mo koko ho hyia no ayɛ nhyira; na mebɛma nyankom atɔ wɔ ne ber mu; ɔbɛyɛ nhyira nyankom.", ""
"EZK.34.27", "Na haban mu dua bɔsow n’aba, na asaase beyi no ndɔbaa, na wɔbɛyɛ sɔkyee wɔ hɔn asaase do; na wobohu dɛ emi nye EWURADZE, ber a mebubu hɔn kɔndua ne mbeabeamu no, na meyi hɔn mefi hɔn a wodzii hɔn nya no nsa.", ""
"EZK.34.28", "Na wɔrennda ho nnyɛ amanaman afonam bio, eso asaase do abowa remmemen hɔn; na wɔbɛtsena hɔ dwudwoodwo, na biara nnkɛma hɔn bo etu.", ""
"EZK.34.29", "Na mibesiesie kwa a ɔyɛ atsenka ama hɔn, na kɔm runnku hɔn bio wɔ asaase no do, anaa so wɔronnsoa abosonsɔrfo hɔn enyito bio.", ""
"EZK.34.30", "Na wobohu dɛ emi EWURADZE hɔn Nyankopɔn menye hɔn tse, na dɛ hɔn, Israel fifo, wɔyɛ me man, EWURADZE Nyankopɔn na ɔse.", ""
"EZK.34.31", "Na hom mo nguan, m’edzidzibea do nguan, hom yɛ nyimpa, na emi nye hom Nyankopɔn, EWURADZE Nyankopɔn na ɔse.", ""
