"EZK.44.1", "Nna ɔdze me faa krɔnkrɔn bea abobokɛse no a ɔhwɛ boka afamu no sanee bae; na wɔtoow mu.", ""
"EZK.44.12", "Osiandɛ wɔsoom hɔn wɔ hɔn abosom enyim, na wɔbɛyɛɛ emumuyɛ fintsidua maa Israel fifo ntsi; mama me nsa do wɔ hɔn do, EWURADZE Nyankopɔn na ɔse, na wɔbɔsoa hɔn emumuyɛ.", ""
"EZK.44.13", "Na wɔronntwe mmbɛn me mmbɛyɛ asɔfo dwuma mma me, eso wɔremmbɛn m’akrɔnkrɔndze mu biara, n’akrɔnkrɔndze mu akrɔnkrɔndze no a: na mbom wɔbɔsoa hɔn enyimguase, na hɔn atantandze a wɔayeyɛ no.", ""
"EZK.44.14", "Naaso mebɛyɛ hɔn fi no n’ahwɛdodze no do ahwɛfo, wɔ no mu som nyina, na dza wɔyɛ wɔ mu nyina ho.", ""
"EZK.44.15", "Na asɔfo Levifo, Zadokmba no a wɔhwɛɛ mo krɔnkrɔnbea ahwɛdze no, ber a Israelmba bɔɔ ko fii me nkyɛn no, hɔnara na wɔbɛbɛn me abɔsom me; na wobegyina m’enyim wɔdze angoa na bɔgya abɔ afɔr ama me, EWURADZE Nyankopɔn na ɔse.", ""
"EZK.44.16", "Wɔbɛhɛn mo krɔnkrɔnbea hɔ, na woepinkyɛn m’edzidzipon ho wɔabɔsom me, na wɔayɛ m’ahwɛdodze no do ahwɛfo.", ""
"EZK.44.17", "Na ɔmbra dɛ sɛ wɔrehɛn fie afamu abangua no no mbobokɛse no mu a, wɔnhyehyɛ ndwera ntar; na mma kuntu-tam biara nnka hɔn ho, ber a wɔrosom wɔ fie afamu abangua no no mbobokɛse no mu, na fi no mu no.", "#Eks 28.39-43; Lev 16.4"
"EZK.44.18", "Wɔmfa ndwera abɔtsir mbobɔ hɔn etsir, na ndwera nsiasen nsisi hɔn asen; mma wɔmmfa biribiara a ɔma mfifir mmbɔ hɔn ho do.", ""
"EZK.44.19", "Na sɛ worifir edzi wɔakɔ guado afamu abangua no do wɔ man no nkyɛn a, wonyiyi hɔn ntar a wɔhyɛe somee no, na wɔmfa ngu mpia krɔnkrɔn no mu, na wɔmfa ntar fofor nhyɛ, amma wɔaammfa hɔn ntar no annkɛtsew man no ho.", "#Lev 16.23"
"EZK.44.20", "Eso mma wonnyiyi hɔn tsir, anaa wonnsie tsimum; susua ara na wonsusua hɔn tsir.", "#Lev 21.5"
"EZK.44.21", "Eso mma sɔfo biara nnom nsa, ber a ɔrehɛn fie afamu abangua no do no.", "#Lev 10.9"
"EZK.44.22", "Eso mma wɔnnwar kunafo, anaa nyia wɔako no awar: na mbom wɔmfa Israel fi asefo mu mbaabun, anaa kunafo a ɔyɛ sɔfo bi no kunafo.", "#Lev 21.7, 13, 14"
"EZK.44.23", "Na wɔnkyerɛkyerɛ me man sorbi a ɔda krɔnkrɔndze na kwasafodze ntamu, na wɔmma wonhu dza no ho tsew na dza no ho nntsew.", "#Lev 10.10"
"EZK.44.24", "Na mansotwe mu so hɔnara na wongyina mbu atsɛn: dɛ mbrɛ m’atsɛmbu tse na wombu atsɛn: na wonsie me mbra na m’ahyɛdze wɔ me fa a wɔhyɛ nyinara mu; na wɔnyɛ n’ahomgyenda no krɔnkrɔn.", ""
"EZK.44.25", "Na mma wɔnnkɔ fun bi ho nnkogu hɔnho fi: gyedɛ egya, anaa na, anaa babanyin, anaa babaa anaa nuabanyin, anaa akyerɛbaa a onnyae nnyaa kun, na wɔwɔ ho kwan dɛ wogu hɔnho fi.", "#Lev 21.1-4"
"EZK.44.26", "Na wɔtsew no ho wie a, wɔnkan ndaesuon mma no.", ""
"EZK.44.27", "Na da a ɔrokɔ krɔnkrɔnbea fie afamu abangua no do akɔsom wɔ krɔnkrɔnbea hɔ no, ɔbɔ no bɔn ho afɔr, EWURADZE Nyankopɔn na ɔse.", ""
"EZK.44.28", "Na wobenya egyapadze; emi nye hɔn egyapadze: na mma hom mma hɔn kyɛfa wɔ Israel; emi nye hɔn kyɛfa.", "#Nka 18.20"
"EZK.44.29", "Wondzi edziban afɔr, na bɔn ho afɔr, na afɔdzi afɔr; na dza woehyira do ama wɔ Israel biara nyɛ hɔndze.", "#Nka 18.8-19"
"EZK.44.30", "Na adze biara mu nduadzewakan nyinara mu dza odzi kan no, na adze biara mu ayɛyɛdze nyinara ho ayɛyɛdze biara, nyɛ asɔfo no dze: hom mfa hom mbɔr a odzi kan no so mma sɔfo no, ma ɔaama nhyira aba wo fi do.", ""
"EZK.44.31", "Mma asɔfo no nndzi dza noara oewu, anaaso wɔatsetsew no mu biara, sɛ anoma o, abowa o.", "#Lev 22.8"
