"EZK.22.1", "EWURADZE n'asɛm baa mo hɔ bio dɛ,", ""
"EZK.22.18", "Onyimpa ba, Israel fi ayɛ dɛ dutu ama me: hɔn nyinara ayɛ boran na kyɛnse na dadze na sumbui, wɔ fononoo mu; wɔyɛ dwetɛfi.", ""
"EZK.22.19", "Dɛm ntsi mbrɛ EWURADZE Nyankopɔn se nye iyi: Osiandɛ hom nyinara adan dutu ntsi no, dɛm ntsi, hwɛ, mobɔboa hom ano ehyia Jerusalɛm finimfin.", ""
"EZK.22.20", "Dɛ mbrɛ wɔboaboa dwetɛ na boran na dadze na sumbui na kyɛnse ano kogu fononoo mu, dɛ wohutsa ho gya mu ma ɔnnan no; dɛmara so na mobɔboa hom ano wɔ m'ebufuw na m'ebufuhyew mu, na medze hom egugu hɔ, na manan hom.", ""
"EZK.22.21", "Ampaara, mobɔboa hom ano, na mehutsa hom ho wɔ m'ebufuw gya mu, na hom anan wɔ ne finimfin.", ""
"EZK.22.22", "Dɛ mbrɛ wɔnan dwetɛ wɔ fononoo mu no, dɛmara na wɔbɛnan hom wɔ mu; na hom bohu dɛ emi EWURADZE na mehue m'ebufuhyew megu hom do.", ""
"EZK.22.23", "Na EWURADZE n'asɛm baa mo hɔ, dɛ,", ""
"EZK.22.24", "Onyimpa ba, se no dɛ, Eyɛ asaase a wɔnntseew ho, eso nsu nntɔree nnguu do wɔ ebufuhyew da no mu.", ""
"EZK.22.25", "No nkɔnhyɛfo tsirdo apam bi wɔ ne finimfin, dɛ gyata a ɔropɔw tsetsew n'afonam mu: wɔamemen akra; wɔfa egyapadze na ndzɛmba a wɔsom bo; wɔama n'ekunafo adɔɔ so wɔ no mu.", ""
"EZK.22.26", "N'asɔfoe ayɛ me mbra yerɛyerɛw, na woegu m'akrɔnkrɔndze ho fi: wɔamma sorbi annda dza ɔyɛ krɔnkrɔn na dza ɔnnyɛ krɔnkrɔn ntamu, eso wɔamma adasa ennhu he a ɔda dza no ho tsew na dza no ho nntsew ntamu, na wɔdze hɔn enyiwa esuma efi m'ahomgyenda ho, na woegu mo ho fi wɔ hɔn mu.", "#Lev 10.10"
"EZK.22.27", "Hɔn mu mbapɔmba wɔtse dɛ mpataku a wɔropɔw afonam; dɛ wɔbɛka bɔgya egu, na wɔasɛɛ akra, ama woeenya enyiber mfaso edzi.", ""
"EZK.22.28", "Na no nkɔnhyɛfo dze kaadow etwuw ho ama hɔn, wohu egyangyandze, na wɔhyɛ mbusu nkɔntor kyerɛ hɔn, dɛ, Mbrɛ EWURADZE Nyankopɔn se nye iyi: naaso na EWURADZE nnkasae.", ""
"EZK.22.29", "Ɔman no mu nkorɔfo woedzi emim, na wɔayɛ nwuradandze; nyew, wɔatseetsee bɔbɔnyi na hianyi, na woebu pɛrpɛr do ahaw hɔho.", ""
"EZK.22.30", "Na mohwehwɛɛ hɔn mu nyimpa a ɔbɛgye ban no, anaadɛ obegyina tokur mu wɔ m'enyim ama asaase no, amma maannsɛɛ no: na meennhu bi.", ""
"EZK.22.31", "Dɛm ntsi mehue m'ebufuhyew megu hɔn do; medze m'ebufuw ne gya mahyew hɔn: medze hɔnankasa hɔn abrabɔ ebua hɔn etsifi, EWURADZE Nyankopɔn na ɔse.", ""
