"EZK.23.1", "EWURADZE n'asɛm baa mo hɔ bio, dɛ,", ""
"EZK.23.18", "Mbrɛ ɔdaa no ndwamanyɛ edzi, na ɔmaa n'adagyaw daa edzi nye no: nna me kra tseew noho fii no ho, dɛ mbrɛ me kra tseew noho fii n'akyerɛbaa ho no.", ""
"EZK.23.19", "Naaso ɔmaa no ndwamangor dɔɔ so, dze kaa ne mbofrabermu nda no a ɔgoor ndwamangor wɔ Egypt asaase do no.", ""
"EZK.23.20", "Na n'enyi hyeew hɔn mponafo ho, hɔn a hɔn honam tse dɛ nsoasopɔnkɔ honam, na hɔn ahobaa tse dɛ mpɔnkɔ ahobaa.", ""
"EZK.23.21", "Dɛm na edze kaa wo nkataasiaber mu ndwamanyɛ, wɔ pira a Egyptfo piraa wo mpokuwa, wɔ wo nkataasiaber mu enumfo no ntsi.", ""
"EZK.23.22", "Dɛm ntsi, Oholiba, Mbrɛ EWURADZE Nyankopɔn se nye iyi: Hwɛ, mebɛma w'adɔfo do etsia wo, hɔn a wo kra atsew noho efi hɔn ho no, na medze hɔn efi nkyɛnkyɛn nyinara aba wo do;", ""
"EZK.23.23", "Babilɔnfo na Kaldeafo nyinara, Pekodfo, Soafo na Koafo, na Asiriafo a wɔka hɔn ho no nyinara: mberantsɛ a hɔn ho yɛ fɛw, hɔn nyina ambradofo na mpanyin a, ahenmba na atsenkafo a hɔn nyinara wɔtsetse mpɔnkɔ do.", ""
"EZK.23.24", "Na wɔdze akondadze, ntseaseanam na nhwiir, na aman asafo; wɔdze nkataenyim na kyɛm na dadzekyɛw bɔbɔ wo do nsera ehyia: na medze atsɛmbu mebɛhyɛ hɔn nsa, na woebu wo atsɛn dɛ mbrɛ hɔn atsɛmbudze tse.", ""
"EZK.23.25", "Na medze me nyinkuntwe besi wo do, na wɔnye wo edzi no ebufuhyew mu; wobotwitwa wo hwen na w'asowa; na wo nkaase bɔtotɔr afona ano: wɔbɛfa wo mbabanyin na wo mbabaa; na wo nkaase no gya bɛmen hɔn.", ""
"EZK.23.26", "Wɔbɔworɔw wo ho ntar so, na wɔafa wo ndwindze fɛɛfɛw no akɔ.", ""
"EZK.23.27", "Dɛm na mebɛma w'atantandze no abɔ adze efi wo ho, ɔnye wo ndwamangor a edze fi Egypt asaase do bae no: ma amma w'enyi do aannkyerɛ hɔn, anaaso aannkaa Egypt bio.", ""
"EZK.23.28", "Na mbrɛ EWURADZE Nyankopɔn se nye iyi: Hwɛ, medze wo bɛhyɛ hɔn a etan hɔn no nsa, hɔn a wo kra atsew noho efi hɔn ho no nsa:", ""
"EZK.23.29", "na wɔnye wo bedzi no tan mu, na woeyi w'afonadze nyina akɔ, na woegyaa wo adagyaw kwatserkwa: na wo ndwamangor n'adagyaw bɛda edzi, w'atantandze na wo ndwamangor nyina.", ""
"EZK.23.30", "Ndzɛmba yinom na wɔdze bɛyɛ wo, wɔ dɛ akɔgor ndwamangor edzi amanaman ekyir dze hɔn abosom egu wo ho fi ntsi.", ""
"EZK.23.31", "Anantsew w'akyerɛbaa no kwan do; dɛm ntsi medze no kɔɔpow bɛhyɛ wo nsa.", ""
"EZK.23.32", "Mbrɛ EWURADZE Nyankopɔn se nye iyi: Ebɔnom w'akyerɛbaa no kɔɔpow a ɔdɔ na ɔso no bi: wɔbɛyɛ wo ɔsesɛba na woedzi wo ho fɛw; dza ɔwɔ mu so.", ""
"EZK.23.33", "Asabow na awerɛhow bɛhyɛ wo ma, ɔnye ahodwuruw na amamfoyɛ kɔɔpow, ɔnye w'akyerɛbaa Samaria no kɔɔpow.", ""
"EZK.23.34", "Ebɔnom na ehwiew mu mpo, na awe ne fɛr, na atsetsew w'enumfo mu: na emi na maka, EWURADZE Nyankopɔn na ɔse.", ""
"EZK.23.35", "Dɛm ntsi mbrɛ EWURADZE Nyankopɔn se nye iyi: Osiandɛ wo werɛ efir me, na atow me akyen w'ekyir ntsi, dɛm ntsi soa w'atantandze na wo ndwamangor so.", ""
"EZK.23.36", "EWURADZE see me bio so, dɛ: Onyimpa ba, aso ibobu Ohola na Oholiba atsɛn? Nna yi hɔn atantandze kyerɛ hɔn.", ""
"EZK.23.37", "Na wɔatoto awar, na bɔgya wɔ hɔn nsamu, na wɔdze hɔn abosom atoto awar; na wɔama hɔn mba a wɔwoo hɔn maa me no so wɔahyew hɔn ogya mu abɔ afɔr ma wɔamemen hɔn.", ""
"EZK.23.38", "Bio so iyi na wɔdze ayɛ me: woegu mo krɔnkrɔnbea ho fi da kor noara, na woehura m'ahomgyenda no ho.", ""
"EZK.23.39", "Na wonyae kunkum hɔn mba maa hɔn abosom no, nna wɔbaa mo krɔnkrɔnbea da kor noara bohuraa ho; na, hwɛ, mbrɛ wɔayɛ wɔ me fi mu nye yi.", ""
"EZK.23.40", "Na bio so hom asoma ekehyia mbarimba fir ekyirekyir: hɔn ho na wotuu abɔfo, na, hwɛ, wɔbae; hɔn ntsi na iguaree, ekaa w'enyiwa edur, na edze ahyehyɛdze hyehyɛɛ woho;", ""
"EZK.23.41", "na etsenaa mpikyi a ɔyɛ fɛw do, ɔnye epon a wɔato si enyim a edze m'eduhuam na mo ngo sisii do.", ""
"EZK.23.42", "Na nyimpadodow a hɔn ho adwe hɔn no hɔn dede ka no ho: na wɔdze asabokwafo kaa nyimpadodow no ho fi sar no do bae; na wɔdze nkaba hyehyɛɛ hɔn emu ebien nyina nsa, na abɔtsir fɛɛfɛw bobɔɔ hɔn etsir.", ""
"EZK.23.43", "Nna mekaa no wɔ nyia ɔayɛ aberwa wɔ awarto mu no ho dɛ, Afei na wɔnye no bɔgor ndwamangor, na ɔno so nye hɔn agor.", ""
"EZK.23.44", "Na wɔkɔr no ho, dɛ mbrɛ wɔkɔ edwaman ho: dɛm na wɔkɔr Ohola na Oholiba mbaa ndwaman no ho.", ""
"EZK.23.45", "Na mbarimba atseneneefo, wɔdze mbaa awartofo hɔn atsɛmbu, na mbaa a wɔka bɔgya gu hɔn atsɛmbu bobu hɔn; osiandɛ wɔyɛ mbaa awartofo, na bɔgya wɔ hɔn nsamu.", ""
"EZK.23.46", "Na mbrɛ EWURADZE Nyankopɔn se nye iyi: Medze mboanofo bɛba hɔn do, na medze hɔn ama ma wɔatow hɔn edzi akɔnaaba, na wɔafa hɔn afo.", ""
"EZK.23.47", "Na mboanofo no besiw hɔn abo, ma wɔdze hɔn afona ekuku hɔn; wobokuku hɔn mbabanyin na hɔn mbabaa, na wɔdze gya ahyew hɔn efi.", ""
"EZK.23.48", "Dɛm na mebɛma atantandze abɔ adze wɔ asaase no do, ma wɔaakyerɛkyerɛ mbaa nyina mma wɔaannyɛ hɔn atantandze no bi.", ""
"EZK.23.49", "Na wɔbɛhyɛ hom atantandze no ananmu egu hom do, na hom asoa hom abosom no hɔn bɔn no: na hom bohu dɛ emi nye EWURADZE Nyankopɔn.", ""
