"EXO.30.1", "Na yɛ afɔrmbukyia a wɔhyew do eduhuam: akeesia dua na fa yɛ.", ""
"EXO.30.21", "dɛm na wɔnhohor hɔn nsa ho nye hɔn anan ho, mma woeennwuwu: na ɔnyɛ ahyɛdze mma hɔn daapem, mekyerɛ ɔno nye n’asefo wɔ hɔn mbasantsen nyina mu.", ""
"EXO.30.22", "Nkyii so EWURADZE kasaa kyerɛɛ Moses dɛ,", "#Eks 37.29"
"EXO.30.23", "Wo so fa nduhuam mu etsitsir ma woho, eduhuam mɛɛr a ɔsosɔw dwetɛbona ahaenum, nye sinamɔn huanhuam dɛmara ne fa, mekyerɛ ahaenu eduonum, nye kalamus huanhuam ahaenu eduonum,", ""
"EXO.30.24", "nye keesia ahaenum, dɛ krɔnkrɔnbea dwetɛbona no, nye olive ngo kor na fa:", ""
"EXO.30.25", "na fa yɛ ɔserango krɔnkrɔn, eduhuam a wɔafora no oduhuamforafo nyansa mu: na ɔnyɛ ɔserango krɔnkrɔn.", ""
"EXO.30.26", "Na fa sera ehyiadzibuw no, nye dasedaka no,", ""
"EXO.30.27", "na ɔpon no nye no ho ndzɛmba no nyinara, nye kandzeadua no nye no ho ndzɛmba no, nye eduhuamhyew afɔrmbukyia no,", ""
"EXO.30.28", "nye ɔhyew afɔr afɔrmbukyia no nye no ho ndzɛmba no nyinara, nye eguarsɛn no nye ne ntaease.", ""
"EXO.30.29", "Na tsew ho ma ɔnyɛ krɔnkrɔn mu krɔnkrɔn: biribiara a ɔka no nyɛ krɔnkrɔn.", ""
"EXO.30.30", "Na sera Aaron nye ne mbabanyin no ngo, na tsew hɔn ho, ma wondzi m’asɔfoe.", ""
"EXO.30.31", "Na kasa kyerɛ Israelmba no dɛ, Iyi nyɛ ɔserango krɔnkrɔn mma me wɔ hom mbasantsen nyina mu.", ""
"EXO.30.32", "Nyimpa honam do na mma wonnhue nngu, nkyii so mma hom nnyɛ bi a ɔtse dɛm, dɛ mbrɛ no mforafora mu tse: ɔyɛ krɔnkrɔn, na ɔnyɛ krɔnkrɔn mma hom.", ""
"EXO.30.33", "Obiara a ɔbɔforafora bi dɛm no, anaa obiara a ɔdze bi bɛka ɔhɔho ho no, wobotwa no efi no nkorɔfo mu akyen.", ""
"EXO.30.34", "Na EWURADZE see Moses dɛ, Fa nduhuanhuam ma woho, stakete, nye onika, nye galbanum; nduhuanhuam a krɔbɔw gyenengyenen ka ho: ne nyina no durdur nyɛ pɛpɛɛpɛr;", ""
"EXO.30.35", "na fa yɛ eduhuam hyewee, eduhuam a wɔafora no oduhuamforafo nyansaa mu a wɔaposa a ɔyɛ gyenengyenen nye krɔnkrɔn:", ""
"EXO.30.36", "na siw no fekɔfekɔ, na fa bi gu dase no enyim wɔ ehyiadzibuw no mu, mbrɛ menye wo behyia no; ɔnyɛ krɔnkrɔn mu adzekrɔnkrɔn mma hom.", ""
"EXO.30.37", "Na eduhuam hyewee a erebɛyɛ no, mma hom nnsusu no mforaforae do nnyɛ bi mma homankasa homho: ɔnyɛ wo krɔnkrɔn mma EWURADZE.", ""
"EXO.30.38", "Obiara a ɔbɛyɛ bi a ɔtse dɛm, ehua ahwɛ no, wobotwa no efi no nkorɔfo mu akyen.", ""
