"EXO.12.1", "Na EWURADZE kasaa kyerɛɛ Moses nye Aaron wɔ Egypt asaase do dɛ,", "#Lev 23.5; Nka 9.1-5; 28.16; Deut 16.1, 2"
"EXO.12.19", "Nda esuon na mma mma wonnhu mbɔrkaw wɔ hom efi mu: na obiara a obedzi dza ɔaka no, ɔkra no wobotwa no efi Israel mboanofo mu, sɛ ɔyɛ ɔmamforanyi o, obi a wɔwoo no wɔ asaase no do o.", ""
"EXO.12.20", "Mma hom nndzi biribiara a akaw; hom ndzi epitsi wɔ hom tsenabew nyinara.", ""
"EXO.12.21", "Nna Moses frɛɛ Israel mpanyimfo nyinara, na ɔsee hɔn dɛ, Hom nkɔ nkeyiyi nguambaa dɛ mbrɛ hom ebusua tsetsee, na hom nku apaho no.", ""
"EXO.12.22", "Na hom mfa odwonhataw  (hisɔp)    siaw, na hom mfa mbɔ bɔgya a ɔwɔ bɛɛsen no mu no mu, na hom mfa bɔgya a ɔwɔ bɛɛsen no mu no bi mpetse mpondua etsifi nye apondua ebien no ho; na mma hom mu obiara mmfir edzi mmfi ne fie abowano ma onkodu anapa.", "#12.22 HISƆP:Dua bi a nna wɔdze n’ahataw yɛ ahosan atɔrmuadze wɔ Egypt."
"EXO.12.23", "Na EWURADZE botwa mu abɔbɔ Egyptfo; na sɛ ohu bɔgya no wɔ mpondua etsifi, nye apondua ebien no ho a, EWURADZE bɛpa ɔpon no ho, na ɔnnkɛma ɔsɛɛfo no kwan ma ɔaaba hom efi mu abɔbobɔ hom.", "#Heb 11.28"
"EXO.12.24", "Na hom ndwen iyi do ma ɔnyɛ mbra mma ɔwo nye wo mba daa.", ""
"EXO.12.25", "Na ɔbɛba dɛ, sɛ hom du asaase a EWURADZE dze bɛma hom no do, dɛ mbrɛ ɔabɔ anohoba no a, ɔno hom ndzi ɔsom yi do.", ""
"EXO.12.26", "Na ɔbɛba dɛ, sɛ hom mba bisa hom dɛ, Hom som yi ase nye dɛn?", ""
"EXO.12.27", "Ɔno hom nse dɛ, Ɔyɛ EWURADZE n’apaho afɔrbɔdze, nyia ɔpaa Israelmba hɔn efi ho wɔ Egypt, wɔ aber a ɔbɔɔ Egyptfo, na oyii hɛn efi fii mu no. Na ɔman no bɔɔ hɔn tsir adze na wɔsɔree.", ""
"EXO.12.28", "Na Israelmba kɔree kɛyɛɛ dɛ mbrɛ EWURADZE hyɛɛ Moses nye Aaron no.", ""
"EXO.12.29", "Na ɔbaa dɛ esuom no, EWURADZE bɔbɔɔ Egypt asaase do mbakan nyinara, ofi Farao n’abakan a ɔtsena n’ahengua do no do dze kodu adaduadan mu ndɔmmum n’abakan do; nye ofiembowa mbakan nyinara.", "#Eks 4.23"
"EXO.12.30", "Na Farao soɛɛr anadwe no ara, ɔno, nye no nkowaa nyinara, nye Egyptfo nyinara: na su kɛse baa Egypt; osiandɛ fie biara nnyi hɔ a obi ennwu wɔ mu.", ""
"EXO.12.31", "Na ɔfrɛɛ Moses nye Aaron anadwe, na ɔsee dɛ, Hom nsoɛr, hom mfi me man mu mfir, hom nye Israelmba no nyina; na hom nkɔ nkɔsom EWURADZE, dɛ mbrɛ hom aka no.", ""
"EXO.12.32", "Hom mfa hom nguan nye hom anantwi so, dɛ mbrɛ hom aka no, na hom nkɔ; na hom nhyira mo so.", ""
"EXO.12.33", "Na Egyptfo no piapiaa ɔman no dɛ wɔrepam hɔn ntsɛm efi asaase no do; na wɔsee dɛ, Hɛn nyinara ayɛ ewufo ara nye no.", ""
"EXO.12.34", "Na ɔman no fefaa hɔn mbɔr ansaana ɔrekaw, hɔn mbɔrakorow no wɔakyekyer no wɔ hɔn atam mu sisi hɔn kɔn ho.", ""
"EXO.12.35", "Na Israelmba no yɛɛ dɛ mbrɛ Moses kae no; na wobisabisaa dwetɛ ndwindze, nye sika ndwindze, nye atam wɔ Egyptfo hɔ:", "#Eks 3.21, 22"
"EXO.12.36", "na EWURADZE maa ɔman no enyimpa wɔ Egyptfo no enyim, ma wɔmaa hɔn nsa kaa dza wobisae no. Na wɔfoom Egyptfo egyapadze kɔree.", ""
"EXO.12.37", "Na Israelmba no sii mu fii Rameses kɔr Sukɔt, mbanyin ara a wɔnam famu bɛyɛ mpem ahaesia, a mbofraba nnka ho.", ""
"EXO.12.38", "Na aforafora dɔm so nye hɔn kɔree; na nguan, na anantwi, mekyerɛ ofiembowa piigyan.", ""
"EXO.12.39", "Na wɔdze mbɔr a wɔdze fi Egypt bae no totoo epitsi tatar, nna ɔnnkawee; osiandɛ wɔpaam hɔn fii Egypt ntsi, na woenntum enntsinntsim, nkyii so woennsiesie edzidzidze biara amma hɔnho.", ""
"EXO.12.40", "Afei tsena a Israelmba dze tsenaa Egypt no yɛ mfe ahaanan eduasa.", "#Gye 15.13; Gal 3.17"
"EXO.12.41", "Na ɔbaa dɛ mfe ahaanan eduasa no n’ewiei no, mekyerɛ da kor no ara, EWURADZE no dɔm nyinara tui fii Egypt asaase do.", ""
"EXO.12.42", "Ɔyɛ anadwe a ɔwɔ dɛ wɔhyɛ no nsew ma EWURADZE dɛ oyii hɔn fii Egypt asaase do: iyi nye EWURADZE n’anadwe no a wɔhyɛ no nsew wɔ Israelmba nyinara mu wɔ hɔn ebusuasantsen nyina mu no.", ""
"EXO.12.43", "Na EWURADZE see Moses nye Aaron dɛ, Iyi nye apaho no ho mbra no: ɔnanaben biara nndzi bi:", ""
"EXO.12.44", "na nyimpa biara n’akowaa a ɔdze sika atɔ no no dze, sɛ etwa no twatsia a, ɔno ondzi bi.", ""
"EXO.12.45", "Mma ɔmamforanyi nye akowaa ɔpaanyi nndzi bi.", ""
"EXO.12.46", "Ofi kor mu na wondzi; mma mmfa nam no bi mmfi fie no mu mmpue; nkyii so mma hom mmbu ne biew bi.", "#Nka 9.12; Joh 19.36"
"EXO.12.47", "Israel mboanofo nyinara ndzi do.", ""
"EXO.12.48", "Na sɛ ɔhɔho bi bɛnye wo tsena, na ɔpɛ dɛ odzi apaho no ma EWURADZE a, ma wontwa ne mbarimba nyinara twatsia, na nkyii ɔntwe mbɛn na ombedzi; na ɔnyɛ dɛ nyia wɔawo no asaase no do: monomonomnyi biara dze mma onndzi bi.", ""
"EXO.12.49", "Mbra kor na ɔnda hɔ mma nyia ɔyɛ okuromnyi, nye ɔhɔho a ɔtsena hom mu.", ""
"EXO.12.50", "Na Israelmba nyinara yɛɛ dɛm; dɛ mbrɛ EWURADZE hyɛɛ Moses nye Aaron no, dɛmara so na wɔyɛe.", ""
"EXO.12.51", "Na ɔbaa dɛ da kor no ara, EWURADZE yii Israelmba no fii Egypt asaase do dɛ mbrɛ hɔn dɔm tsetsee.", ""
