"LEV.27.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.27.23", "ɔno ɔsɔfo no mbubu w'abotwa a ɔdze kodu ahosɛpɛw afe no do no, no bo a ɔsom no mma no: na ɔmma wo bo a itwae no da no ara, dɛ adzekrɔnkrɔn mma EWURADZE.", ""
"LEV.27.24", "Ahosɛpɛw afe no mu haban no nsan nkɔ nyia wɔtɔɔ no no hɔ, mekyerɛ nyia ɔyɛ n'enyadze asaase no no hɔ.", ""
"LEV.27.25", "Na w'abotwitwa nyinara nyɛ dɛ mbrɛ krɔnkrɔnbea dwetɛbona no tse:  gera   eduonu yɛ dwetɛbona kor.", ""
"LEV.27.26", "Mbowa mu abakan a wɔayɛ no abakan ama EWURADZE no, noara nkotoo na nyimpa bi nntsew ho; sɛ ɔnantwinyin o, ɔkɔsɔw o, EWURADZE dze a.", ""
"LEV.27.27", "Na sɛ ɔyɛ abowa a no ho nntsew bi a, ɔno ɔmma n'apondze dɛ mbrɛ w'abotwa tse no, na ɔmfa no mu ebupɛn enum mu kor nto do: anaa sɛ wɔammpon no no a, ɔno wɔntɔn no dɛ mbrɛ w'abotwa tse no.", ""
"LEV.27.28", "Naaso ehyiradze biara a nyimpa bi behyira do ama EWURADZE wɔ adze a ɔwɔ nyinara mu no, sɛ nyimpa o, abowa o, n'enyadze mu haban o, mma wɔnntɔn anaa wɔmmpon: ehyiradze biara yɛ krɔnkrɔndze mu adzekrɔnkrɔn ma EWURADZE.", ""
"LEV.27.29", "Na mpo, nyimpa biara a woebu no kumfɔ no, mma wɔmmpon no; oku na wonku no.", ""
"LEV.27.30", "Na asaase no do ebupɛn du du nyinara, sɛ ofi asaase no do o, nduadzewa mu o, dua n'aba mu o, ɔyɛ EWURADZE dze; ɔyɛ krɔnkrɔn ma EWURADZE.", ""
"LEV.27.31", "Na sɛ nyimpa bi bɔpon n'ebupɛn du du no mu bi a, ɔmfa no mu ebupɛn enum mu kor nto do.", ""
"LEV.27.32", "Na anantwi anaa nguan mu ebupɛn du du nyinara, adze a ɔfa poma ase nyinara mu dza otsia du du no nyɛ krɔnkrɔn mma EWURADZE.", ""
"LEV.27.33", "Mma ɔnnhwehwɛ mu dɛ ɔyɛ papa anaa bɔn, nkyii so mma ɔnnsesa bi: na sɛ koraa ɔbɛsesa bi a, ɔno emu ebien nyina, ɔno nye dza wɔdze sesa no no nyɛ krɔnkrɔn; mma wɔmmpon no.", ""
"LEV.27.34", "Iyinom nye mbransɛm a EWURADZE dze hyɛɛ Moses wɔ bepɔw Sinai do ma ɔdze maa Israelmba no.", ""
