"LEV.20.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.20.18", "Na sɛ ɔbanyin bi nye ɔbaa ɔbrafo bi da, na oyi n'adagyaw do a; na oebue no bura ano, na ɔno so oeyi no bɔgyaa bura do; wontwitwa hɔn beenu nyina mfi hɔn man mu ngu.", ""
"LEV.20.19", "Na mma nnyi wo na n'akyerɛbaa anaa w'egya n'akyerɛbaa n'adagyaw do: ɔno so oeyi no bɔgyaa a ɔbɛn n'adagyaw do: wɔnsoa hɔn mbusu.", ""
"LEV.20.20", "Na sɛ ɔbanyin bi nye no wɔfa ne yer da a, oeyi no wɔfa n'adagyaw do: wɔnsoa hɔn bɔn; wɔronnwo ba na woewu.", ""
"LEV.20.21", "Na sɛ ɔbanyin bi fa no nua ne yer a, ɔyɛ adze fi: oeyi no nua n'adagyaw do; worinnya ba.", ""
"LEV.20.22", "Dɛm ntsi hom ndzi m'ahyɛdze nyinara, nye me ntsɛmbu nyinara do, na wɔnyɛ: amma asaase no a medze hom rokɔ hɔ akɛtsena do no aammfe hom enngu.", ""
"LEV.20.23", "Na mma hom mmfa ɔman a murubotu hɔn wɔ hom enyim no hɔn amambra do: na wɔyɛɛ ndzɛmba iyinom nyinara, na dɛm ntsi hɔn ho yɛɛ me mfon.", ""
"LEV.20.24", "Na mese hom dɛ, Hom na wonnya hɔn asaase no ndzi, na medze mema hom dɛ hom enyadze, asaase a numfonsu nye wo pem wɔ do: emi nye EWURADZE hom Nyankopɔn a mapaa hom efi amanaman mu no.", ""
"LEV.20.25", "Dɛm ntsi hom mpaa mbowa a hɔn ho tsew nye dza hɔn ho nntsew mu, nye nnoma a hɔn ho nntsew nye dza hɔn ho tsew mu: na mma hom mmfa abowa, anaa anoma, anaa adze biara a ɔwea famu a mapaa no wɔ hom ho dɛ no ho nntsew no nngu hom akra ho fi.", ""
"LEV.20.26", "Na hom nyɛ krɔnkrɔn mma me: na emi EWURADZE meyɛ krɔnkrɔn, na mapaa hom efi amanaman mu dɛ hom mbɛyɛ medze.", ""
"LEV.20.27", "Ɔbanyin bi so anaa ɔbaa bi a ɔyɛ adzebisafo, anaa ɔyɛ esumamfo no, oku na wonku no: wɔmfa abo nsiw hɔn: hɔn bɔgyaa ngu hɔn etsifi.", ""
