"LEV.4.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.4.12", "mekyerɛ ɔnantwisaa mu no nyinara na ɔnsoa nkɔ nseraban no ekyir beebi a hɔ tsew, mbrɛ wohue nso gu no, na ɔmfa ogya nhyew no nyena do. Beebi a wohue nso gu no ara na wɔnhyew no.", ""
"LEV.4.13", "Na sɛ Israel mboanofo nyinara fom, a wɔammfa enyidaho annyɛ, na wɔyɛ ndzɛmba a EWURADZE ahyɛ ho mbra dɛ mma wɔnnyɛ no mu bi, na wodzi so;", ""
"LEV.4.14", "na ekyir yi wohu bɔn a wɔafom wɔ mu no a, ɔno bagua no mfa nantwisaa eburwa mbra mbɛyɛ bɔn ho afɔr, na wɔmfa no mbra ehyiadzibuw no enyim.", ""
"LEV.4.15", "Na mboanofo no mu mpanyimfo no mfa hɔn nsa ngu nantwisaa no n’etsifi na wonku nantwisaa no wɔ EWURADZE enyim.", ""
"LEV.4.16", "Na ɔsɔfo a wɔasera no no mfa nantwisaa no no bɔgyaa no bi mbra ehyiadzibuw no mu.", ""
"LEV.4.17", "Na ɔsɔfo no mfa ne nsatseaba mbɔ bɔgya no mu, na ɔmfa mpetse mpɛn esuon wɔ EWURADZE enyim wɔ ntwamutam no enyim.", ""
"LEV.4.18", "Na ɔmfa bɔgya no bi nkeka afɔrmbukyia no a ɔwɔ EWURADZE enyim no a ɔwɔ ehyiadzibuw no mu no ne mbɛn ho, na onhue bɔgya no nyinara ngu ɔhyew afɔr afɔrmbukyia no a ɔwɔ ehyiadzibuw no n’abowano ho ase.", ""
"LEV.4.19", "Na onyi ne seradze no nyinara mfi ho, na ɔnhyew no wɔ afɔrmbukyia no do.", ""
"LEV.4.20", "Dɛ mbrɛ ɔyɛɛ bɔn ho afɔr nantwisaa no, dɛmara so na ɔnyɛ iyi na ɔsɔfo no mpata mma hɔn, na wɔdze bɛkyɛ hɔn.", ""
"LEV.4.21", "Na ɔmfa nantwisaa no mfir edzi nkɔ nseraban no ekyir, na ɔnhyew no dɛ mbrɛ ɔhyeew asɔpɔn nantwisaa no. Iyi yɛ bagua no hɔn bɔn ho afɔr.", ""
"LEV.4.22", "Sɛ otsitsir bi ammfa enyidaho na ɔyɛ bɔn, na ɔyɛ EWURADZE ne Nyankopɔn ndzɛmba nyinara a wɔahyɛ dɛ mma wɔnnyɛ no mu kor bi ma odzi so;", ""
"LEV.4.23", "na sɛ wɔma ohu no bɔn a ɔafom wɔ mu no a, ɔmfa n’ayɛyɛdze a ɔyɛ apɔnkye mbra, onyin a onndzii dzɛm;", ""
"LEV.4.24", "na ɔmfa ne nsa nto apɔnkye no n’etsifi, na onku no wɔ beebi mbrɛ woku ɔhyew afɔr no wɔ EWURADZE enyim no. Iyi yɛ bɔn ho afɔr.", ""
"LEV.4.25", "Na ɔsɔfo no mfa ne nsatseaba mfa bɔn ho afɔr bɔgyaa no bi, na ɔmfa nkeka ɔhyew afɔr afɔrmbukyia no ne mmbɛn ho, na onhue no bɔgyaa no ngu ɔhyew afɔr afɔrmbukyia no ase.", ""
"LEV.4.26", "Na ɔnhyew ne seradze no nyinara wɔ afɔrmbukyia no do, dɛ asomdwee afɔr ayɛyɛdze seradze no: na ɔsɔfo no mpata mma no wɔ no bɔn no ho, na wɔdze bɛkyɛ no.", ""
"LEV.4.27", "Na sɛ ɔman mba no bi ammfa enyidaho na ɔyɛ bɔn wɔ ndzɛmba nyinara a EWURADZE ahyɛ ho mbra dɛ mma wɔnnyɛ no mu biara a, odzi so.", "#Nka 15.27, 28"
"LEV.4.28", "Sɛ wɔma ohu no bɔn a ɔafom no a ɔno ɔmfa n’ayɛyɛdze, apɔnkyeber a onndzii dzɛm, mbra mbɛma, wɔ no bɔn a ɔayɛ no ntsi.", ""
"LEV.4.29", "Na ɔmfa ne nsa nto bɔn ho afɔr no n’etsifi, na onku bɔn ho afɔr no wɔ ɔhyew afɔr bea no do.", ""
"LEV.4.30", "Na ɔsɔfo no mfa ne nsatseaba mfa bɔgya no bi, na ɔmfa nkeka ɔhyew afɔr afɔrmbukyia no ne mmbɛn ho, na onhue no bɔgyaa no nyinara ngu afɔrmbukyia no ase.", ""
"LEV.4.31", "Na onyi ne seradze no nyinara, dɛ mbrɛ woyi asomdwee afɔr seradze no fi ho no; na ɔsɔfo no nhyew no wɔ afɔrmbukyia no do ma onyi nka huanhuam mma EWURADZE; na ɔsɔfo no mpata mma no, na wɔdze bɛkyɛ no.", ""
"LEV.4.32", "Na sɛ ɔdze eguambaa ba dɛ n’ayɛyɛdze wɔ bɔn ho afɔr ntsi a, ɔmfa ɔber a onndzii dzɛm mbra.", ""
"LEV.4.33", "Na ɔmfa ne nsa nto bɔn no afɔr abowa no n’etsifi, na onku no bɔn ho afɔr wɔ beebi mbrɛ woku ɔhyew afɔr no.", ""
"LEV.4.34", "Na ɔsɔfo no mfa ne nsatseaba mfa bɔn ho afɔr bɔgyaa no bi, na ɔmfa nkeka ɔhyew afɔr afɔrmbukyia no ne mbɛn ho, na onhue no bɔgyaa no nyinara ngu afɔrmbukyia no ase:", ""
"LEV.4.35", "na onyi ne seradze no nyinara, dɛ mbrɛ woyi asomdwee afɔr eguambaa seradze no fi ho no; na ɔsɔfo no nhyew no wɔ afɔrmbukyia no do, wɔ EWURADZE ogya afɔr no do: na ɔsɔfo no mpata mma no wɔ no bɔn a ɔayɛ no ho, na wɔdze bɛkyɛ no.", ""
