"LEV.19.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.19.17", "Mma nntan wo nua wɔ w’akoma mu: ɔka na ka wo nyɛnko enyim, na mma nnsoa bɔn wɔ ɔno ntsi.", ""
"LEV.19.18", "Mma nndzi wer, na mma nnya menasepɔw biara wɔ wo nkorɔfo mba ho, mbom dɔ wo nyɛnko dɛ woho: emi nye EWURADZE.", ""
"LEV.19.19", "Hom ndzi m’ahyɛdze do. Mma mma wo fiembowa nndzi aforafora mmfofow hɔnho: mma mmfa aba horow ebien mmfora mu nndua wo haban mu: nkyii so mma atar a wɔdze atam horow ebien aforafora apam nnka woho.", ""
"LEV.19.20", "Na obiara a ɔnye ɔbaa bi da dze no ho nsu ma no, na sɛ ɔyɛ afonabaa a wɔdze no ama okun bi awar, na pon na wonnyae mmpoon no, nkyii so wɔmmaa no fahodzi a; wɔntsea hɔn; mma wonnku hɔn, osiandɛ ɔnndze noho.", ""
"LEV.19.21", "Na ɔmfa n’asodzi ho afɔr mbra EWURADZE, wɔ ehyiadzibuw no n’abowano, mekyerɛ oguannyin na ɔmfa nyɛ asodzi ho afɔr no.", ""
"LEV.19.22", "Na ɔsɔfo no mfa asodzi ho afɔr oguannyin no mpata mma no wɔ EWURADZE enyim wɔ no bɔn a ɔayɛ no ntsi: na wɔdze no bɔn a ɔayɛ no bɛkyɛ no.", ""
"LEV.19.23", "Na sɛ hom du asaase no do, na wɔtsetsɛw ndua horow biara a wodzi a, ɔno hom mbu n’aba dɛ monomonomyɛdze: mfe ebiasa na ɔnyɛ dɛ monomonomyɛdze mma hom; mma wonndzi.", ""
"LEV.19.24", "Mbom afe a otsia anan no n’aba nyinara nyɛ krɔnkrɔn, mfa mma EWURADZE ayɛyi.", ""
"LEV.19.25", "Na afe a otsia enum no hom ndzi n’aba bi, ama wɔaama hom no ndɔbaa: emi nye EWURADZE hom Nyankopɔn.", ""
"LEV.19.26", "Mma hom nndzi adze biara nye no bɔgya no: nkyii so mma hom nnkyer nkaber, na wɔnnyɛ akɔmfodze.", ""
"LEV.19.27", "Mma hom mmpompon hom tsinhwi ano, nkyii so mma nnsɛɛ w’abɔdwesa ano.", ""
"LEV.19.28", "Mma hom mmbobɔ hom honam ho akam biara mma ewufo, na hom nnkyerɛkyerɛw hom ho nkyerɛkyerɛwee biara so: emi nye EWURADZE.", ""
"LEV.19.29", "Mma nngu wo babaa ho fi nnyɛ no edwaman; bɛyɛ na asaase no adan ndwamanyɛ, na mbusu abɛyɛ asaase no do ma.", ""
"LEV.19.30", "Hom ndzi m’ahomgyeda no, na hom ndzi m’ahotseweebea no nyi: emi nye EWURADZE.", ""
"LEV.19.31", "Mma hom nndan nnkɔ hɔn a wɔyɛ adzebisafo, nye esumamfo so hɔ: mma wɔnnhwehwɛ hɔn ekyir kwan mmfa hɔn nngu homho fi: emi nye EWURADZE hom Nyankopɔn.", ""
"LEV.19.32", "Fa enyidzi ma tsigon no, nyew, na dzi akɔdaa nyi, na suro wo Nyankopɔn: emi nye EWURADZE.", ""
"LEV.19.33", "Na sɛ ɔhɔho bi bɔsoɛ hom asaase do a, mma hom nnyɛ no bɔn.", ""
"LEV.19.34", "Ɔhɔho a ɔabɔsoɛ hom no wɔmma ɔnyɛ dɛ hom mu kuromnyi bi, na dɔ no dɛ woho; osiandɛ hom yɛɛ ahɔho wɔ Egypt asaase do: emi nye EWURADZE hom Nyankopɔn.", ""
"LEV.19.35", "Mma hom mmbu atsɛnkyew wɔ adzesusu mu, adzeker mu, anaa adzehyɛ mu.", ""
"LEV.19.36", "Nsɛn tsenn, abrambo tsenn, efa tsenn, nye  hin   tsenn, na hom mmfa nsusu: emi nye EWURADZE hom Nyankopɔn a miyii hom fii Egypt asaase do no.", ""
"LEV.19.37", "Na hom nhyɛ m’ahyɛdze nyinara, nye me ntsɛmbu nyinara nsew, na wondzi do: emi nye EWURADZE.", ""
