"LEV.15.1", "Na EWURADZE kasaa kyerɛɛ Moses nye Aaron, dɛ,", ""
"LEV.15.15", "na ɔsɔfo no mfa mbɔ afɔr, kor nyɛ bɔn ho afɔr, na kor so nyɛ ɔhyew afɔr; na ɔsɔfo no mpata mma no wɔ EWURADZE enyim wɔ n’ahosen no ntsi.", ""
"LEV.15.16", "Na sɛ ɔbanyin bi n’ahoba fi no mu fir a, ɔno onguar no honam nyinara wɔ nsu mu, osiandɛ no ho nntsew araa kodu ewimbir.", ""
"LEV.15.17", "Na atar biara, nye nwoma biara a ahoba bogu mu no, wɔmfa nsu nhor, osiandɛ no ho nntsew araa kodu ewimbir.", ""
"LEV.15.18", "Ɔbaa so a ɔbanyin dze ahoba nye no da no, hɔn beenu nyinara nguar hɔnho wɔ nsu mu, osiandɛ hɔn ho nntsew araa kodu ewimbir.", ""
"LEV.15.19", "Na sɛ ɔbaa nya ahosen, na ahosen yɛ bɔgya fi no honam mu gu a, ɔntsena n’asabu mu nda esuon: na obiara a ɔka no no, no ho nntsew araa kodu ewimbir.", ""
"LEV.15.20", "Na adze biara a ɔda do wɔ n’asabu mu no, no ho nntsew, na adze biara so a ɔtsena do no, no ho nntsew.", ""
"LEV.15.21", "Na obiara a ɔka ne mpa no, nhor ne ntar, na onguar noho wɔ nsu mu, osiandɛ no ho nntsew araa kodu ewimbir.", ""
"LEV.15.22", "Na obiara a ɔka adze biara a ɔtsena do no, nhor ne ntar, na onguar noho wɔ nsu mu, osiandɛ no ho nntsew araa kodu ewimbir.", ""
"LEV.15.23", "Na sɛ ɔwɔ mpa no do, anaa adze biara a ɔtsena do no do, na sɛ ɔka a, no ho nntsew araa kodu ewimbir.", ""
"LEV.15.24", "Na sɛ ɔbanyin bi nye no da, na n’asabu adze no bi ka no ho a, no ho nntsew araa nda esuon; na mpa biara a ɔda do no so ho nntsew.", ""
"LEV.15.25", "Na sɛ ɔbaa nya bɔgya ahosen nda pii a ɔnnyɛ n’asabu aber mu, anaa onya ahosen ma ɔtra n’asabu aber a; n’ahoɔfi ahosen nda no nyinara ɔnyɛ dɛ mbrɛ n’asabu nda no mu tse: no ho nntsew.", ""
"LEV.15.26", "Mpa biara a ɔda do wɔ n’ahosen nda nyinara mu no; ɔnyɛ no dɛ mbrɛ n’asabu mpa tse; na adze biara a ɔtsena do no no ho nntsew, dɛ mbrɛ n’asabu mu ahoɔfi tse.", ""
"LEV.15.27", "Na obiara a ɔka ndzɛmba no no ho nntsew, na ɔnhor ne ntar, na onguar noho wɔ nsu mu, osiandɛ no ho nntsew araa kodu ewimbir.", ""
"LEV.15.28", "Mbom sɛ no ho tsew wɔ n’ahosen ho a, ɔno ɔnkan nda esuon, na n’ekyir no no ho aatsew.", ""
"LEV.15.29", "Na da a otsia awɔtwe no ɔmfa ntamram ebien, anaa mborɔnomamba ebien, mbrɛ ɔsɔfo no, wɔ ehyiadzibuw no n’abowano.", ""
"LEV.15.30", "Na ɔsɔfo no mfa kor mbɔ bɔn ho afɔr, na kor so mbɔ ɔhyew afɔr; na ɔsɔfo no mpata mma no wɔ EWURADZE enyim wɔ n’ahoɔfi ahosen no ntsi.", ""
"LEV.15.31", "Dɛm na hom mfa nyi Israel mfi hɔn ahoɔfi mu; amma woeennwuwu wɔ hɔn ahoɔfi mu, aber a worukogu me ntamadan a ɔwɔ hɔn mu no ho fi no.", ""
"LEV.15.32", "Iyi nye mbra a ɔwɔ hɔ ma nyia ɔwɔ ahosen, nye nyia ɔwɔ ahoba a fie no mu gu, ma ɔdze gu noho fi;", ""
"LEV.15.33", "na nyia ɔyar wɔ n’asabu mu, na ɔbanyin anaa ɔbaa biara a ɔnye obi a no ho nntsew da no.", ""
