"LEV.7.1", "Na iyi nye asodzi ho afɔr ho mbra: ɔyɛ krɔnkrɔndze mu adzekrɔnkrɔn.", ""
"LEV.7.18", "Na sɛ wodzi n’asomdwee afɔr no ne nam biara da a otsia ebiasa no a, wɔremmpen do, nkyii so worummbu mma nyia ɔdze ba no: ɔyɛ ekyiwadze, na ɔkra a obedzi bi no bɔsoa no mbusu.", ""
"LEV.7.19", "Na nam a aka biribiara a no ho nntsew no, mma wonndzi; wɔmfa ogya nhyew no. Na nam no dze, obiara a no ho tsew ndzi bi:", ""
"LEV.7.20", "na ɔkra a odzi asomdwee afɔr a ɔyɛ EWURADZE dze no ne nam bi, na n’efifidze wɔ no ho no, ɔkra no wobotwa no efi ne man mu akyen.", ""
"LEV.7.21", "Na sɛ nyimpa biara ka biribiara a no ho nntsew nyimpa n’efifidze, anaa abowa a no ho nntsew, anaa ekyiwadze biara a no ho nntsew, na odzi asomdwee afɔr a ɔyɛ EWURADZE dze no ne nam bi no, ɔkra no wobotwa no efi ne man mu akyen.", ""
"LEV.7.22", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.7.23", "Kasa kyerɛ Israelmba dɛ, Ɔnantwi, anaa ɔkɔsɔw, anaa apɔnkye seradze no, mma hom nndzi.", ""
"LEV.7.24", "Na dza noara ewu ne seradze, nye dza abowa atsetsew no ne seradze no, wɔmfa nyɛ edwuma biara: mbom dzi na mma hom nndzi bi.", ""
"LEV.7.25", "Na obiara a odzi abowa a adasa dze bi bɔ ogya afɔr ma EWURADZE no ne seradze bi no, mekyerɛ ɔkra a odzi no wobotwa no efi ne man mu akyen.", ""
"LEV.7.26", "Na mma hom nndzi bɔgya biara, anoma anaa aketsebowa dze, wɔ hom tsenabew biara,", "#Gye 9.4; Lev 17.10-14; 19.26; Deut 12.16, 23; 15.23"
"LEV.7.27", "Obiara a odzi bɔgya biara no, no wobotwa no efi ne man mu akyen.", ""
"LEV.7.28", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.7.29", "Kasa kyerɛ Israelmba dɛ, Nyia ɔbɔ n’asomdwee afɔr ma EWURADZE no ɔmfa n’asomdwee afɔr no mu ayɛyɛdze mbrɛ EWURADZE:", ""
"LEV.7.30", "ɔmfa noara ne nsa mfa EWURADZE gya afɔr no mbra: seradze no nye nyan no na ɔmfa mbra, ama nyan no wɔaatow no ayɛ ɔtow afɔr wɔ EWURADZE enyim.", ""
"LEV.7.31", "Na ɔsɔfo no nhyew seradze no wɔ afɔrmbukyia no do: na nyan no nyɛ Aaron nye ne mbabanyin dze.", ""
"LEV.7.32", "Na aserɛ nyimfa no hom mfa nyɛ hom asomdwee afɔr mu ɔmado afɔr mma ɔsɔfo no.", ""
"LEV.7.33", "Aaron ne mbabanyin mu nyia ɔdze asomdwee afɔr no bɔgyaa, nye seradze ba no, nye aserɛ nyimfa no nyɛ ne kyɛfa.", ""
"LEV.7.34", "Na ɔtow nyan no nye ɔmado serɛ no mafa wɔ Israelmba hɔn asomdwee afɔr no mu, na medze mama ɔsɔfo Aaron nye ne mbabanyin dɛ daa ahyɛdze a ofi Israelmba hɔ.", ""
"LEV.7.35", "Iyi nye Aaron no ngosera kyɛfa, nye ne mbabanyin hɔn ngosera kyɛfa a ofi EWURADZE ogya afɔr mu, wɔ da a ɔdze hɔn bae dɛ wombedzi EWURADZE asɔfoe no a.", ""
"LEV.7.36", "EWURADZE hyɛɛ dɛ wɔmfa mma hɔn wɔ da a ɔseraa hɔn ngo fii Israelmba mu no. Ɔyɛ daa ahyɛdze wɔ hɔn ebusuasantsen mu.", ""
"LEV.7.37", "Iyi nye mbra a ɔda hɔ ma ɔhyew afɔr, edziban afɔr, nye bɔn ho afɔr, nye asodzi ho afɔr, nye etuhoakyɛ afɔr, nye asomdwee afɔr a", ""
"LEV.7.38", "EWURADZE hyɛɛ Moses wɔ bepɔw Sinai do, wɔ da a ɔhyɛɛ Israelmba dɛ wɔmfa hɔn ayɛyɛdze mbrɛ EWURADZE, wɔ Sinai sar do no.", ""
