"LEV.23.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.23.18", "Na hom mfa nguambaa esuon a wonndzii dzɛm a woedzi afrenhyia afrenhyia, nye ɔnantwisaa eburwa kor, nye nguannyin ebien nka boodoo no ho mbra: wɔnyɛ ɔhyew afɔr mma EWURADZE, mfa nka hɔn edziban afɔr, nye hɔn ɔnom afɔr ho, mekyerɛ ogya afɔr a oyi nka huanhuam ma EWURADZE.", ""
"LEV.23.19", "Na hom mfa apɔnkyenyin kor mbɔ ho afɔr, nye nguambaanyin ebien a woedzi afrenhyia afrenhyia mbɔ asomdwee afɔr.", ""
"LEV.23.20", "Na ɔsɔfo no ntow hɔn nye nduadzewakan boodoo no nyɛ ɔtow afɔr wɔ EWURADZE enyim, nka nguambaa ebien no ho: ɔnyɛ krɔnkrɔn mma EWURADZE mfa mma ɔsɔfo no.", ""
"LEV.23.21", "Na hom mbɔ dawur da no ara; ɔnyɛ nhyiamu krɔnkrɔn mma hom: mma hom nnyɛ edwumadzen biara: ɔyɛ daa ahyɛdze wɔ hom tsenabew nyinara mu wɔ hom ebusuasantsen mu.", ""
"LEV.23.22", "Na sɛ hom twa hom asaase do ndɔbaa a, mma nntwa hanoa dze no korakora, nkyii so mma nndzi wo ndɔbaa no mpɛpɛw: gya no hɔ fa ma ohianyi, nye ɔhɔho: emi nye EWURADZE hom Nyankopɔn.", ""
"LEV.23.23", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.23.24", "Kasa kyerɛ Israelmba dɛ, Bosoom a otsia esuon no ne da a odzi kan no, nyɛ ahomgye pa mma hom; wɔnhɛn totorobɛnto nyɛ nkaa, nhyiamu krɔnkrɔn.", ""
"LEV.23.25", "Mma hom nnyɛ edwumadzen biara: na hom mbɔ ogya afɔr, mma EWURADZE.", ""
"LEV.23.26", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.23.27", "Naaso bosoom a otsia esuon yi ara ne da a otsia du no nye mpata da: ɔnyɛ nhyiamu krɔnkrɔn mma hom, na hom mbrɛ homho adze; na hom mbɔ ogya afɔr mma EWURADZE.", ""
"LEV.23.28", "Na mma hom nnyɛ edwuma biara wɔ no ara mu: na ɔyɛ mpata da, ma wɔaapata ama hom wɔ EWURADZE hom Nyankopɔn enyim.", ""
"LEV.23.29", "Na obiara a ɔnnkɛbrɛ noho adze da no ara mu no, wobotwa no efi ne man mu akyen.", ""
"LEV.23.30", "Na obiara a ɔyɛ edwuma biara wɔ dɛm da no ara mu no, wɔbɛsɛɛ no efi ne man mu.", ""
"LEV.23.31", "Mma hom nnyɛ edwuma biara: ɔyɛ daa ahyɛdze wɔ hom ebusuasantsen mu wɔ hom tsenabew nyinara.", ""
"LEV.23.32", "Ɔnyɛ ahomgye pa mu ahomgyeda mma hom, na hom mbrɛ hom akra adze: bosoom no ne da a otsia akron no n'ewimbir, ofi ewimbir kodu ewimbir, na hom ndzi hom ahomgyeda no.", ""
"LEV.23.33", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.23.34", "Kasa kyerɛ Israelmba dɛ, Bosoom a otsia esuon no yi ara ne da a otsia duenum no ɔyɛ ntamadan afahyɛ nda esuon ma EWURADZE.", ""
"LEV.23.35", "Da a odzi kan no yɛ nhyiamu krɔnkrɔn: mma hom nnyɛ edwumadzen biara.", ""
"LEV.23.36", "Nda esuon na hom mbɔ ogya afɔr mma EWURADZE: da a otsia awɔtwe no nyɛ nhyiamu krɔnkrɔn mma hom; na hom mbɔ ogya afɔr mma EWURADZE: ɔyɛ nguabɔ ewiei; mma hom nnyɛ edwumadzen biara.", ""
"LEV.23.37", "Iyinom nye EWURADZE n'afahyɛ a wɔahyehyɛ a hom mpaa mu dɛ ɔyɛ nhyiamu krɔnkrɔn no, ma wɔmfa ogya afɔr mbrɛ EWURADZE, ɔhyew afɔr, nye edziban afɔr, okum afɔr, nye ɔnom afɔr, kor wɔ nankasa ne da mu:", ""
"LEV.23.38", "ɔsor EWURADZE n'ahomgyeda no, na ɔsor hom ayɛyɛdze, na ɔsor hom anohoba, na ɔsor hom ayamuyi afɔr nyinara a hom dze ma EWURADZE no.", ""
"LEV.23.39", "Naaso bosoom a otsia esuon no ne da a otsia duenum no mu, sɛ hom roboaboa asaase no do nduadzewa ano a, hom nhyɛ EWURADZE fa no nda esuon: da a odzi kan no nyɛ ahomgye pa, na da a otsia awɔtwe no nyɛ ahomgye pa.", ""
"LEV.23.40", "Na da a odzi kan no hom mfa ndua fɛɛfɛw do nduadzewa, nye menankɔnson, nye ndua wusuww n'abaw, nye esukɔn do ndua; na hom enyi ngye wɔ EWURADZE hom Nyankopɔn enyim nda esuon.", ""
"LEV.23.41", "Na hom nhyɛ no fa mma EWURADZE nda esuon wɔ afrenhyia mu: ɔyɛ daa ahyɛdze wɔ hom ebusuasantsen mu: bosoom a otsia esuon no mu na hom nhyɛ.", ""
"LEV.23.42", "Hom ntsenatsena asese mu nda esuon; hɔn a wɔyɛ amamba wɔ Israel nyinara ntsenatsena asese mu:", ""
"LEV.23.43", "ama hom ebusuasantsen eehu dɛ emi na memaa Israelmba tsenatsenaa asese mu wɔ aber a miyii hɔn fii Egypt asaase do no: emi nye EWURADZE hom Nyankopɔn.", ""
"LEV.23.44", "Na Moses kaa EWURADZE n'afahyɛ a wɔahyehyɛ no kyerɛɛ Israelmba.", ""
