"JDG.16.1", "Nna Samson sii mu kɔr Gaza, na okohun ɔbaa huhunyi bi wɔ hɔ, na ɔkɔr ne nkyɛn.", ""
"JDG.16.12", "Nna Delila faa ntampehoma fofor, na ɔdze kyekyeer no, na ɔsee no dɛ, Samson, Filistiafo reba wo do oo. Nna atsɛweefo no hyɛ adankyir. Na ɔtsetseew no wɔ n’abasa ho dɛ asaabahoma bi.", ""
"JDG.16.13", "Na Delila see Samson dɛ, Esi me atwetwe ebodu ndɛ da yi, na aka akɔhwisɛm akyerɛ me: ka dza wɔdze kyekyer wo a ɔbɛyɛ yie kyerɛ me. Na ɔsee no dɛ, Sɛ edze me tsir mpɛsɛw esuon no fora ɔtanwendze no wen a.", ""
"JDG.16.14", "Na ɔdze dadzeba no bɔɔ mu, na ɔsee no dɛ, Samson, Filistiafo reba wo do oo. Na ofii ne nda no mu nyanee, na otuu dza wɔawen no mu dadzeba no, na awendze no.", ""
"JDG.16.15", "Na ɔsee no dɛ, Ebɛyɛ dɛn ase dɛ modɔ wo, wɔ aber a w’akoma nnyi mo ho yi? Esi me atwetwe mprɛnsa nye yi, na ennkaa adze kor a w’ahoɔdzen kɛse yi wɔ mu no nnkyerɛɛ me.", ""
"JDG.16.16", "Na ɔbaa dɛ, aber a ɔbaa no dze ne nsɛm guaan no ho daa daa, na ɔhyɛɛ no no, ɔyɛɛ Samson ne kra ahomtsew dze kɔr owu mu.", ""
"JDG.16.17", "Na ɔkaa n’akoma mu asɛm nyinara kyerɛɛ no, na ɔsee no dɛ, Oyindam ano nnkaa me tsir da; osiandɛ mifi me na yamu araa na mayɛ (Nazirinyi) nyia ɔakam noho ama Nyankopɔn: sɛ woyi me tsir a, nna m’ahoɔdzen no befi mo ho, na megura, na mayɛ dɛ nyimpa biara so.", ""
"JDG.16.18", "Na aber a Delila hun dɛ ɔaka n’akoma mu asɛm nyinara akyerɛ no no, ɔsomae ma wɔkɛfrɛfrɛɛ Filistiafo ekunyin no, dɛ, Hom mbra prɛko yi ara, na ɔaka n’akoma mu asɛm nyinara akyerɛ me. Nna Filistiafo ekunyin no baa ne nkyɛn, na wɔdzedze sika no wɔ hɔn nsamu bae.", ""
"JDG.16.19", "Na Delila maa ɔdaa n’anankoroma do; na ɔfrɛɛ ɔbanyin bi ma obeyii ne tsir mpɛsɛw esuon no na ɔhyɛɛ ase hyɛɛ no amen, na n’ahoɔdzen no fii no ho kɔree.", ""
"JDG.16.20", "Na ɔsee dɛ, Samson, Filistiafo reba wo do oo. Na ofii ne nda no mu nyanee, na ɔsee dɛ, Mubopue dɛ nkan no, na mawosow moho. Naaso nna ɔnodze onnyim dɛ EWURADZE efi ne nkyɛn kɔ.", ""
"JDG.16.21", "Na Filistiafo no kyeer no, na wotutuu n’enyiwa: na wɔdze no baa Gaza, na wɔdze boran mpokyerɛ too no; na ɔyaam ewu wɔ adaduafo fi no mu.", ""
"JDG.16.22", "Mbom woyii ne tsinhwi no, annkyɛr pii na ne tsinhwi no hyɛɛ ase fuuw bio.", ""
"JDG.16.23", "Na Filistiafo ekunyin no poon hɔnho hyiae dɛ wɔrobɔbɔ afɔr kɛse ama hɔn nyame Dagon, na wɔagye hɔn enyi: na wɔsee dɛ, Hɛn nyame dze hɛn tamfo Samson ahyɛ hɛn nsa.", ""
"JDG.16.24", "Na aber a ɔman no hun no no, woyii hɔn nyame ayɛw: na wɔsee dɛ, Hɛn nyame dze hɛn tamfo, na hɛn man ne sɛɛfo a oekuku hɛn mu piigyan no, ahyɛ hɛn nsa.", ""
"JDG.16.25", "Na ɔbaa dɛ, aber a hɔn akoma tɔɔ hɔn yamu no, wɔsee dɛ, Wɔnkɛfrɛ Samson ma yɛngor no ho. Na wɔkɛfrɛɛ Samson wɔ adaduafo fi no mu bae; na wɔgoor no ho: na wɔdze no gyinaa edum no ntamu.", ""
"JDG.16.26", "Na Samson see abofra no a ɔdze ne nsamu no dɛ, Gyaa me ma munsusuo edum no a ɔdan no si do no mu, ma montwer ho.", ""
"JDG.16.27", "Afei nna dan no mbanyin na mbaa ahyɛ mu ma; na Filistiafo ekunyin no nyinara wɔ hɔ; na nyimpa bɛyɛ mpemebiasa wɔ dan no etsifi a wɔrohwɛ Samson a woridzi no ho fɛw no no.", ""
"JDG.16.28", "Na Samson frɛɛ EWURADZE see dɛ, EWURADZE Nyankopɔn, meserɛ wo, kaa me, na hyɛ me dzen, meserɛ wo, prɛko yi ara, Nyankopɔn, ma mindzi m’enyiwa ebien yi ho wer prɛko wɔ Filistiafo no do.", ""
"JDG.16.29", "Na Samson susuoo finimfin edum ebien no a dan no si do no mu, na ɔtweree, ne nsa enyimfa dze kor mu, na n’abankum dze kor so mu.", ""
"JDG.16.30", "Na Samson see dɛ, Ma menye Filistiafo no nwu. Na ɔdze n’ahoɔdzen nyinara bɔɔ no mu adze; na dan no bui guu ekunyin na nkorɔfo a wɔwɔ mu no nyinara do. Dɛm ntsi ewufo a okum hɔn wɔ no wu mu no dɔɔ so sen hɔn a okum hɔn wɔ no nkwaber mu.", ""
"JDG.16.31", "Nna no nuanom na n’egya fie nyinara sii mu kɔree kɛfaa no, na wɔdze no fowee bae besiee no wɔ Zora na Estaol ntamu wɔ n’egya Manoa n’esiei. Na Samson dzii Israel enyim mfe eduonu.", ""
