"LUK.17.1", "Na ɔkaa kyerɛɛ n’esuafo no dɛ,  Ɔyɛ dɛn ara a fintsidua bɛba: na nyia ɔnam no do bɛba no ndue!", ""
"LUK.17.14", "Na ohun hɔn no, ɔsee hɔn dɛ,  Hom nkɔ mfa hom ho nkɛkyerɛ asɔfo no. Na ɔbaa dɛ wɔrokɔ no, hɔn ho sanee.", "#Lev 14.1-32"
"LUK.17.15", "Na hɔn mu baako hun dɛ no ho asan no, ɔsaan n’ekyir dze ndze kɛse hyɛɛ Nyankopɔn enyimnyam,", ""
"LUK.17.16", "na ɔdze n’enyim butuuw famu wɔ n’ananadze daa no ase: nna ɔno yɛ Samarianyi.", ""
"LUK.17.17", "Na Jesus bisaa dɛ,  Ana nnyɛ du na hɔn ho sanee? Na baakron no dze wɔwɔ hen?", ""
"LUK.17.18", "Woennhu obiara a ɔsanee dze enyimnyam brɛɛ Nyankopɔn, dɛ ɔhɔho yi nko?", ""
"LUK.17.19", "Na ɔsee no dɛ,  Soɛr kɔ: wo gyedzi agye wo.", ""
"LUK.17.20", "Na Farisiifo no bisaa no dɛ aber bɛn na Nyankopɔn ahenman no bɛba no, obuaa hɔn dɛ, Nyankopɔn ahenman no mmba dɛ enyi tuae,", ""
"LUK.17.21", "na eso wɔrennse dɛ, Hwɛ ha, anaa, Hwɛ hɔ: na hwɛ, Nyankopɔn ahenman no wɔ hom mu.", ""
"LUK.17.22", "Na ɔsee n’esuafo no dɛ,  Nda bi bɛba a hom bɛpɛ nyimpa Ba ne nda no mu kor ahwɛ, na hom nnkohu.", ""
"LUK.17.23", "Na wɔbɛka kyerɛ hom dɛ,  Hwɛ ha, anaa, Hwɛ hɔ no a, mma hom nnkɔ, eso mma hom nndzi hɔn ekyir.", ""
"LUK.17.24", "Na dɛ mbrɛ enyinam tsew nyinam fi sor hyerɛn kɔ ase beebi no, dɛmara na nyimpa Ba no bɛyɛ wɔ ne da no mu.", ""
"LUK.17.25", "Na otwar dɛ obohu amandze pii, na ɔsantsen yi apow no ana.", ""
"LUK.17.26", "Na dɛ mbrɛ ɔyɛe wɔ Noa nda no mu no, mbrɛ ɔbɛyɛ wɔ nyimpa Ba no ne nda mu ara nye no.", ""
"LUK.17.27", "Na wodzidzii, wɔnomee, wɔwaree, wɔmaa awar dze kodur da a Noa kɔr hɛn adaka no mu, na nsuyirii no bae bɛsɛɛ hɔn nyina.", ""
"LUK.17.28", "Dɛmara na ɔyɛe wɔ Lot nda no mu: wodzidzii, wɔnomee, wɔtɔe, wɔtɔnee, woduae, wɔtowee;", ""
"LUK.17.29", "na da ara a Lot fiir Sodom firii no, nna ogya nye sɔɔfee fi sor tɔree bɛsɛɛ hɔn nyina;", ""
"LUK.17.30", "dɛmara so na ɔbɛyɛ wɔ da a wobeyi nyimpa Ba no edzi no.", ""
"LUK.17.31", "Da no, nyia ɔwɔ dan etsifi na n’adze wɔ dan mu no, mma onnsian mmbɛfa; na nyia ɔwɔ haban mu no so, mma ɔnnsan n’ekyir.", "#Mat 24.17, 18; Mar 13.15, 16"
"LUK.17.32", "Hom nkaa Lot ne yer no.", "#Gye 19.26"
"LUK.17.33", "Obiara a ɔbɔhwehwɛ dɛ ɔgye no nkwa ayɛ nedze no, ɔbɛyew no; na obiara a ɔbɛyew no nkwa no, ɔbɛgye no.", "#Mat 10.39; 16.25; Mar 8.35; Luk 9.24; Joh 12.25"
"LUK.17.34", "Mese hom dɛ, Anadwe no mbarimba beenu bɛda mpa kor do, na wɔbɛfa baako na woegya baako.", ""
"LUK.17.35", "Mbaa beenu bɔbɔ mu ayam ewu, na wɔbɛfa baako na woegya baako.", ""
"LUK.17.36", "[ Mbarimba beenu bɔwɔ haban mu, wɔbɛfa baako na woegya baako. ]", "#17.36 Akyerɛwfo no binom mmfa nkyekyɛmu 36 no mmba hɔn dze mu."
"LUK.17.37", "Na wobuaa no dɛ, Hen a, Ewuradze? Na ɔsee hɔn dɛ, Mbrɛ fun wɔ no, hɔ na mpɛtɛ bɔboaboa hɔn ano.", ""
