"LUK.21.1", "Na ɔmaa n'enyi do hun ahonyafo a wɔrotow hɔn ayɛyɛdze gu sikakorabea no mu.", ""
"LUK.21.29", "Na obuu hɔn bɛ dɛ,  Hom nhwɛ adɔmbadua nye ndua nyina:", ""
"LUK.21.30", "sɛ wɔfefɛw na hom hwɛ a, nna homankasa hom nyim dɛ ɔhyewber abɛn.", ""
"LUK.21.31", "Dɛmara na hom so, sɛ hom hu dɛ iyinom rokɔ do a, hom nhu dɛ Nyankopɔn ahendzi no abɛn.", ""
"LUK.21.32", "Nokwar mese hom dɛ, Mbasantsen yi runntwa mu nnkɔ gyedɛ ne nyina ayɛ hɔ ansaana.", ""
"LUK.21.33", "Ɔsor nye asaase botwa mu akɔ; naaso me nsɛm dze, wonnkotwa mu akɔ.", ""
"LUK.21.34", "Na hom nhwɛ homho yie, mma etumfursɛm nye asabow nye ɔbra yi ho dadwen aannhyɛ hom akoma do, mma nda no eemmbefir hom awora dɛ mbrɛ efir huan awerɛfir mu:", ""
"LUK.21.35", "na da no bɛba hɔn a wɔtse asaase do no nyina do.", ""
"LUK.21.36", "Mbom hom nweɔn daa, na hom nsɔr ama hom eenya tum dɛ hom dze befi ndzɛmba yi a ɔbɛba yi nyina nsa, na hom etum egyina nyimpa Ba no enyim.", ""
"LUK.21.37", "Na adzekyee biara nna ɔrekyerɛkyerɛ wɔ asɔrfi mu, na anadwe biara nna oepue akɛtsena bepɔw a wɔfrɛ no Ngo Bepɔw do.", "#Luk 19.47"
"LUK.21.38", "Na nkorɔfo no nyina baa ne nkyɛn anapaatu wɔ asɔrfi mu, dɛ woribetsie no.", ""
