"LUK.7.1", "Na owiee ne nsɛm no nyina ka wɔ nkorɔfo no asomu no, ɔkɛhɛɛn Karpernaum.", ""
"LUK.7.22", "Na obuaa hɔn dɛ,  Hom nkɔ nkɛka dza hom ehu na hom atse yi nkyerɛ John, dɛ enyifurafo hu adze, mbubuafo nantsew, akwatafo ho san, etsitsifo tse asɛm, ewufo nyan, na wɔka asɛmpa kyerɛ ehiafo.", "#Isa 35.5, 6; Isa 61.1"
"LUK.7.23", "Na nyia mennkɛyɛ no fintsidua no, nhyira aka no.", ""
"LUK.7.24", "Na John n'abɔfoe no kɔree no, ɔhyɛɛ ase bisaa nyimpadodow no wɔ John ho dɛ,  Ebɛnadze na hom kɔr sar no do kɔhwɛe? Ndzɛmbir a mframa rihim no a?", ""
"LUK.7.25", "Na ebɛnadze na hom puei kɔhwɛe? Nyimpa a ofura tam papa a? Hwɛ, hɔn a wofura atam hyerɛpɛɛ, na wɔyɛ anomu dɛw no, wɔwɔ ahemfie.", ""
"LUK.7.26", "Na ebɛnadze na hom puei kɔhwɛe? Nkɔnhyɛnyi a? Nyew, mese hom dɛ, nyia ɔkyɛn nkɔnhyɛnyi mpo a.", ""
"LUK.7.27", "Oyi nye nyia wɔakyerɛw no ho dɛ, Hwɛ, morosoma mo bɔfoe ma oeedzi w'enyim kan a Obesiesie wo kwan edzi w'enyim.", "#Mal 3.1"
"LUK.7.28", "Mese hom dɛ, hɔn a mbaa awo hɔn nyina mu biara mmpuei a ɔyɛ kɛse kyɛn John: naaso nyia ɔyɛ aketseaba koraa wɔ sor ahenman no mu no yɛ kɛse kyɛn no.", ""
"LUK.7.29", "(Na nkorɔfo a wɔtsee nyina nye atowgyefo no, gyee Nyankopɔn no ndwuma no too mu na wɔdze John n'enuma no numaa hɔn.", "#Mat 21.32; Luk 3.12"
"LUK.7.30", "Naaso Farisiifo nye mbrakyerɛfo no dze, wɔpoow Nyankopɔn n'apam maa hɔnho, osiandɛ wɔamma oennuma hɔn.)", ""
"LUK.7.31", "Dɛm ntsi ɔsee dɛ,  Ebɛnadze na medze ndɛ mber yi mu nyimpa bɔto ho, na wɔtse dɛ ebɛnadze mpo?", ""
"LUK.7.32", "Wɔtse dɛ mbofraba a wɔtsenatsena gua do, na wɔrefrɛfrɛ hɔnho se dɛ, Yɛahɛn atɛntɛbɛn ama hom, na hom annsaw; yeetwa ewuo na hom ennsu.", ""
"LUK.7.33", "John Onumanyi no aba, onndzidzi, ɔnnom nsa, na hom se dɛ, Ɔwɔ sunsum bɔn.", ""
"LUK.7.34", "Nyimpa Ba no aba, odzidzi na ɔnom, na hom se dɛ, Hwɛ, nyimpa tumfur, nsahweam, atowgyefo nye ndzebɔnyɛfo nyɛnko!", ""
"LUK.7.35", "Naaso nyansa ne mba bu no bem.", ""
"LUK.7.36", "Na Farisiifo no mu kor serɛɛ no dɛ ɔnye no nkedzidzi, na ɔkɔr Farisiinyi no ne fie kɛtsenaa edziban ho.", ""
"LUK.7.37", "Na ɔbaa bi a ɔwɔ kurow no mu a ɔyɛ dzebɔnyɛnyi; tsee dɛ oridzidzi wɔ Farisiinyi no ne fie no, ɔdze ngohuam alabasta toaba ma bae,", "#Mat 26.7; Mar 14.3; Joh 12.3"
"LUK.7.38", "na obegyinaa n'ekyir wɔ n'anan ho sui, na ɔhyɛɛ ase dze ne nyinsuwa fɔɔw n'anan ho, na ɔdze ne tsinhwi pepae, na ɔfeew n'anan ho, na ɔdze ngohuam seraa ho.", ""
"LUK.7.39", "Na Farisiinyi a ohyiaa no edzidzi no hunii no, ɔkae wɔ ne tsirmu dɛ, Sɛ oyi yɛ nkɔnhyɛnyi a, nkyɛ obohu onyia kor a, anaa ɔbaa kor a ɔdze ne nsa aka no yi, dɛ ɔyɛ dzebɔnyɛnyi.", ""
"LUK.7.40", "Na Jesus buae see no dɛ,  Simon, mowɔ asɛm bi ka kyerɛ wo.  Na ɔsee dɛ, Kyerɛkyerɛfo, ka.", ""
"LUK.7.41", "Bosabɔnyi bi wɔ akafo beenu: baako dze sika denare ahaenum, baako so dze eduonum.", ""
"LUK.7.42", "Na wonnya bi nntua no, ɔdze kyɛɛ hɔn beenu nyina kwa. Dɛm ntsi hɔn mu woana bɔdɔ no dodow?", ""
"LUK.7.43", "Simon buae see dɛ, Mususu dɛ, nyia ɔdze dodow kyɛɛ no no a. Na ɔsee no dɛ,  Ebua atsɛn pa.", ""
"LUK.7.44", "Na ɔdaan n'enyiwa wɔ ɔbaa no do see Simon dɛ,  Ehu ɔbaa yi? Mebaa wo fie no, ɔwo amma me me nan ho nsu; naaso ɔnodze, ɔdze ne nyinsuwa afɔw me nan ho, na ɔdze ne tsinhwi apepa.", ""
"LUK.7.45", "Ɔwo ammfew m'ano, naaso ɔno dze, ofitsi dɛ mebaa ha yi, onngyaa me nan ho few.", ""
"LUK.7.46", "Ɔwo ammfa ngo annsera me tsirmu, naaso ɔno dze, ɔdze ngohuam asera me nan ho mpo.", ""
"LUK.7.47", "Dɛm ntsi mese wo dɛ no bɔn a ɔdɔɔ so no, wɔdze akyɛ no, osiandɛ no dɔ dɔɔ so; na nyia wɔdze kumaabi akyɛ no, ɔdɔ kumaabi.", ""
"LUK.7.48", "Na ɔsee no dɛ,  Wɔdze wo bɔn akyɛ wo.", ""
"LUK.7.49", "Na hɔn a wɔnye no tse edzidzi no hyɛɛ ase kae wɔ hɔn mu dɛ, Woana nye oyi a ɔdze bɔn so kyɛ yi?", ""
"LUK.7.50", "Na ɔsee ɔbaa no dɛ,  Wo gyedzi agye wo: kɔ asomdwee mu.", ""
