"LUK.19.1", "Na ɔkɛhɛɛn Jeriko dɛ orutwa mu wɔ hɔ.", ""
"LUK.19.34", "Na wobuaa dɛ, Ewuradze wɔ no ho hia.", ""
"LUK.19.35", "Na wɔdze asoasopɔnkɔba no brɛɛ Jesus, na wɔtoow hɔn ntar guu no do, na wɔdze Jesus tsenaa do.", ""
"LUK.19.36", "Na ɔrokɔ no, wɔdze hɔn ntar sesɛɛw kwan mu.", ""
"LUK.19.37", "Na ɔrebɛn mbrɛ woribesian Ngo Bepɔw no, n'esuafo kuw no nyina hyɛɛ ase dzii dɛw, na wɔdze ndze kɛse yii Nyankopɔn ayɛw wɔ tum ndwuma a woehu nyina ntsi,", ""
"LUK.19.38", "dɛ, Nhyira nye Ɔhen a ɔnam Ewuradze dzin mu reba no! Asomdwee wɔ sor, na enyimnyam wɔ sorsor no ho!", ""
"LUK.19.39", "Na Farisiifo no binom a wɔwɔ nyimpadodow no mu no see no dɛ, Kyerɛkyerɛfo, twuw w'esuafo yi enyim.", ""
"LUK.19.40", "Na obuae see dɛ,  Mese hom dɛ, sɛ woyinom mua hɔn ano mpo a, nkyɛ abo bɛtsea mu.", ""
"LUK.19.41", "Na ɔbɛnee no, ɔhwɛɛ kurow no sui wɔ do,", ""
"LUK.19.42", "dɛ,  Sɛ ɔwo, ɔwoara so mpo, sɛ ndɛ inyim ndzɛmba a ɔfa asomdwee ho a nkyɛ oye! Naaso afei wɔdze esuma efi w'enyi do.", ""
"LUK.19.43", "Na nda bi bɛba wo do a w'atamfo bɔto pempe abɔ wo ho aprɔw, na wɔabɔ wo ho kɔntɔnkrɔn, na wɔaka wo ahyɛ mu wɔ mbea nyina,", ""
"LUK.19.44", "na woedwuruw wo egu famu, ɔnye wo mba a wɔwɔ wo mu, na worinngyaa wo mu ɔbo a ɔda bo do; osiandɛ ennhu wo ber a adom ntsi wɔbɔhwɛɛ wo no.", ""
"LUK.19.45", "Na Jesus kɔr asɔrfi no mu no, ɔhyɛɛ ase paam hɔn a wɔtɔn,", ""
"LUK.19.46", "see hɔn dɛ,  Wɔakyerɛw dɛ, Me fie bɛyɛ asɔryɛbea, na hom dze, hom ayɛ no edwotwafo tu.", "#Isa 56.7; Jer 7.11"
"LUK.19.47", "Nna ɔrekyerɛkyerɛ daa wɔ asɔrfi no mu. Na asɔfompanyin nye kyerɛwfo nye ɔman mu etsitsir hwehwɛɛ dɛ woboku no,", "#Luk 21.37"
"LUK.19.48", "naaso woennhu mbrɛ wɔbɛyɛ; osiandɛ ɔman no nyina dze hɔnho takyeer no ho tsiee no.", ""
