"LUK.1.1", "Ɔnam dɛ dodowara dze ato hɔn do dɛ wɔbɛkyerɛw ndzɛmba a aba mu wɔ hɛn mu no esiado esiado,", ""
"LUK.1.19", "Na bɔfo no buae see no dɛ, Emi nye Gabriel a migyina Nyankopɔn enyim, na wɔasoma me dɛ membɛkasa nkyerɛ wo, na menka wo nsɛmpa yi.", "#Dan 8.16; 9.21"
"LUK.1.20", "Na hwɛ, ebɔtɔ mmum, na irunntum nnkasa dze akɛpem da a yinom bɛyɛ hɔ, osiandɛ anngye me nsɛm a ɔbɛba mu wɔ n'aber do no enndzi.", ""
"LUK.1.21", "Na ɔyɛɛ nkorɔfo a wɔrotweɔn Zekaria no nwanwa dɛ ɔakyɛr dɛm wɔ asɔrdan no mu.", ""
"LUK.1.22", "Na opuei no, oenntum annkasa annkyerɛ hɔn; na wohun dɛ oekenya enyido adzehu bi wɔ asɔrdan mu hɔ; na ɔnodze, ɔkɔr do araa dze ne nsa yɛɛ nsɛnkyerɛdze osiandɛ nna ɔda ho araa tɔ mmum.", ""
"LUK.1.23", "Na ɔbaa dɛ no som nda wiee du no, osii mu kɔr nankasa ne fie.", ""
"LUK.1.24", "Na nda no ekyir no ne yer Elizabet nyinsenii na osumaa noho abosoom enum see dɛ,", ""
"LUK.1.25", "Dza Ewuradze ayɛ me, wɔ nda a ɔabɔhwɛ me dɛ obeyi m'enyimguase wɔ nyimpa mu no, nye yi.", ""
"LUK.1.26", "Na bosoom a otsia esia no mu no, Nyankopɔn somaa ɔbɔfo Gabriel wɔ Galilii kurow bi a wɔfrɛ no Nazarɛt,", ""
"LUK.1.27", "wɔ ɔbaabun bi a wɔdze no ama ɔbanyin bi a wɔfrɛ no Josef a ofi David ebusua mu no awar no hɔ; na ɔbaabun no ne dzin dze Mary.", "#Mat 1.18"
"LUK.1.28", "Na ɔbaa no hɔ bɛsee no dɛ, Ei, ɔwo a wɔadom wo kɛse, dzi dɛw! Ewuradze dzi w'ekyir.", "#1.28 Tsetse akyerɛwfo binom dze “Ɔwo a woehyira wo mbasiafo mu” no ka ho."
"LUK.1.29", "Na n'akoma tui wɔ kasa no ho, na ɔdwendween ne tsir mu dɛ ebɛn nkyia na iyi bɛyɛ.", ""
"LUK.1.30", "Na ɔbɔfo no see no dɛ, Mary, mma nnsuro, na enya Nyankopɔn enyim adom.", ""
"LUK.1.31", "Na hwɛ, ibenyinsen, na awo babanyin na ato no dzin JESUS.", "#Mat 1.21"
"LUK.1.32", "Ɔno na ɔbɛyɛ kɛse, na wɔbɛfrɛ no nyia ɔwɔ sorsor no ne Ba; na Ewuradze Nyankopɔn dze n'egya David ahengua no bɛma no,", "#2 Sam 7.12, 13, 16; Isa 9.7"
"LUK.1.33", "na obedzi Jakob fi do hen daapem, na n'ahendzi nnkɔbɔ adze da.", ""
"LUK.1.34", "Na Mary see ɔbɔfo no dɛ, Minnyim banyin yi, yinom besi dɛn aba mu?", ""
"LUK.1.35", "Na bɔfo no buae see no dɛ, Sunsum Krɔnkrɔn bɛba wo do, na nyia ɔwɔ sorsor no n'ahoɔdzen bɛkata wo do; dɛm ntsi so adze krɔnkrɔn a wɔbɔwo no no, wɔbɛfrɛ no Nyankopɔn Ba.", ""
"LUK.1.36", "Na hwɛ, wo busuanyi Elizabet so enyinsen babanyin wɔ ne mberwaber mu, na nyia wɔfrɛ no ɔbɔnyin no, n'abosoom esia nye yi.", ""
"LUK.1.37", "Na Nyankopɔn afamu dze, biribiara nnyi hɔ a onntum nnyɛ hɔ.", "#Gye 18.14"
"LUK.1.38", "Na Mary see dɛ, Hwɛ, Ewuradze afonabaa nye me: ɔnyɛ hɔ mma me dɛ mbrɛ w'asɛm se. Na bɔfo no fii ne nkyɛn kɔree.", ""
"LUK.1.39", "Na nda no mu ara Mary soɛɛr ntsɛntsɛm kɔr Juda nkokodo nkurow no bi mu;", ""
"LUK.1.40", "na ɔkɛhɛɛn Zekaria fie kekyiaa Elizabet.", ""
"LUK.1.41", "Na ɔbaa dɛ Elizabet tsee Mary ne nkyia no, ɔba no huruuw ne yamu; na Sunsum Krɔnkrɔn hyɛɛ Elizabet ma,", ""
"LUK.1.42", "na ɔdze ndze kɛse kasae see dɛ, Nhyira aka wo wɔ mbasiafo mu, na nhyira aka wo yamu aba.", ""
"LUK.1.43", "Na iyi fi hen ba mo hɔ, dɛ m'Ewuradze ne na bɛba me nkyɛn?", ""
"LUK.1.44", "Na hwɛ, ntsɛmara a wo nkyia twaa m'asomu no, na abofra no dze dɛw huruhuruwii wɔ mo mu.", ""
"LUK.1.45", "Na nhyira aka nyia ɔagye edzi: na dza Ewuradze ama wɔabɛka akyerɛ no no bɛba mu.", ""
"LUK.1.46", "Na Mary see dɛ: Me kra tonton Ewuradze,", "#1 Sam 2.1-10"
"LUK.1.47", "Na mo sunsum dzi dɛw wɔ me Nyankopɔn m'Agyenkwa no mu.", ""
"LUK.1.48", "Osiandɛ ɔabɔhwɛ n'afonabaa wɔ ne mbrɛadze asetsena mu: Na hwɛ, ofitsi ndɛ ebusuasantsen nyina bɛfrɛ me osiarfo.", "#1 Sam 1.11"
"LUK.1.49", "Osiandɛ Otumfo ayɛ adze kɛse ama me; na Ne dzin nye krɔnkrɔn.", ""
"LUK.1.50", "Na n'ehumbɔbɔr wɔ hɔn a wosuro no do fi ebusuasantsen do kɛpem ebusuasantsen.", ""
"LUK.1.51", "Ɔdze ne basa akyerɛ ahoɔdzen, Ɔapansam nkontompɔfo wɔ hɔn akoma adwen mu.", ""
"LUK.1.52", "Oetu etumfo efi hɔn nhengua do, Na ɔama hɔn a wɔbrɛ adze no do.", "#Job 5.11"
"LUK.1.53", "Ɔdze ndzepa amee hɔn a ɔkɔm dze hɔn, na oegya ahonyafo kwan wɔ yafumpan mu.", ""
"LUK.1.54", "Oesuo n'akowaa Israel mu dɛ ɔdze bɛkaa n'ehumbɔbɔr,", ""
"LUK.1.55", "dɛ mbrɛ ɔkaa kyerɛɛ hɛn egyanom no, ama Abraham nye n'asefo daa.", "#Gye 17.7"
"LUK.1.56", "Na Mary nye Elizabet tsenaa bɛyɛ abosoom ebiasa, na ɔsanee kɔr noara ne fie.", ""
"LUK.1.57", "Na Elizabet n'aber a ɔdze bɔwo durii, na ɔwoo babanyin.", ""
"LUK.1.58", "Na no sɔnmufo nye n'ebusuafo tsee ehumbɔbɔr kɛse a Ewuradze dze ehu no, na wɔnye no dzii dɛw.", ""
"LUK.1.59", "Na ɔbaa dɛ ne ndaawɔtwe soe no, wɔbaa dɛ worubotwa abofra no twatsia, na wɔpɛɛ dɛ nkyɛ wɔbɛfrɛ no Zekaria, dɛ mbrɛ n'egya ne dzin tse,", "#Lev 12.3"
"LUK.1.60", "naaso ne na buae see dɛ, Oho, na wɔbɛfrɛ no John.", ""
"LUK.1.61", "Na wɔsee no dɛ, Obiara nnyi w'ebusua mu a ne dzin dze dɛm.", ""
"LUK.1.62", "Na wɔdze nsa bisaa n'egya dɛ mbrɛ ɔpɛ dɛ wɔfrɛ no.", ""
"LUK.1.63", "Na obisaa kyerɛwpon kyerɛɛw do dɛ, Ne dzin nye John. Na ɔyɛɛ hɔn nyina nwanwa.", ""
"LUK.1.64", "Na n'ano nye ne tɛkyerɛma buee amonmu hɔ ara, na ɔkasae yii Nyankopɔn ayɛw.", ""
"LUK.1.65", "Na hu kaa hɔn a wɔtsetse hɔn nkyɛn nyina, na nsɛm yi nyina wɔkekae wɔ Judea nkokodo nkurow nyina mu.", ""
"LUK.1.66", "Na hɔn a wɔtsee nyina dze too hɔn akoma mu dɛ, Abofra bɛn na oyi bɛyɛ? Osiandɛ Ewuradze ne nsa wɔ no do.", ""
"LUK.1.67", "Na n'egya Zekaria dze, Sunsum Krɔnkrɔn bɛhyɛɛ no ma na ɔhyɛɛ nkɔm dɛ,", ""
"LUK.1.68", "Nhyira nka Ewuradze, Israel Nyankopɔn; Osiandɛ ɔabɔhwɛ no nkorɔfo na ɔapon hɔn,", ""
"LUK.1.69", "Na ɔama nkwagye ambɛn do ama hɛn Wɔ n'akowaa David fie,", ""
"LUK.1.70", "dɛ mbrɛ ɔnam no nkɔnhyɛfo krɔnkrɔn a wɔwɔ hɔ fi tsetse no hɔn ano do kae no,", ""
"LUK.1.71", "dɛ wɔngye hɛn mfi hɛn atamfo nye hɔn a wokyir hɛn nyina nsamu;", ""
"LUK.1.72", "Dɛ ɔbɛyɛ ehumbɔbɔr ama hɛn egyanom, na ɔakaa n'ahyɛmu krɔnkrɔn no;", ""
"LUK.1.73", "ntam a ɔkaa kyerɛɛ hɛn egya Abraham,", ""
"LUK.1.74", "dɛ ɔbɛma woeyi hɛn efi hɛn atamfo nsamu, na yɛasom no dɛ hu nnyi mu,", ""
"LUK.1.75", "wɔ ahotsewee nye tsenenee mu wɔ n'enyim hɛn nkwa nda nyina.", ""
"LUK.1.76", "Na ɔwo abofra yi, wɔbɛfrɛ wo nyia ɔwɔ sorsor no nkɔnhyɛnyi: Osiandɛ ibedzi Ewuradze n'enyim kan ekesiesie n'akwan mu,", "#Mal 3.1"
"LUK.1.77", "dze nkwagye ho nyimdzee akɛma no nkorɔfo wɔ hɔn bɔnfakyɛ mu a", ""
"LUK.1.78", "ofi hɛn Nyankopɔn n'ayamuhyehye mbɔbɔrhu no mu, a ɔnam do ma adzekyee a ofi sor abɔhwɛ hɛn no,", ""
"LUK.1.79", "dɛ ɔbɛhyerɛn ama hɔn a wɔtsetse sum mu nye owu no sunsuma ase; na wɔatsentsen hɛn anan akɔ asomdwee kwan no do.", "#Isa 9.2"
"LUK.1.80", "Na abofra no nyinii, na ɔyɛɛ dzen wɔ sunsum mu; na ɔtsenaa sar no do kodur da a ɔdze noho kɛkyerɛɛ Israel.", ""
