"LUK.23.1", "Na nyimpadodow no nyina soɛree, na wɔdze no kɔr Pilate nkyɛn.", ""
"LUK.23.46", "Na Jesus dze ndze kɛse kaa mu dɛ,  Egya, wo nsamu na medze mo sunsum mehyɛ. Na ɔsee dɛm no, ogyaa no sunsum mu.", "#Dwom 31.5"
"LUK.23.47", "Na ɔhamupanyin no hun dza ayɛ no, ɔhyɛɛ Nyankopɔn enyimnyam see dɛ, Ampaara nyimpa yi tseneneenyi a.", ""
"LUK.23.48", "Na nyimpadodow a wɔbaa hɔ bɔhwɛɛ adze nyina no hun dza esi no, wɔdze hɔn nsa bobɔɔ hɔn koko do sanee kɔree.", ""
"LUK.23.49", "Na n’amanyimfo nyina, nye mbaa a wodzii n’ekyir fii Galilii nyina kegyinaa ekyirekyir hwɛɛ ndzɛmba yi.", "#Luk 8.2, 3"
"LUK.23.50", "Na hwɛ, ɔbarimba bi a ne dzin dze Josef a ɔyɛ nyimpa papa na ɔtsen, ka abaguafo no ho,", ""
"LUK.23.51", "naaso ɔnodze ɔammpen hɔn apam nye hɔn ndzeyɛɛ no do. Ofi Jewfo kurow Arimatea mu, nna ɔrotweɔn Nyankopɔn n’ahendzi no.", ""
"LUK.23.52", "Ɔno na ɔkɔr Pilate hɔ kɛserɛɛ Jesus no fun no.", ""
"LUK.23.53", "Na oyii no dze ndwera tam kyekyeer no ho, na ɔdze no too ɔboda a obiara nndaa mu da mu.", ""
"LUK.23.54", "Nna da no yɛ Ahosiesieda, na ahomgyeda no rebɛn.", ""
"LUK.23.55", "Na mbaa a wɔnye no fii Galilii bae no dzii ekyir bɔhwɛɛ nda no, nye mbrɛ wɔdze no fun toe.", ""
"LUK.23.56", "Na wɔsanee kesiesiee nduhuam nye ngohuam. Na ahomgyeda no wɔhoom dzinn, dɛ mbrɛ mbrasɛm no tse.", "#Eks 20.10; Deut 5.14"
