"LUK.18.1", "Na obuu hɔn bɛ bi dze kyerɛɛ dɛ otwar dɛ nyimpa bɔ mpaa daa, na ɔnntɔ bahaw:", ""
"LUK.18.20", "Inyim mbransɛm no, Mma nndzi ewu, Mma nnto awar, Mma nnwia adze, Mma nngye dasewia, Dzi w’egya nye wo na nyi.", "#Eks 20.14; Deut 5.18; Eks 20.13; Deut 5.17; Eks 20.15; Deut 5.19; Eks 20.16; Deut 5.20; Eks 20.12; Deut 5.16"
"LUK.18.21", "Na ɔsee dɛ, Yinom nyinara mifitsi me mbofraber mu na medzi do.", ""
"LUK.18.22", "Na Jesus tsee dɛm no, ɔsee no dɛ,  Ɔda ho ka wo adze kor: kɔtɔn dza ewɔ nyinara, na kyɛ ma ehiafo, na ibenya akoradze wɔ sor, na bra bɛka mo do.", ""
"LUK.18.23", "Na ɔtsee yi no ɔyɛɛ no awerɛhow dɛ, osiandɛ ɔyɛ ɔhonyanyi mapa.", ""
"LUK.18.24", "Na Jesus hun no no, ɔsee dɛ,  Ebɛn dzen na ɔyɛ ma hɔn a wɔwɔ ahonya dɛ wɔbɔkɔ Nyankopɔn n’ahenman mu!", ""
"LUK.18.25", "Na ɔyɛ mberɛw ma efupɔnkɔ dɛ obodua doroba enyiwa mu kyɛn dɛ ɔhonyanyi bɔkɔ Nyankopɔn n’ahenman mu.", ""
"LUK.18.26", "Na hɔn a wɔtsee no kaa dɛ, Dɛm a nna woana na wobotum agye no nkwa?", ""
"LUK.18.27", "Na ɔsee dɛ,  Dza nyimpa nntum nnyɛ no, ɔnnso Nyankopɔn yɛ.", ""
"LUK.18.28", "Na Peter see dɛ, Hwɛ, yeegyaa hɛn ndzɛmba nyina na yɛabɛka wo do.", ""
"LUK.18.29", "Na ɔsee hɔn dɛ,  Nokwar mese hom dɛ, Obi nnyi hɔ a oegyaa fie anaa yer anaa enuanom anaa awofo anaa mba wɔ Nyankopɔn n’ahenman ntsi,", ""
"LUK.18.30", "na onnkenya ho mbɔho pii wɔ ber yi mu, na wiadze a ɔreba no mu onnyiewiei nkwa.", ""
"LUK.18.31", "Na ɔfaa duebien no na ɔsee hɔn dɛ,  Hwɛ, yɛrokɔ Jerusalɛm, na ndzɛmba a nkɔnhyɛfo no akyerɛw no nyimpa Ba no ho nyina bɛba mu.", ""
"LUK.18.32", "Na wobeyi no ama amanamamfo, na wobesi no atwetwe, na wɔabɔ no adapaa, na wɔatoto ntafi egu no do;", ""
"LUK.18.33", "na wɔaka no mpire, na woeku no; na da a otsia ebiasa no ɔbɔsoɛr bio.", ""
"LUK.18.34", "Na hɔn dze wɔanntse iyinom mu biara ase, na asɛm yi sumaa hɔn, na woennhu dza ɔreka no.", ""
"LUK.18.35", "Na ɔbaa dɛ ɔbɛɛn Jeriko no, onyifurafo bi tse kwan nkyɛn reserɛserɛ adze;", ""
"LUK.18.36", "na ɔtsee dɛ nyimpadodow rutwa mu no, obisaa dɛ ebɛn asɛm rokɔ do?", ""
"LUK.18.37", "Na wɔkaa kyerɛɛ no dɛ Jesus Nazarɛtnyi no na ɔresen.", ""
"LUK.18.38", "Na ɔkaa mu see dɛ, Jesus, David ba, hu me mbɔbɔr!", ""
"LUK.18.39", "Na hɔn a wodzi kan no braa no dɛ ɔnka n’ano nto mu; na ɔnodze, mbom ɔtseaa mu dzendzen dɛ, David ba, hu me mbɔbɔr.", ""
"LUK.18.40", "Na Jesus gyinae, na ɔkaa dɛ wɔmfa no mbra ne nkyɛn; na ɔbɛnee no, obisaa no dɛ,", ""
"LUK.18.41", "Ebɛnadze na epɛ dɛ meyɛ mema wo?  Na ɔsee dɛ, Ewuradze, nkyɛ meehu adze.", ""
"LUK.18.42", "Na Jesus see no dɛ,  Hu adze: wo gyedzi agye wo.", ""
"LUK.18.43", "Na amonmu hɔ ara ohun adze, na ɔkaa no do, dze enyimnyam maa Nyankopɔn; na nkorɔfo no nyina hunii no, wɔdze ayɛyi maa Nyankopɔn.", ""
