"DAN.5.1", "Ɔhen Belsazar too n’ebirɛmpɔn apem pon kɛse, na ɔnoom nsa wɔ hɔn enyim.", ""
"DAN.5.17", "Nna Daniel buae see ɔhen no dɛ, W’akyɛdze nko woara wo hɔ, na fa w’akatua ma obi; naaso mebɛkenkan kyerɛw no akyerɛ wo, na mama ehu ne nkyerɛase.", ""
"DAN.5.18", "Ɔwo ɔhen, Ɔsorsor Nyankopɔn dze ahendzi no, na akɛseyɛ, na enyimnyam, na tumdzi, maa w’egya Nebukadenezar:", ""
"DAN.5.19", "na osian tum a ɔdze maa no ntsi, aman, amanaman, na kasa horow nyina ho popoe na wosuroi wɔ n’enyim: nyia ɔpɛ na okum no, na nyia ɔpɛ na ɔmaa ɔtsenaa ase; na nyia ɔpɛ na ɔmaa no do, na nyia ɔpɛ na ɔbrɛɛ no adze.", ""
"DAN.5.20", "Na n’akoma maa noho do, na no sunsum sorowee ma ɔyɛɛ nkontompɔdze no, wotuu no fii n’ahengua no do, na wɔgyee n’enyimnyam fii ne nsamu:", ""
"DAN.5.21", "na wɔpaam no fii adasamba mu; na wɔyɛɛ n’adwen dɛ mbowa dze, na ɔnye sar do nsoasopɔnkɔ kɛtsenae; wɔmaa ɔwee efuw dɛ anantwi, na ɔsor bɔsu fɔɔw no honam: kodur dɛ ohun dɛ Ɔsorsor Nyankopɔn no dzi tum wɔ nyimpa ahendzi mu, na dɛ ɔnoara na ɔdze obiara a ɔpɛ si do.", ""
"DAN.5.22", "Na ɔwo ne ba, Belsazar, inyim iyi nyinara dze, naaso ammbrɛ w’akoma adze;", ""
"DAN.5.23", "na mbom ama woho do etsia ɔsor Wura; na wɔdze ne fie nkɔɔpow aba w’enyim na ɔwo na w’ebirɛmpɔn, wo yernom na wo nwewefo, anonom mu nsa; na ɔwo akamfo dwetɛ, na sika, boran, dadze, dua, na ɔbo abosom a wonnhu adze, eso wɔnntse asɛm, na wonnyim no: na Nyankopɔn a w’ahom wɔ ne nsamu, na w’akwan nyina yɛ nedze no dze, annhyɛ no enyimnyam:", ""
"DAN.5.24", "ɔno ntsi na wɔsomaa nsakum no fi n’enyim bae, na kyerɛw yi wokrukyei.", ""
"DAN.5.25", "Na kyerɛw a wokrukyei no nye: MENE, MENE, TEKEL, UPHARSIN.", ""
"DAN.5.26", "Asɛm no ne nkyerɛase nye yi: MENE; Nyankopɔn akan w’ahendzi, na ɔdze aba ewiei.", ""
"DAN.5.27", "TEKEL; woeker wo wɔ nsɛn mu, na woehu wo dɛ etɔ sin.", ""
"DAN.5.28", "PERES (UPHARSIN); wɔakyɛ w’ahendzi mu na wɔdze ama Mediafo na Persiafo.", ""
"DAN.5.29", "Nna Belsazar hyɛe ma wofuraa Daniel ɔberdum, na wɔdze sika ntweaban guu no kɔn mu, na wɔbɔɔ no ho dawur dɛ ɔbɛyɛ ahendzi no mu tumdzifo a otsia ebiasa.", ""
"DAN.5.30", "Anadwe no ara na wokum Kaldeahen Belsazar.", ""
"DAN.5.31", "Na Medianyi Darius ne nsa kaa ahendzi no, nna oedzi mfe eduosia ebien.", ""
