"DAN.9.1", "Ahasuerus ne ba Darius a n’ase fi Mediafo mu a wɔyɛɛ no Kaldeafo ahenman do ɔhen no,", ""
"DAN.9.13", "Dɛ mbrɛ wɔakyerɛw no Moses mbra mu no, na mbusu yi nyina aba hɛn do: naaso yɛnnserɛɛ EWURADZE hɛn Nyankopɔn n’enyimtsewee, dɛ yɛbɛdan efi hɛn emumuyɛ ho, na yeenya nhumu wɔ wo nokwar no mu.", ""
"DAN.9.14", "Dɛm ntsi na EWURADZE atweɔn na ber a ɔsɛ mu no, ɔdze atoyerɛnkyɛm aba hɛn do: na EWURADZE hɛn Nyankopɔn dze, ɔtsen wɔ n’edwuma a ɔyɛ nyina mu, na hɛn na yɛannyɛ setsie amma ne ndze.", ""
"DAN.9.15", "Na afei, hɛn EWURADZE Nyankopɔn a edze wo nsa a ɔyɛ dzen yii wo man fii Egypt asaase do dze gyee dzin, dɛ mbrɛ ɔtse ndɛ da yi: yɛayɛ bɔn, yɛayɛ no emumuyɛ mu.", ""
"DAN.9.16", "EWURADZE, dɛ mbrɛ wo tsenenee nyina tse no, meserɛ wo, ma w’ebufuw na w’ebufuhyew ndan mfi wo kurow Jerusalɛm, wo bepɔw krɔnkrɔn no do: osian hɛn bɔn ntsi, na hɛn egyanom emumuyɛ ntsi, na Jerusalɛm na wo man adan ahorohoraadze ama hɔn a wɔabɔ hɛn ho aprɔw yi.", ""
"DAN.9.17", "Dɛm ntsi afei, hɛn Nyankopɔn, yɛ aso ma w’akowaa ne mpaabɔ, na no nkotoserɛ, na ma w’enyim nhyerɛn wo krɔnkrɔnbea a ayɛ amamfo no do, wɔ ɔwoara EWURADZE ntsi.", ""
"DAN.9.18", "Me Nyankopɔn, brɛ w’aso adze tsie; bue w’enyiwa, na hwɛ hɛn amamfo, na kurow a wɔbɔ wo dzin frɛ no no: na yɛmmfa hɛn nkotoserɛ mmbɔto w’enyim wɔ hɛn tsenenee ntsi, na mbom wo mbɔbɔrhu akɛse no ntsi a.", ""
"DAN.9.19", "Ao EWURADZE tsie; ao EWURADZE, fa kyɛ; ao EWURADZE, yɛ aso na yɛ; mma nkyinkyim; ao me Nyankopɔn, osian ɔwoara ntsi, osiandɛ wo dzin na wɔbɔ frɛ wo kurow na wo man.", ""
"DAN.9.20", "Na meda do rekasa, na morobɔ mpaa, na mereka mo bɔn na me man Israel hɔn bɔn, na medze mo nkotoserɛ roto EWURADZE me Nyankopɔn enyim ama me Nyankopɔn ne bepɔw krɔnkrɔn no;", ""
"DAN.9.21", "nyew, meda do rekasa wɔ mpaabɔ mu no, ɔbɔfo Gabriel a muhun no enyido adzehu no mu ahyɛse no tuu paa baa me nkyɛn wɔ ewimbir afɔrbɔ ber mu.", ""
"DAN.9.22", "Na ɔkyerɛkyerɛɛ me, na ɔnye me kasae dɛ, Daniel e, afei maba dɛ merebɛma awea ntseasee ho.", ""
"DAN.9.23", "Wo nkotoserɛ ahyɛse no, mbrasɛm no fiir edzi, na maba dɛ merebɛka akyerɛ wo; osiandɛ wɔdɔ wo kɛse dɛ: dɛm ntsi dwendwen asɛm no ho, na tse enyido adzehu no ase.", ""
"DAN.9.24", "Wɔahyɛ mfe eduosuon ahorow esuon mbra wɔ wo man na wo kurow krɔnkrɔn no do, dɛ wonwie mbrato, wɔmma bɔn mbɔ adze, wɔmpata mma emumuyɛ, na wɔmfa daa tsenenee mbra, na wɔnsɔw enyido adzehu na nkɔnhyɛ ano, na wɔnsera akrɔnkrɔndze mu akrɔnkrɔndze no ngo.", ""
"DAN.9.25", "Dɛm ntsi hu dɛ, ofitsi mbrasɛm a ɔka dɛ wɔnsan nkyekyer Jerusalɛm nsi n’ananmu no dze kesi ɔhen a wɔasera no no do no yɛ mfe esuon: na mfe esuon ahorow eduosia ebien na wɔdze bɛkyekyer ɔbrɔn na ɔfasu no wɔ ahohiahia ber mu mpo.", ""
"DAN.9.26", "Na dɛm mber no ekyir no, wobotwa nyia wɔasera no no akyen, na onnkenya biribiara: na ɔhen a ɔbɛba no ne man bɛsɛɛ kurow na krɔnkrɔnbea no; na n’ewiei bɛba wɔ nsuyirii mu, ɔko bɛba araa dze ekesi ase; woesua amamfoyɛ ato hɔ.", ""
"DAN.9.27", "Na ɔnye pii bedzi ahyɛmu pintsinn mfe esuon: na ber no ne finimfin ɔbɛma okum afɔr na edziban afɔr abɔ adze; na ekyiwadze no etsifi na amamfoyɛfo besi; na ɔdze ekowie dɛ dza woesua ato hɔ no, woehue ebufuw egu amamfoyɛfo no do.", ""
