"DAN.11.1", "Na emi dze, Medianyi Darius n'afe a odzi kan no mu no migyinaa dɛ murusuo no mu mahyɛ no dzen.", ""
"DAN.11.12", "Na pomu afamu hen no bɔsoɛr, na n'akoma ama noho do: na ɔbɛka mpem du du egu famu, naaso orinndzi nyim nnkyɛr.", ""
"DAN.11.13", "Na kwaamu afamu hen no bɛsan dze nyimpadodow a wɔdɔɔ so sen kan no dze no ebegyina; na ɔdze rokɔ mfe bi ekyir no, ɔbɛsan dze dɔm kɛse na ndzɛmba pii aba.", ""
"DAN.11.14", "Na mber no mu no, pii bɔsoɛr etsia pomu afamu hen no; nkyii so wo man mu akakabemfo mba bɛmema hɔnho do dɛ wɔbɛma enyido adzehu no etsim; na wɔbɔhwehwe ase.", ""
"DAN.11.15", "Nna kwaamu afamu hen no bɛba abɔhɔr pempe, na ɔafa kurow a ɔagye ho ban dzendzen no: na pomu afamu akofo, anaa no dɔm a wɔasan mu eyi hɔn no runntum nngyina, eso worinnya ahoɔdzen bi nngyina.", ""
"DAN.11.16", "Na nyia ɔbɛba no do no bɛyɛ dza nankasa pɛ, na obiara nnkotum n'enyim gyina. Na obegyina asaase fɛɛfɛw no do, na ɔdze ne nsa asɛɛ no.", ""
"DAN.11.17", "Na ɔdze besi n'enyim dɛ ɔdze n'ahenman ahoɔdzen nyina reba, na tɔɔtsenyɛfo ka no ho; na ɔbɛyɛ n'apɛdze: na ɔdze mbaa babaa no ama no, dɛ ɔbɛsɛɛ no; na orinngyina, eso ɔronnko hɔ mma no.", ""
"DAN.11.18", "Iyi ekyir no ɔbɛdan n'enyi akɔ nsupruw do, na ɔafa dodowara: na ɔsafohen bi bɛma oegyaa ahorohoraa a ɔhyɛ no hyɛ; naaso mpo, ɔbɛma n'ahorohoraa no adan ebua nankasa n'etsifi.", ""
"DAN.11.19", "Nna ɔbɛdan n'enyi akɔ nankasa n'asaase do akoban no do: naaso obefintsiw ahwe ase, na worunnhu no.", ""
"DAN.11.20", "Na obi bɔsoɛr egyina n'ananmu a ɔbɛma towgyegyenyi pempensinyi bi edua ɔman no n'enyimnyam mu; na wɔbɛsɛɛ no nda kumaabi mu, nnyɛ ebufuw mu, anaa ɔko mu a.", ""
"DAN.11.21", "Na ɔkwasampanyi bi bɔsoɛr n'ananmu a wɔmmfaa ahendzi no n'enyimnyam mmaa no: na ɔbɛba no ahodweber mu, na ɔdze adzɛfɛdzɛfɛsɛm ebosuo ahendzi no mu.", ""
"DAN.11.22", "Na ɔdze nsuyirii abasa bɛpram hɔn efi n'enyim, na woebubu hɔn; nyew, ahyɛmu safohen no so", ""
"DAN.11.23", "Na nkabɔmu a wɔnye no bɛyɛ no ekyir, ɔbɛyɛ no ndaadaa mu: na ɔbɔfow aba, na ɔdze dɔm kakrabaa bi bɛba abɛyɛ dzen.", ""
"DAN.11.24", "Ahodweber mu na obotu aba asaase no do mbrɛ ɔyɛ fɔɔfɔɔ; na ɔbɛyɛ dza n'egyanom, anaa n'egyanom hɔn egyanom nnyɛɛ pɛn; ɔbɛpetse afodze, na asadze, na ahodze ama hɔn. Nyew, ɔbɛhyehyɛ ne tsirmu nhyehyɛɛ wɔ akoban no mu ma ekodu ber bi.", ""
"DAN.11.25", "Na ɔdze dɔm kɛse bekenyan no tum na ne ndam etsia pomu afamu hen no; na pomu afamu hen dze dɔm a ɔyɛ dzen pii pa botu sa abɔko: naaso orinngyina, osiandɛ wɔbɔkɔ ne tsir do apam.", ""
"DAN.11.26", "Ɛhɛɛ, hɔn a wodzi n'edziban na wɔbɛsɛɛ no, na no dɔm no bɛpram do na atɔfo pii ahwehwe ase.", ""
"DAN.11.27", "Na ahemfo beenu no dze, hɔn akoma bɛyɛ emumuyɛ, na wɔbɛka atorsɛm wɔ edzidzipon kor do: na orunnwie yie; na ewiei no bɛba ara wɔ ber a wɔahyɛ.", ""
"DAN.11.28", "Nna kwaamuhen no dze ahodze kɛse bɛsan akɔ nankasa n'asaase do; naaso n'akoma betsia ahyɛmu krɔnkrɔn no, na ɔayɛ n'apɛdze, na ɔasan akɔ nankasa n'asaase do.", ""
"DAN.11.29", "Ber a wɔahyɛ no mu na ɔbɛsan aba pomu afamu; na ekyir dze no rennyɛ dɛ kan dze no.", ""
"DAN.11.30", "Na Kittim ahɛn bɛba no do; na n'akoma botu na ɔasan, na oenya ebufuw wɔ ahyɛmu krɔnkrɔn no do, na ɔayɛ n'apɛdze: ɔbɛsan mpo, na n'enyi aba hɔn a wɔapow ahyɛmu krɔnkrɔn no do.", ""
"DAN.11.31", "Na ɔdze nsordaafo begyina n'afamu, na wobogu krɔnkrɔn bea no ho fi, mekyerɛ abankɛse no mpo, na woeyi daa ɔhyew afɔr no wɔ hɔ, na wɔdze amamfoyɛ ekyiwadze a ɔbɔ man no ebesi hɔ.", ""
"DAN.11.32", "Na hɔn a wɔbɔ ahyɛmu no ho mbusu no, ɔdze adzɛfɛdzɛfɛw bɛsɛɛ hɔn: naaso ɔman a wonyim hɔn Nyankopɔn no dze, hɔn ho bɛyɛ dzen, na wɔayɛ adze.", ""
"DAN.11.33", "Na ɔman no mu hɔn a wonyim nyansa no, wɔbɛkyerɛkyerɛ nyimpa pii: naaso wɔbɔtotɔ afona ano na ogyaframee mu, ndɔmmumfa na afofa mu, nda pii.", ""
"DAN.11.34", "Na sɛ wɔbɔhwehwe ase a, wɔdze mboa kakrabaa bi bɔboa hɔn: na nyimpa pii dze adzɛfɛdzɛfɛw dze hɔnho bɛbata hɔn ho.", ""
"DAN.11.35", "Na hɔn mu binom a wɔyɛ enyansafo no, wɔbɔtotɔ, dɛ wɔrosɔ hɔn ahwɛ, na wɔapɔw hɔn ho, na wɔahoa hɔn ho fitaa, ekesi ewiei aber no do: osiandɛ ɔbɛkyɛr ekodu aber a wɔahyɛ no.", ""
"DAN.11.36", "Na ɔhen no bɛyɛ dɛ mbrɛ ɔpɛ; na ɔbɛma noho do, na oedzi bosom biara do ekromponsɛm, na wɔaka anwanwasɛm etsia enyame mu Nyame: na obesi no yie ara ekodu dɛ ebufuhyew no bɛsa; na dza woesua apaa do no, wɔbɛyɛ.", ""
"DAN.11.37", "Eso orummbu n'egyanom abosom anaa mbaa hɔn ahwehwɛdze no bi, eso orummbu bosom biara bi. Na obohuhor noho wɔ adze nyina do.", ""
"DAN.11.38", "Na n'ananmu na obedzi abankɛse bosom no nyi: na bosom a n'egyanom nnyim no no na ɔdze sika, na dwetɛ, na aboɔdzembo, na afɛɛfɛdze bedzi no nyi.", ""
"DAN.11.39", "Na ɔdze bosom nanaben no mboa bɛyɛ abankɛse dzendzenndzen no ho adze; obiara a obu no bi no, ɔdze enyimnyam bɛyɛ no kɛse: na ɔbɛma woedzi dodowara do tum, na wɔakyɛ asaase no ayɛ akatua.", ""
"DAN.11.40", "Na ewiei ber no mu na pomu afamu hen no ɔnye no befimfen: na kwaamu afamu hen no dze ntseaseanam, na mpɔnkɔdofo, na ahɛn pii bɛba no do dɛ kyinehyia mframa; na ɔbɛkɛhɛn nkurow nkurow no mu, na ɔapram do.", ""
"DAN.11.41", "Ɔbɛhɛn asaase fɛɛfɛw no so do, na wobobutuw nkurow nkurow pii: na yinom dze, wɔbɛgye hɔn efi ne nsamu: Edom, na Moab, na Ammonmba mu etsitsir no.", ""
"DAN.11.42", "Ɔbɛtsen ne nsa so wɔ nkurow nkurow no do: na Egypt asaase nnkefi nsa.", ""
"DAN.11.43", "Na obenya sika na dwetɛ akoradze na Egypt ndzɛmba a ɔsom bo nyinara edzi do tum: na Libiyafo na Etiopiafo bedzi n'anamɔn ekyir", ""
"DAN.11.44", "Na nsɛm a ofi boka na kwaamu afamu bɛhaw no: na ɔdze enyiber kɛse epue akɔ dɛ ɔrekɛsɛɛ na ɔadwerew nyimpa pii huntuhuntu.", ""
"DAN.11.45", "Na ɔdze n'ahemfi ntamadan no besi po na enyimnyam bepɔw krɔnkrɔn no ntamu; naaso ɔbɛba n'ewiei, na obiara rommboa no.", ""
