"GEN.21.1", "Na EWURADZE bɛseraa Sara dɛ mbrɛ ɔsee no, na Ɔyɛɛ Sara dɛ mbrɛ ɔbɔɔ no anohoba no.", ""
"GEN.21.14", "Na Abraham soɛɛr anapaatu, na ɔfaa edziban nye nsu bɔdambɔ, na ɔdze maa Hagar, ɔdze sii no kɔn ho, na ogyaa ɔno nye abofra no kwan. Na Hagar sii mu, na okekyiin Beer-seba sar do.", ""
"GEN.21.15", "Na nsu a ɔwɔ bɔdambɔ no mu no no sae, na ɔdze abofra no too ndua no bi ase.", ""
"GEN.21.16", "Na ɔkɔree, na ɔkɛtsenaa ne tsentsendo wɔ ekyir kakra, bɛyɛ dɛ mbrɛ wɔtow egyen a obodu: na ɔsee dɛ, Mma mma monnhwɛ abofra yi no wu. Na ɔtsenaa ne tsentsendo, na ɔmaa ne ndze do, na osui.", ""
"GEN.21.17", "Na Nyankopɔn tsee abofra no ne ndze; na Nyankopɔn no bɔfoe fi sor frɛɛ Hagar, na ɔsee no dɛ, Ebɛnadze yɛ wo, Hagar? Mma nnsuro; na Nyankopɔn atse abofra no ne ndze wɔ mbrɛ ɔwɔ no.", ""
"GEN.21.18", "Soɛr, kɛma abofra no do, na fa wo nsa suo no mu; na mebɛyɛ no ɔman kɛse.", ""
"GEN.21.19", "Na Nyankopɔn buee n’enyiwa, na ohun nsubura bi; na ɔkɔree, na ɔkɛhyɛɛ bɔdambɔ no nsu ma, na ɔmaa abofra no nsu ma ɔnomee.", ""
"GEN.21.20", "Na Nyankopɔn dzii abofra no ekyir, na onyinii; na ɔtsenaa sar do, na ɔyɛɛ egyentonyi.", ""
"GEN.21.21", "Na ɔtsenaa Paran sar do; na ne na kɔwaar yer wɔ Egypt asaase do brɛɛ no.", ""
"GEN.21.22", "Na ɔbaa dɛ aber no no mu na Abimelek nye ne safohen tsitsir Fikol kasaa kyerɛɛ Abraham dɛ, Nyankopɔn dzi w’ekyir wɔ dza eyɛ nyinara mu:", "#Gye 26.26"
"GEN.21.23", "dɛm ntsi afei, fa Nyankopɔn dzi nsew kyerɛ me wɔ ha dɛ ennkɛdaadaa emi, nye me ba, nye me mbanana: na dɛ mbrɛ ayamuyie a medze ayɛ wo no tse no ara, ebɛyɛ ama emi, nye asaase a aba do ahɔhoyɛ yi.", ""
"GEN.21.24", "Na Abraham see dɛ, Mibedzi nsew.", ""
"GEN.21.25", "Na Abraham twuuw Abimelek n’enyim, wɔ nsubura a Abimelek no nkowaa dze enyimpi gyee no ntsi.", ""
"GEN.21.26", "Na Abimelek see dɛ, Minnyim nyia ɔyɛɛ iyi: na wo so annka annkyerɛ me, na nkyii so menntsee pɛn dɛ ndɛ.", ""
"GEN.21.27", "Na Abraham faa nguan, nye anantwi, na ɔdze maa Abimelek; na hɔn beenu no dzii ahyɛmu.", ""
"GEN.21.28", "Na Abraham yii nguankuw mu nguambaa aber esuon dze hɔn sii nkyɛn.", ""
"GEN.21.29", "Na Abimelek bisaa Abraham dɛ, Na nguambaa aber esuon a eyi hɔn esi nkyɛn yi ase nye dɛn?", ""
"GEN.21.30", "Na ɔsee dɛ, Nguambaa aber esuon yi na ebɛgye no wɔ me nsamu ama ɔaayɛ dase ama me, dɛ mara na mutuu bura yi.", ""
"GEN.21.31", "Dɛm ntsi ɔfrɛɛ hɔ Beer-seba; osiandɛ hɔ na hɔn beenu nyina wodzii nsew.", ""
"GEN.21.32", "Na wodzii ahyɛmu wɔ Beer-seba wiei no, Abimelek soɛree, nye ne safohen tsitsir Fikol, na wɔsanee ba Filistiafo asaase do.", ""
"GEN.21.33", "Na Abraham tsɛɛw ɔsɛntsɛw dua wɔ Beer-seba, na ɔsɔɔr EWURADZE, ɔdomankoma Nyankopɔn no wɔ hɔ.", ""
"GEN.21.34", "Na Abraham yɛɛ hɔho wɔ Filistiafo asaase do nda pii.", ""
