"GEN.41.1", "Na ɔbaa dɛ mfe ebien ekyir no, Farao soo daa: na ohun dɛ nna ogyina esutsen Nael no ho.", ""
"GEN.41.20", "na anantwiber a wɔyɛ nkamfenkamfe na hɔn ho tantan no memeen anantwiber esuon a wɔadɔ seradze a wodzii kan no.", ""
"GEN.41.21", "Na aber a wowiee hɔn memen no, obi ennhu dɛ woewie hɔn men: osiandɛ nna hɔn ho da ho ara yɛ tantan dɛ nkan no ara so bio. Nna minyanee.", ""
"GEN.41.22", "Na muhun wɔ m’adaaso mu bio, na hwɛ, mbɛtsem esuon efifir eburonan kor do, amaama na oye:", ""
"GEN.41.23", "na muhun dɛ mbɛtsem esuon a enyinyam, na ɔyɛ nkɔkɔr, na boka mframa ama woetwintwam fifirii, dzii hɔn ekyir:", ""
"GEN.41.24", "na mbɛtsem esuon nkɔkɔr no memeen mbɛtsem esuon a oye no. Mekaa kyerɛɛ nkongyaayifo no; naaso obiara nnyi hɔ a otumii kyerɛɛ me ase.", ""
"GEN.41.25", "Na Josef see Farao dɛ, Farao n’adaaso ebien no yɛ kor: dza Nyankopɔn rebɛyɛ na oeyi akyerɛ Farao no.", ""
"GEN.41.26", "Anantwiber pa esuon no yɛ mfe esuon; na mbɛtsem pa esuon no yɛ mfe esuon: daa no yɛ kor.", ""
"GEN.41.27", "Na anantwiber esuon a wɔafomfɔn na hɔn ho yɛ tantan no a wodzii hɔn ekyir bae no, yɛ ɔkɔm mfe esuon, mbɛtsem esuon nkɔkɔr a boka mframa ama enyinyam no so dɛmara; ɔbɛyɛ ɔkɔm mfe esuon.", ""
"GEN.41.28", "Ɔno nye asɛm a mekaa mekyerɛɛ Farao no; dɛ dza Nyankopɔn rebɛyɛ nna oeyi akyerɛ Farao no.", ""
"GEN.41.29", "Hwɛ, mfe esuon reba a edziban piinara bɛba Egypt asaase nyinara do:", ""
"GEN.41.30", "na ɔno n’ekyir no nna ɔkɔm mfe esuon bɔsoɛr; na werɛ befir edziban pii no nyinara wɔ Egypt asaase do; na ɔkɔm no bɛhyew asaase no;", ""
"GEN.41.31", "na osian ɔkɔm a odzi ekyir no ntsi wɔnnkɛkaa edziban pii no wɔ asaase no do; osiandɛ no mu bɛyɛ dzen dodow.", ""
"GEN.41.32", "Na sɛ adaaso no yɛɛ mbɔho ebien maa Farao a, nna ne siantsir nye dɛ, Nyankopɔn esi no pi, na Nyankopɔn bɛma ayɛ hɔ ntsɛntsɛm.", ""
"GEN.41.33", "Dɛm ntsi afei wɔmma Farao nhwehwɛ nyimpa a ɔyɛ ɔbadwembanyi nye onyansafo, na ɔnyɛ no panyin wɔ Egypt asaase do.", ""
"GEN.41.34", "Wɔmma Farao nyɛ iyi, na ɔnhyehyɛ ahwɛdofo wɔ asaase no do, na wɔngyegye Egypt asaase do edziban no mbumu enum enum wɔ mfe esuon a edziban pii wɔ mu no mu.", ""
"GEN.41.35", "Na wɔmma wɔmboaboa mfe pa a ɔreba yi no mu edziban nyinara ano, na wɔmfa eburow nhyehyɛ asan do wɔ Farao ne nsa ase, ma ɔnyɛ edziban wɔ nkurow no mu, na wɔmfa nsie.", ""
"GEN.41.36", "Na edziban no bɛyɛ dza wɔakora ama asaase no dze esie ɔkɔm mfe esuon a ɔbɛba Egypt asaase do no; amma asaase no aannsɛɛ wɔ ɔkɔm no mu.", ""
"GEN.41.37", "Na asɛm no yɛɛ Farao nye no nkowaa nyinara dɛw.", ""
"GEN.41.38", "Na Farao see no nkowaa dɛ, Ana yebenya nyimpa a ɔtse dɛ oyi, nyimpa a Nyankopɔn no sunsum wɔ no mu yi?", ""
"GEN.41.39", "Na Farao see Josef dɛ, Susuampa dɛ Nyankopɔn dze iyi nyinara akyerɛ wo yi, obiara nnyi hɔ a ɔyɛ ɔbadwembanyi nye onyansafo dɛ ɔwo:", ""
"GEN.41.40", "ɔwo na ebɔhwɛ me fi yi do, na dza ebɛka no, dza me man nyinara bedzi do nye no; gyedɛ ahengua no nkotsee na medze mebɛsen wo.", "#Ndwu 7.10"
"GEN.41.41", "Na Farao see Josef dɛ, Hwɛ, mayɛ wo Egypt asaase nyinara do panyin.", ""
"GEN.41.42", "Na Farao worɔɔw no nsɔwanonkaba wɔ ne nsa, na ɔdze hyɛɛ Josef ne nsa, na ɔhyɛɛ no ndwera pa ntar, na ɔdze sika ntweaban too no kɔn mu;", "#Dan 5.29"
"GEN.41.43", "na ɔmaa ɔtsenaa ne tseaseanam a otsia ebien no mu; na wɔpaa mu wɔ n’enyim dɛ, Obiara mbu nkotodwe; na ɔyɛɛ no Egypt asaase nyinara do panyin.", ""
"GEN.41.44", "Na Farao see Josef dɛ, Emi nye Farao, na obiara nnkokwetsir wo ayɛ biribiara wɔ Egypt asaase nyinara do.", ""
"GEN.41.45", "Na Farao frɛɛ Josef ne dzin Zafenat-panea; na ɔdze On ɔsɔfo Potifera ne babaa Asenat maa no awar.", ""
"GEN.41.46", "Na aber a Josef kopuee Egypthen Farao n’enyim no, nna oedzi mfe eduasa. Na Josef fii Farao n’enyim, na okekyimaa Egypt asaase nyinara do.", ""
"GEN.41.47", "Na bafuu mfe esuon no mu no, edziban baa asaase no do ma obuu do.", ""
"GEN.41.48", "Na ɔboaboaa mfe esuon edziban a ɔbaa Egypt asaase do no nyinara ano, na ɔdze siesiee nkurow no mu: nhaban a wɔabɔ nkurow no nyinara ho aprɔw no mu edziban na ɔdze siesiee nkurow no mu.", ""
"GEN.41.49", "Na Josef boaboaa eburow ano dɛ mpoano anhwea; ɔdɔɔ so dodow, ma nkyii ogyaa kan mpo; osiandɛ wobu ano a ɔnnyɛ yie.", ""
"GEN.41.50", "Wɔwoo mba beenu maa Josef ansaana ɔkɔm afe no rudu, hɔn a On ɔsɔfo Potifera ne babaa Asenat woo hɔn maa no no a.", ""
"GEN.41.51", "Na Josef frɛɛ abakan no ne dzin Manaasɛ: Na ɔsee dɛ, Nyankopɔn ama mo werɛ efir me berɛ nyinara, nye m’egya fie nyinara.", ""
"GEN.41.52", "Na nyia otsia ebien no ɔfrɛɛ ne dzin Efraim: osiandɛ ɔsee dɛ Nyankopɔn ama mawo wɔ amandzehu asaase no do.", ""
"GEN.41.53", "Na ndɔbaa pii a ɔbaa Egypt asaase do mfe esuon no bɔɔ adze.", ""
"GEN.41.54", "Na ɔkɔm mfe esuon hyɛɛ ase dɛ ɔreba, dɛ mbrɛ Josef see no ara; na ɔkɔm baa asaase nyinara do: nna Egypt asaase nyinara do dze, edziban wɔ hɔ.", "#Ndwu 7.11"
"GEN.41.55", "Na ɔkɔm kaa Egypt asaase nyinara no, ɔman no sui tɔɔ Farao do gyee edziban: na Farao see Egyptfo no nyinara dɛ, Hom nkɔ Josef hɔ; dza ɔbɛse hom no, hom nyɛ.", "#Joh 2.5"
"GEN.41.56", "Na ɔkɔm no baa asaase nyinara do, na Josef buebuee mbrɛ edziban wɔ no nyinara, na ɔtɔnee maa Egyptfo no; na ɔkɔm no mu yɛɛ dzen wɔ Egypt asaase do.", ""
"GEN.41.57", "Na aman nyinara baa Josef hɔ wɔ Egypt bɔtɔɔ eburow; osiandɛ ɔkɔm no mu yɛɛ dzen wɔ asaase nyinara do.", ""
