"GEN.37.1", "Na Jakob tsenaa asaase a n'egya tsenaa do no do, Keenan asaase do.", ""
"GEN.37.22", "Mma hom nnka bɔgya: wɔmfa no nto sar do ha mona yi mu, na mma wɔmmfa nsa nnka no: ɔreyɛ ama nkyɛ ɔaagye no wɔ hɔn nsamu dze no asan akɛma n'egya.", ""
"GEN.37.23", "Na ɔbaa dɛ, Josef dur no nuanom no nkyɛn no, wɔpɔɔr, asaasaaba atar fɛɛfɛw a ɔhyɛ no no", ""
"GEN.37.24", "na wɔdze no kɔtoo mona mu: nna mona no mu awew a, nsu nnyi mu.", ""
"GEN.37.25", "Na wɔtsenaa famu dɛ woridzidzi no wɔmaa hɔn enyiwa do na wohun Ismaelfo akwantufo kuw bi dɛ wofi Gilead reba, wɔnye hɔn efumpɔnkɔ a wɔsoso eduhuam nye ngo nye mɛɛr dze rokɔ Egypt.", ""
"GEN.37.26", "Na Juda see no nuanom no dɛ, Sɛ yeku hɛn nua na yesiw no bɔgyaa do a, ebɛn mfaso na ɔwɔ mu?", ""
"GEN.37.27", "Hom mbra ma yɛntɔn no mma Ismaelfo yi, na mma wɔmma yɛmmfa hɛn nsa nnka no; osiandɛ hɛn nua a, hɛn bɔgyaa a. Na no nuanom no tsiee no.", ""
"GEN.37.28", "Nna Midianfo eguadzifo bi rutwa mu; na woyii Josef fii mona no mu, na wɔtɔɔn no maa Ismaelfo no gyee ndwetɛbona eduonu. Na wɔdze Josef kɔr Egypt.", ""
"GEN.37.29", "Na ber a Reuben sanee baa mona no do no; hwɛ, nna Josef nnyi mona no mu; na osunsuaan ne ntar mu.", ""
"GEN.37.30", "Na ɔsanee kɔr no nuanom no nkyɛn, na ɔsee dɛ, Abofra no nnyi hɔ; na iyi mara merefa hen?", ""
"GEN.37.31", "Na wɔfaa Josef n'atar no, na wokum apɔnkyenyin, na wɔdze atar no bɔɔ bɔgya no mu;", ""
"GEN.37.32", "na wɔdze asaasaaba atar fɛfɛɛfɛw no somae ma wɔdze kɛmaa hɔn egya, kɛsee no dɛ, Adze a yeehu nye yi: hwɛ kyerɛ dɛ wo ba n'atar a.", ""
"GEN.37.33", "Na ɔhwɛe, na ɔsee dɛ, Me ba n'atar a; abowa bɔn bi na ɔakyer no; tsetsew na wɔatsetsew Josef no mu.", ""
"GEN.37.34", "Na Jakob sunsuaan n'atar mu, na ɔdze kɔben tam bɔɔ n'asen, na osuu ne ba nda pii.", ""
"GEN.37.35", "Na ne mbabanyin nye ne mbabaa nyinara bae dɛ wɔrebɛkyekye no werɛ; naaso oenntsie ma wɔannkyekye no werɛ; na ɔsee dɛ, Mibedzi yaw ara dze akɔ me ba nkyɛn wɔ samanadze. Na n'egya suu no.", ""
"GEN.37.36", "Na Midianfo no kɔtɔɔn no wɔ Egypt maa Potifar, Farao no somfo bi a ɔno nye abrafohen no.", ""
