"DEU.32.1", "Ɔsor, hom nyɛ aso, na merebɛkasa; Na wɔmma asaase ntsie m’anomu nsɛm:", ""
"DEU.32.15", "Na Jesurun  yɛɛ ɔbran, na ɔtoow ntsia: Ayɛ bran, ayɛ kɛse, wo mu ayɛ dur: Nna ɔpoow Nyankopɔn a ɔyɛɛ no no, Na obuu no nkwagye botan no tootooba.", "#32.15 JESURUN: Dzin yi gyina hɔ ma Israel."
"DEU.32.16", "Wɔdze enyame nanaben yii no nyinkun, Wɔdze ekyiwadze yii no ebufuw.", ""
"DEU.32.17", "Wɔbɔɔ afɔr maa abosom a wɔnnyɛ Nyame, Dze maa enyame a wonnyim hɔn, Dze maa enyame fofor a wɔbaa nkyinkyirii, Dza hom egyanom ennsuro hɔn no.", ""
"DEU.32.18", "Ɔbotan a ɔwoo wo no anndwen no ho, Na wo werɛ efir Nyame a ɔkyeem wo no.", ""
"DEU.32.19", "Na EWURADZE hunii, na okyiir hɔn, Wɔ ne mbabanyin nye ne mbabaa ho ehi ntsi.", ""
"DEU.32.20", "Na ɔsee dɛ, Mibeyi m’enyim esuma hɔn, Mobɔhwɛ mbrɛ hɔn ewiei bɛyɛ: Na wɔyɛ ebusuasantsen kɔntɔnkye, Mba a hɔn mu nnyi gyedzi.", ""
"DEU.32.21", "Wɔdze dza ɔnnyɛ Onyame eyi me nyinkun: Wɔdze hɔn egyangyandze eyi me ebufuw: Na medze hɔn a wɔnnyɛ ɔman biara no mibeyi hɔn nyinkun; Medze ɔman nkwasea bi mibeyi hɔn ebufuw.", ""
"DEU.32.22", "Na ogya adzɛw wɔ m’ebufuw mu, Na ɔrehyew ekodu samanadze ase, Na ɔremen asaase nye no ndɔbaa, Na ɔato mbepɔw mfapem mu ogya.", ""
"DEU.32.23", "Mobɔboa mbusu ano megu hɔn do; Mobɔhwer m’egyen menaba wɔ hɔn do:", ""
"DEU.32.24", "Ɔkɔm bɔfɔn hɔn, na ahohyehye yaayaw Nye ɔsɛɛ wenwen bɛmen hɔn; Na mobɔsoma mbowa se ma wɔaaba hɔn do, Nye huntuma mu nweaweambowa bɔr.", ""
"DEU.32.25", "Abɔntsen do na nkrantsee bohwim, Adankyir so nketsenketse a; Ɔbɛsɛɛ aberantsɛ nye ɔbaabun nyina, Enumfoanoba nye nyimpa a oefuw gon nyina.", ""
"DEU.32.26", "Mesee dɛ nkyɛ mobɔbɔ hɔn apetse ekyirekyir, Nkyɛ mebɛma hɔn nkaa tun do etwa efi nyimpa mu:", ""
"DEU.32.27", "Sɛ nnyɛ ɔtamfo ehiyi na musuroi a, Bɛyɛ na hɔn ayɛfo anntse m’akwan ase, Bɛyɛ na wɔase dɛ, Hɛn nsa na akrɔn, Na nnyɛ EWURADZE na ɔayɛ iyi nyinara.", ""
"DEU.32.28", "Na wɔyɛ aman a egyinatu abɔ hɔn, Na ntseasee bi nnyi hɔn mu.", ""
"DEU.32.29", "Ao kɛtseankyɛ woeehu nyansa, na wɔaatse iyi ase, Na nkyɛ wɔaadwen hɔn ewiei ekyir no ho!", ""
"DEU.32.30", "Ɔbaako bɛyɛ dɛn etsiw apem, Na beenu aka mpemdu egu, Gyedɛ hɔn Ɔbotan atɔn hɔn ana, Na EWURADZE eyi hɔn ama ana?", ""
"DEU.32.31", "Na hɔn ɔbotan nntse dɛ hɛn Ɔbotan, Na hɛn atamfo ankasa mpo nye atsɛmbuafo.", ""
"DEU.32.32", "Na hɔn wenyindua fi Sodom wenyindua mu, Na ofi Gomora haban mu: Hɔn esikyireamba yɛ bɔr esikyireamba, Hɔn esiaw yɛ wenwen:", ""
"DEU.32.33", "Hɔn nsa yɛ sasabɔnsam bɔr, Nye nhurutsia owubɔr dzendzen.", ""
"DEU.32.34", "Ana wɔnnkora iyi do wɔ me nkyɛn, Wɔnnsɔw ano wɔ m’akoradze mu bi a?", ""
"DEU.32.35", "Awerdzi yɛ medze, akatua so, Aber a hɔn anan bɛpatser: Na hɔn mbusu da abɛn, Na ndzɛmba a ɔwɔ dɛ ɔba hɔn do no bɛba ntsɛntsɛm.", ""
"DEU.32.36", "Na EWURADZE bobu ne man atsɛn, Na oenu noho wɔ no nkowaa ntsi; Aber a obohu dɛ hɔn ahoɔdzen asa, Na ɔdehye anaa akowaa biara nnyi hɔ bio,", ""
"DEU.32.37", "Na ɔbɛse dɛ, Henfa na hɔn enyame no wɔ, Ɔbotan a wɔdze hɔn werɛ hyɛɛ mu no;", ""
"DEU.32.38", "Hɔn a wodzi hɔn okum afɔr seradze, Na wɔnom hɔn ɔnom afɔr nsa no a? Ma wɔnsoɛr mbɔboa hom, Ma wɔnyɛ hom ntwitwagye.", ""
"DEU.32.39", "Afei hom nhu dɛ emi, mara nye no, Na onyame bi nnka mo ho: Emi na muku, na mema nkwa; Mipira, na mesa yarba: Na obi nnyi hɔ a obotum agye efi me nsamu.", ""
"DEU.32.40", "Na mema me nsa do wɔ ɔsor, Na mese dɛ, Dɛ metse ase daa yi,", ""
"DEU.32.41", "Sɛ mesew me nkrantsee nyinamnyinam no, Na me nsa suo atsɛmbu mu a; Mibedzi hɔn a wɔnye me dzi esi do wer, Na metua hɔn a wɔtan me kaw.", ""
"DEU.32.42", "Mebɛma bɔgya abow m’egyen menaba, Na me nkrantsee edzi nam; Atɔfo nye ndɔmmumfo bɔgyaa, Ofi ɔtamfo Edzikamfo tsir do.", ""
"DEU.32.43", "Amanaman, hom nye ne man ndzi dɛw: Na obedzi no nkowaa bɔgyaa ho wer, Na ɔdze awerdzi etua n’ayɛfo kaw, Na ɔapata ama n’asaase ama ne man.", ""
"DEU.32.44", "Na Moses baa bɛkaa ndwom yi mu nsɛm nyinara wɔ ɔman no asomu, ɔno, nye Nun ne babanyin Josua.", ""
"DEU.32.45", "Na Moses wiee nsɛm yi nyinara ka kyerɛɛ Israel nyinara:", ""
"DEU.32.46", "na ɔsee hɔn dɛ, Hom mfa hom akoma nsi nsɛm a miridzi hom ho dase ndɛ da yi nyinara do; ɔno na hom mfa nhyɛ hom mba, dɛ wɔndwen do ndzi mbra yi mu nsɛm nyinara do.", ""
"DEU.32.47", "Na mma ɔnnyɛ asɛnhun mma hom; osiandɛ ɔyɛ hom nkwa, na asɛm yi do na hom nam bɛma hom nda awar wɔ asaase a hom rukotwa Jordan akɛfa no do.", ""
"DEU.32.48", "Na EWURADZE kasaa kyerɛɛ Moses da no ara dɛ,", ""
"DEU.32.49", "Kɔfow bepɔw Abarim yi, kɔ bepɔw Nebo a ɔwɔ Moab asaase do, wɔ Jeriko tsentsendo no; na hwɛ Keenan asaase a medze merema Israelmba dɛ enyadze no:", ""
"DEU.32.50", "na wu wɔ bepɔw no a erofow akɔ do no do, na kɛka wo nananom ho wɔ samanadze; dɛ mbrɛ wo nua Aaron wui wɔ bepɔw Horeb do, na ɔkɛkaa ne nananom ho no;", ""
"DEU.32.51", "osiandɛ hom foom me wɔ Israelmba mu wɔ Meriba nsu a ɔwɔ Kades, wɔ Zin sar do no ho; osiandɛ hom annyɛ me krɔnkrɔn wɔ Israelmba mu.", ""
"DEU.32.52", "Na ibohu asaase no wɔ w’enyim; na mbom eronnkɔ asaase a medze rema Israelmba no do hɔ.", ""
