"JOS.22.1", "Nna Josua frɛɛ Reubenfo, Gadfo, nye Manaasɛ ebusuakuw fa no,", ""
"JOS.22.12", "Na aber a Israelmba no tsee no, hɔn nyinara poon hɔnho hyiae wɔ Siloh, dɛ wontu hɔn do sa.", ""
"JOS.22.13", "Na Israelmba no somaa ɔsɔfo Eleazar babanyin Finehas ma ɔkɔr Reubenmba, Gadmba, nye Manaasɛ ebusuakuw fa no hɔ, wɔ Gilead asaase do;", ""
"JOS.22.14", "na mbapɔmba du ka no ho, Israel ebusuakuw ebusuakuw nyinara mu egya fie ɔbapɔmba kor; na hɔn nyinara yɛ egyanom efiefi do etsitsir wɔ Israel mpempem no mu.", ""
"JOS.22.15", "Na wɔbaa Reubenmba, Gadmba, nye Manaasɛ ebusuakuw fa no nkyɛn, wɔ Gilead asaase do, na wɔnye hɔn kasaa dɛ,", ""
"JOS.22.16", "Mbrɛ EWURADZE no dɔm nyina se nye yi, Ebɛn mfom na hom dze afom Israel Nyankopɔn yi, dɛ ndɛ da yi hom adan efi EWURADZE ekyir dzi, wɔ dɛ hom esi afɔrmbukyia ama homho, dze retsew EWURADZE do etua yi?", ""
"JOS.22.17", "Ana Peor emumuyɛ no a ɔdze ɔhaw baa EWURADZE no dɔm do ma mpo ɔdze bodu ndɛ da yi ara hɛn ho nntsew wɔ mu no, suar dodoodow ma hɛn,", ""
"JOS.22.18", "ma ntsi ndɛ da yi hom adan efi EWURADZE ekyir dzi yi? Na ɔbɛba dɛ ɔnam dɛ hom retsew EWURADZE do etua ndɛ da yi ntsi, ɔkyena no bo bofuw Israelmba no nyina.", ""
"JOS.22.19", "Naaso sɛ hom enyadze asaase no ho nntsew a, ɔno hom ntwa mbra EWURADZE enyadze asaase a EWURADZE ntamadan si do no do, na wɔmbɛfa bi wɔ hɛn mu: na mbom mma hom nntsew etua wɔ hɛn do so, dɛ homara so risi afɔrmbukyia aka EWURADZE hɛn Nyankopɔn n’afɔrmbukyia no ho.", ""
"JOS.22.20", "Ana nnyɛ Akan, Zera babanyin no, na ɔfomee wɔ adze a wɔadom no no mu, na ebufuw baa Israelmba no nyinara do no bi? Ana Akan no nkotsee na owui wɔ n’emumuyɛ no mu?", ""
"JOS.22.21", "Nna Reubenmba, Gadmba nye Manaasɛ ebusuakuw fa no buaa Israel mpempem mu etsitsir no dɛ,", ""
"JOS.22.22", "EWURADZE, Otumfo Nyankopɔn no, EWURADZE, Otumfo Nyankopɔn no, ɔnoara na onyim, na Israel so bohu; sɛ ɔyɛ etuatsew mu o, sɛ mfom a yɛafom EWURADZE mu o, mma ɔwo nngye hɛn nkwa ndɛ da yi,", ""
"JOS.22.23", "dɛ yeesi afɔrmbukyia ama hɛnho dɛ yɛdze bɛdan efi EWURADZE ekyir dzi; anaadɛ yɛbɔbɔ do ɔhyew afɔr anaa edziban afɔr, anaa yɛbɔbɔ do asomdwee okum afɔr a, EWURADZE noara mbisa hɛn;", ""
"JOS.22.24", "na sɛ mbom nnyɛ ahwɛyie bi ntsi, na asɛm bi ntsi na yɛayɛ iyi a, dɛ, Daakye bi hom mba bɛka akyerɛ hɛn mba dɛ, Ebɛnadze na hom nye EWURADZE, Israel Nyankopɔn wɔ yɛ?", ""
"JOS.22.25", "Na EWURADZE dze Jordan ayɛ ɔhe ato hɛn nye hom, Reubenmba nye Gadmba ntamu; hom nnyi kyɛfa wɔ EWURADZE mu: dɛm na hom mba bɛyɛ hɛn mba ma woeegyaa EWURADZE suro.", ""
"JOS.22.26", "Dɛm ntsi na yɛsee dɛ, Wɔmma afei yensiesie hɛnho nsi afɔrmbukyia mma hɛnho, nnyɛ ɔhyew afɔr, na nnyɛ okum afɔr so ntsi a:", ""
"JOS.22.27", "na mbom dɛ ɔnyɛ dase wɔ hɛn nye hom ntamu, nye hɛn mbasantsen a wobedzi hɛn ekyir no ntamu, na yɛdze hɛn ɔhyew afɔr, na ɔnye hɛn okum afɔr, nye hɛn asomdwee afɔr, ayɛ EWURADZE edwuma no wɔ n’enyim; amma daakye bi hom mba aannse hɛn mba dɛ, Hom nnyi kyɛfa wɔ EWURADZE mu.", ""
"JOS.22.28", "Dɛm ntsi na yɛsee dɛ, Ɔbɛba dɛ, sɛ daakye bi wɔse hɛn anaa hɛn mbasantsen dɛm a, yɛbɛse dɛ, Hom nhwɛ EWURADZE afɔrmbukyia no ne saso a hɛn egyanom yɛe, nnyɛ ɔhyew afɔr ntsi, na nnyɛ okum afɔr so ntsi; mbom ɔyɛ dase wɔ hɛn nye hom ntamu.", ""
"JOS.22.29", "Nyame mpa ngu dɛ yɛbɛtsew etua wɔ EWURADZE do, na yɛadan efi EWURADZE ekyir dzi ndɛ da yi, dɛ yebesi afɔrmbukyia abɔ do ɔhyew afɔr, edziban afɔr, anaa okum afɔr, aka EWURADZE hɛn Nyankopɔn afɔrmbukyia a ɔwɔ ne ntamadan no enyim no ho.", ""
"JOS.22.30", "Na aber a ɔsɔfo Finehas, nye Israelmba no mu mbapɔmba no, mekyerɛ mpempem mu etsitsir a wɔka no ho no, tsee nsɛm a Reubenmba nye Gadmba nye Manaasɛmba no kae no, ɔyɛɛ hɔn enyisɔ dɛ.", ""
"JOS.22.31", "Na ɔsɔfo Eleazar ne babanyin Finehas see Reubenmba nye Gadmba, nye Manaasɛmba no dɛ, Ndɛ da yi na yeehu dɛ EWURADZE wɔ hom finimfin, osiandɛ hom mmfaa mfom yi mmfoom EWURADZE: afei na hom eyi Israelmba no efi EWURADZE nsamu.", ""
"JOS.22.32", "Na ɔsɔfo Eleazar ne babanyin Finehas, nye mbapɔmba no, sanee fi Reubenmba, nye Gadmba no nkyɛn wɔ Gilead asaase do, baa Keenan asaase do, Israelmba no nkyɛn, na wɔbɔbɔɔ hɔn amandzɛɛ.", ""
"JOS.22.33", "Na asɛm no yɛɛ Israelmba enyisɔ; na Israelmba hyiraa Nyankopɔn, na wɔannka bio dɛ worutu hɔn do sa, wɔakɛsɛɛ asaase a Reubenmba nye Gadmba tse do no.", ""
"JOS.22.34", "Na Reubenmba nye Gadmba frɛɛ afɔrmbukyia no Ed: Na, wɔsee dɛ, ɔyɛ hɛn ntamu dase dɛ EWURADZE nye Nyankopɔn.", ""
