"JHN.1.1", "Ahyɛse no nna Asɛm  no wɔ hɔ, na Asɛm no nye Nyame wɔ hɔ, na Asɛm no ankasa so nye Nyame.", "#1.1 DƐM ASƐM yi gyina hɔ ma Griik kasa LOGOS a ne nkyerɛasee yɛ dzen papaapa. Dza ɔbɛn LOGOS yi nye NKWA FARBAE. Dɛm Griik kasa LOGOS yi na akyerɛwfo binom kyerɛ ase dɛ ASƐM no."
"JHN.1.40", "Na beenu a wɔtsee John n’asɛm na wɔkaa no do no, hɔn mu kor nye Andrew, Simon Peter no nua no.", ""
"JHN.1.41", "Na odzii kan bohun no nua Simon, na ɔsee no dɛ, Yeehu Messia no (ne nkyerɛase nye Kraest, anaadɛ, Nyia wɔasera no).", ""
"JHN.1.42", "Ɔdze no baa Jesus nkyɛn. Jesus hwɛɛ no see no dɛ,  Ɔwo nye Simon, John ne ba no: wɔbɛfrɛ wo Siifas (ne nkyerɛase nye Peter anaadɛ Ɔbotan).", ""
"JHN.1.43", "Adze kyee no, Jesus pɛɛ dɛ ɔkɔ Galilii, na ohun Filip. Na Jesus see no dɛ,  Ka mo do.", ""
"JHN.1.44", "Nna Filip fi Bɛtsaeda, Andrew nye Peter hɔn kurow mu.", ""
"JHN.1.45", "Filip kohun Nataniel, na ɔsee no dɛ, Yeehu nyia Moses kaa no ho asɛm wɔ mbra no mu no, na nkɔnhyɛfo no so kyerɛɛw no ho asɛm no, Jesus, Josef ba no a ofi Nazarɛt no a.", ""
"JHN.1.46", "Na Nataniel see no dɛ, Aso biribi papa bi botum efi Nazarɛt aba da? Filip see no dɛ, Bra bɔhwɛ ɛ.", ""
"JHN.1.47", "Jesus hun Nataniel dɛ ɔreba ne nkyɛn, na ɔkaa no ho asɛm dɛ,  Hwɛ, ampaara Israelnyi nye yi a ndaadaa bi nnyi no mu.", ""
"JHN.1.48", "Nataniel bisaa no dɛ, Inyim me wɔ hen? Jesus buaa no dɛ,  Ansaana Filip frɛɛ wo a ewɔ adɔmbadua no ase no, nna muhun wo.", ""
"JHN.1.49", "Nataniel buae see no dɛ, Rabae, ɔwo nye Nyankopɔn Ba no, ɔwo nye Israel Hen no.", ""
"JHN.1.50", "Jesus buaa no dɛ,  Mesee wo dɛ muhun wo adɔmbadua no ase ntsi na egye dzi yi? Ibohu ndzɛmba akɛse a ɔsen iyinom.", ""
"JHN.1.51", "Na Jesus see no dɛ,  Mese hom nokwar mu dɛ, Hom bohu dɛ ɔsor ebue na Nyankopɔn abɔfo rofow sian wɔ Nyimpa Ba no do.", "#Gye 28.12"
