"2KI.23.1", "Na ɔhen no somae ma wokehyiaa Juda na Jerusalɛm amampanyin no nyinara ma wɔbaa ne nkyɛn.", ""
"2KI.23.25", "Na ɔhen biara enndzi n'enyim a ɔtse dɛ ɔno a ɔdze n'akoma nyinara, na ɔnye ne kra nyinara, na ɔnye n'ahoɔdzen nyinara danee baa EWURADZE nkyɛn dɛ mbrɛ Moses mbra no nyinara tse; nkyii so ɔno n'ekyir obiara nnsoɛree a ɔtse dɛ ɔno.", ""
"2KI.23.26", "Naaso EWURADZE anndan emmfi n'ebufuhyew kɛse a ɔdzɛwee wɔ Juda do, osian abohur nyinara a Manaasɛ dze huur no bo no nyina ntsi no ho.", ""
"2KI.23.27", "Na EWURADZE see dɛ, Mibeyi Juda so efi m'enyi do, dɛ mbrɛ meyi Israel no, na matow kurow a masan mu eyi yi, mekyerɛ Jerusalɛm, na ofi a mesee dɛ, Me dzin bɛtsena hɔ no, akyen.", ""
"2KI.23.28", "Afei Josia no ho nsɛm nkaa no, na dza ɔyɛe nyinara, ana wɔnnkyerɛɛw no wɔ Juda ahemfo hɔn Mbermunsɛm nwoma no mu?", ""
"2KI.23.29", "Ne nda no mu na Egypthen Farao-neko sii mu kɔr Asiriahen do, wɔ esutsen Eufrates ho: na ɔhen Josia sii mu kɔr no do; naaso wokum no wɔ Megiddo, aber a ohun no no.", ""
"2KI.23.30", "Na no nkowaa no twee no fun wɔ tseaseanam mu fii Megiddo, na wɔdze no baa Jerusalɛm besiee no wɔ nankasa n'asamandan mu. Na asaase no do ɔman no faa Josia ne ba Jehoahaz seraa no, na wɔhyɛɛ no hen hyɛɛ n'egya n'ananmu.", ""
"2KI.23.31", "Aber a Jehoahaz hyɛɛ ase dɛ oridzi hen no na oedzi mfe eduonu ebiasa; na odzii hen abosoom ebiasa wɔ Jerusalɛm: na ne na ne dzin dze Hamutal, Jeremia a ofi Libna ne babaa a.", ""
"2KI.23.32", "Na ɔyɛɛ dza omuo wɔ EWURADZE enyi do, dɛ mbrɛ dza n'egyanom yɛe nyinara tse.", ""
"2KI.23.33", "Na Farao-neko too no nkyehoma mu wɔ Ribla wɔ Hamat asaase do, amma oeenndzi hen wɔ Jerusalɛm; na ɔdze dwetɛ  talent   ɔha, na sika  talent   kor tow too asaase no do.", ""
"2KI.23.34", "Na Farao-neko hyɛɛ Josia ne ba Eliakim hen hyɛɛ n'egya Josia n'ananmu, na ɔdaan ne dzin Jehoiakim: na Jehoahaz dze, ɔfaa no kɔree; na ɔbaa Egypt, na obowuu hɔ.", ""
"2KI.23.35", "Na Jehoiakim dze dwetɛ na sika no maa Farao; na ɔpaa tow maa asaase no dɛ wɔmma sika no dɛ mbrɛ Farao ne mbrasɛm no tse: ɔgyegyee dwetɛ na sika no wɔ asaase no do nkorɔfo no hɔ, obiara dɛ mbrɛ no tow tse, dɛ ɔdze rekɛma Farao-neko.", ""
"2KI.23.36", "Aber a Jehoiakim hyɛɛ ase dɛ oridzi hen no nna oedzi mfe eduonu enum; na odzii hen mfe dubiako wɔ Jerusalɛm: na ne na ne dzin dze Zebida, Pedaia a ofi Ruma ne babaa a.", ""
"2KI.23.37", "Na ɔyɛɛ dza omuo wɔ EWURADZE enyi do, dɛ mbrɛ dza n'egyanom yɛe no nyinara tse.", ""
