"1CO.15.1", "Na afei, enuanom, merema hom ehu asɛmpa no a mekaa kyerɛɛ hom, na hom so gyee, na hom kitsa mu so,", ""
"1CO.15.14", "na sɛ Kraest nnyanee a, nna hɛn asɛnka yɛ gyan, na hom gyedzi so yɛ gyan.", ""
"1CO.15.15", "Nyew, nna wobohu hɛn so dɛ yɛgye dasewia ma Nyankopɔn, osiandɛ yedzi Nyankopɔn dase dɛ oenyan Kraest, na sɛ ewufo nnyan dze a, nna oennyaan ɔno so.", ""
"1CO.15.16", "Na sɛ ewufo nnyan a, nna Kraest so nnyanee;", ""
"1CO.15.17", "na sɛ Kraest nnyanee so a, nna hom gyedzi yɛ kwa, hom da ho wɔ hom bɔn mu.", ""
"1CO.15.18", "Nna eso hɔn a wɔadeda wɔ Kraest mu no ahera.", ""
"1CO.15.19", "Sɛ nkwa yi mu nko na yeenya enyidado wɔ Kraest mu a, nna nyimpa nyina mu abɔbɔfo nye hɛn.", ""
"1CO.15.20", "Na afei Kraest enyan efi ewufo mu ayɛ hɔn a wɔadeda mu eduaba kan.", ""
"1CO.15.21", "Na mbrɛ owu nam nyimpa do bae no, nyimpa na ewufosoɛr so nam no do bae.", ""
"1CO.15.22", "Na dɛ mbrɛ hɔn nyina wu wɔ Adam mu no, dɛmara so na hɔn nyina benya nkwa wɔ Kraest mu.", ""
"1CO.15.23", "Na obiara wɔ nankasa ne kyɛpɛn do: Kraest nye eduaba kan, na nkyii hɔn a wɔyɛ Kraest dze, wɔ ne ba mu.", ""
"1CO.15.24", "Nna nkyii ewiei no reba a ɔdze ahendzi no bɛhyɛ Nyankopɔn nye Egya no nsa, ber a ɔama mpanyindzi nye tumdzi nye ahoɔdzen nyina ayɛ kwa.", ""
"1CO.15.25", "Na otwar dɛ odzi hen kodu dɛ ɔdze n’atamfo nyina bogu n’ananadze.", "#Dwom 110.1"
"1CO.15.26", "Na ɔtamfo a odzi ekyir a ɔbɛma ɔayɛ kwa, nye owu.", ""
"1CO.15.27", "Na ɔdze adze nyina egu n’ananadze. Na sɛ ɔka dɛ ɔdze adze nyina egu n’ananadze a, no mu da hɔ pefee dɛ nyia ɔdze adze nyina guu n’ananadze no nnka ho bi.", "#Dwom 8.6"
"1CO.15.28", "Na sɛ onya dze ndzɛmba nyina gu n’ananadze a, nna Ɔba no nankasa so dze noho bɛhyɛ nyia ɔdze adze nyina guu n’ananadze no n’ase, na Nyankopɔn aayɛ adze nyina mu adze nyina.", ""
"1CO.15.29", "Ɔnntse dɛm a, hɔn a wonuma hɔn ma ewufo no, wɔbɛyɛ dɛn? Sɛ ewufo nnyan koraa a, ɔyɛ dɛn na wonuma hɔn ma ewufo?", ""
"1CO.15.30", "Ɔyɛ dɛn na hɛn so yɛdze hɛn ho to amandze mu dɔnhwer nyina yi?", ""
"1CO.15.31", "Enuanom, meka hom ho ahohyehyɛ a mowɔ wɔ hɛn Ewuradze Kraest Jesus mu dɛ muwu daa.", ""
"1CO.15.32", "Sɛ nyimpa afamu nko na menye mbowa koe wɔ Efeso a, ɔyɛ me ebɛn mfaso? Na sɛ ewufo nnyan a, hom mma yendzidzi na yɛnnom, na ɔkyena na yeewu.", "#Isa 22.13"
"1CO.15.33", "Mma wɔnndaadaa hom: fɛkuw bɔn sɛɛ ɔbra pa.", ""
"1CO.15.34", "Hom mma hom enyi nda hɔ tsenenee mu, na mma hom nnyɛ bɔn; na binom nnyi Nyankopɔn ho nyimdzee: meka yi dze hyɛ hom enyito.", ""
"1CO.15.35", "Na bi a obi bɛse dɛ, Ewufo dua dɛn nyan? Na nyimpadua so bɛn na wɔdze bɛba?", ""
"1CO.15.36", "Ɔkwasea, dza idua no nnya nkwa, gyedɛ owu ansaana,", ""
"1CO.15.37", "na dza idua no nnyɛ dua a ɔbɛba no na idua, na eburofua ara kwa, bi a ewifua anaa nkaa no mu bi a;", ""
"1CO.15.38", "na Nyankopɔn na ɔma no dua kor a ɔpɛ, na ɔma aba biara nankasa no dua.", ""
"1CO.15.39", "Nnyɛ nam nyina na ɔyɛ nam kor: ɔsor nyimpa nam, ɔsor mbowa dze, ɔsor anoma dze, ɔsor esunam dze.", ""
"1CO.15.40", "Sor abɔdze so wɔ hɔ, na famu abɔdze wɔ hɔ: na ɔsor sor dze no n’enyimnyam, na ɔsor famu dze no nedze.", ""
"1CO.15.41", "Ewia enyimnyam nko, bosoom dze nko, nworaba dze nko: na ɔsosor nworaba enyimnyam nkorkor.", ""
"1CO.15.42", "Mbrɛ ewufo mu soɛr so tse nye no. Wodua no prɔwee mu: wonyan no dza ɔmmprɔw mu;", ""
"1CO.15.43", "wodua no enyimguase mu: wonyan no enyimnyam mu; wodua no mberɛw mu: wonyan no ahoɔdzen mu;", ""
"1CO.15.44", "wodua no ɔkra nyimpadua: wonyan no sunsum nyimpadua. Sɛ ɔkra nyimpadua wɔ hɔ a, nna sunsum dze so wɔ hɔ.", ""
"1CO.15.45", "Dɛmara so na wɔakyerɛw no dɛ, Adam a odzi kan no bɛyɛɛ ɔkra tseasefo: na Adam a odzi ekyir no bɛyɛɛ sunsum a ɔma nkwa.", "#Gye 2.7"
"1CO.15.46", "Naaso nnyɛ sunsum dze no na odzi kan, na mbom ɔkra dze no a, na nkyii sunsum dze no reba.", ""
"1CO.15.47", "Nyimpa a odzi kan no fi famu yɛ famunyi: nyimpa a otsia ebien no fi sor.", ""
"1CO.15.48", "Mbrɛ famunyi no tse, mbrɛ hɔn a wɔyɛ famufo so tse nye no: na mbrɛ ɔsornyi no tse no, mbrɛ hɔn a wɔyɛ ɔsorfo tse nye no.", ""
"1CO.15.49", "Na mbrɛ yɛahyɛ famunyi no suban no, mbrɛ yɛbɛhyɛ ɔsornyi no so suban nye no.", ""
"1CO.15.50", "Enuanom, dza meka nye dɛ honam nye bɔgya runntum nnya Nyankopɔn ahenman no; na eso dza ɔprɔw rinnya dza ɔmmprɔw no.", ""
"1CO.15.51", "Hwɛ, mereka hom esumasɛm: nnyɛ hɛn nyina na yɛbɛdeda, na wɔbɛsakyer hɛn nyina", "#1 Tes 4.15-17"
"1CO.15.52", "amonmu ara, ntsɛmara, wɔ ekyir abɛntoa no mu: na wɔbɛhɛn abɛntoa no, na ewufo no benyan dɛ wɔmmprɔw da, na hɛn dze, yɛbɛsakyer.", ""
"1CO.15.53", "Na dza ɔprɔw yi otwar dɛ ɔhyɛ dza ɔmmprɔw, na dza owu yi otwar dɛ ɔhyɛ dza onnwu.", ""
"1CO.15.54", "Na sɛ dza ɔprɔw yi nya hyɛ dza ɔmmprɔw, na dza owu yi nya hyɛ dza onnwu a, nna asɛm a wɔakyerɛw no bɛba mu dɛ, Owu, wɔamen no konyim mu.", "#Isa 25.8"
"1CO.15.55", "Owu, wo konyim wɔ hen? Owu, wo hwirom wɔ hen?", ""
"1CO.15.56", "Owu hwirom nye bɔn, na bɔn tum nye mbra no:", ""
"1CO.15.57", "na ndaase nka Nyankopɔn a ɔnam hɛn Ewuradze Jesus Kraest do ma hɛn konyimdzi.", ""
"1CO.15.58", "Dɛm ntsi, mo nuanom adɔfo, hom ntsintsim, mma hom nnhinhim, hom mbor do wɔ Ewuradze edwuma mu daa, osiandɛ hom nyim dɛ hom berɛ nnkɛyɛ gyan wɔ Ewuradze mu.", ""
