"PSA.68.1", "Ma Nyankopɔn nsoɛr, ma n'atamfo mpetse; Ma hɔn so a wɔtan no no mfi n'enyim nguan.", ""
"PSA.68.24", "Nyankopɔn, woehu wo edzifirii, Mekyerɛ me Nyankopɔn, me Hen, no mpuei a orubopue akɔ no krɔnkrɔnbea no.", ""
"PSA.68.25", "Adwontofo no dzii enyim, asankubɔfo no dzii ekyir, Wɔ mbabaawa a wɔrowosow nkasaa no hɔn finimfin.", ""
"PSA.68.26", "Hom nhyira Nyankopɔn wɔ mboanofo no mu, EWURADZE no a, hom a hom fi Israel nsunyiwa no mu.", ""
"PSA.68.27", "Benjamin ketseaba wɔ hɔ, hɔn do hwɛfo nye no, Juda asafohemfo na hɔn apamfo, Zebulun asafohemfo, Naftali asafohemfo.", ""
"PSA.68.28", "Ao Nyankopɔn kyerɛ w'ahoɔdzen: Kyerɛ wo tum, Ao Nyankopɔn, dza edze agye hɛn no.", ""
"PSA.68.29", "Osian w'asɔrfi a ɔwɔ Jerusalɛm ntsi Ahemfo dze akyɛdze bɛbrɛ wo.", ""
"PSA.68.30", "Twuw ndzɛmbir mu abowa bɔyafo no, Anantwisaa kuw no, ɔnye aman anantwimba no enyim, Wɔdzedze ndwetɛbona robɔsom; Ɔno na ɔabɔ aman a wɔpɛ akodzi no apetse.", ""
"PSA.68.31", "Ekunyin fi Egypt bɛba; Etiopia bɛyɛ ntsɛm atsen ne nsa ama Nyankopɔn.", ""
"PSA.68.32", "Asaase do nhenman, hom ntow ndwom mma Nyankopɔn: Hom ntow ayɛyindwom mma EWURADZE;", ""
"PSA.68.33", "Nyia ɔtse ɔsorsor mu ɔsorsor a ofi tsetse no do no; Hwɛ, ɔbɔ ne ndze mu, na tum ndze a.", ""
"PSA.68.34", "Hom mfa ahoɔdzen mma Nyankopɔn: N'enyimnyam kata Israel do, Na n'ahoɔdzen wɔ wimu.", ""
"PSA.68.35", "Nyankopɔn, wo ho yɛ hu wɔ wo mbea krɔnkrɔn do: Israel Nyankopɔn, ɔno na ɔdze ahoɔdzen na tum ma ne man. Nhyira nka Nyankopɔn!", ""
