"MAT.23.1", "Nna Jesus kasaa kyerɛɛ nyimpadodow no nye n'esuafo dɛ,", ""
"MAT.23.29", "Hom ndue, Akyerɛwfo nye Farisiifo, ndabrabafo! Osiandɛ hom tow nkɔnhyɛfo nda do, na hom hyehyɛ nyimpa tsenenee abodan no,", ""
"MAT.23.30", "na hom ka dɛ, Sɛ yɛwɔ hɛn egyanom aber do a, nkyɛ yɛnye hɔn ammbɔ mu wɔ nkɔnhyɛfo no bɔgyaa ho.", ""
"MAT.23.31", "Iyi ntsi hom dzi homho dase dɛ hɔn a wokum nkɔnhyɛfo no hɔn mba nye hom.", ""
"MAT.23.32", "Ntsi hom nhyɛ hom egyanom etwadze no ma.", ""
"MAT.23.33", "Hom mbowatsena, nhurutsia mba! Hom bɛyɛ dɛn eguan efi amandzehu kurow atsɛmbu no mu?", "#Mat 3.7; 12.34; Luk 3.7"
"MAT.23.34", "Dɛm ntsi hwɛ, morosoma nkɔnhyɛfo nye enyansafo nye Akyerɛwfo wɔ hom hɔ, na hom boku hɔn mu bi, na hom abɔ hɔn mbeamudua mu; na hɔn mu bi so hom bɛka hɔn mpire wɔ hom nhyiamudan mu, na hom atseetsee hɔn efi kurow mu akɔ kurow mu;", ""
"MAT.23.35", "ma bɔgya tsenenee a wɔaka egu asaase yi do nyina eegu hom do, ofitsi tseneneenyi Abel bɔgyaa do kesi Barakia ba Zekaria a hom kum no wɔ asɔrdan nye afɔrmbukyia no ntamu no bɔgyaa do.", "#Gye 4.8; 2 Mbe 24.20, 21"
"MAT.23.36", "Mese hom nokwar mu dɛ, Yinom nyina bɛba ɔsantsen yi do.", ""
"MAT.23.37", "Ao! Jerusalɛm, Jerusalɛm, ɔwo a iku nkɔnhyɛfo no, na isiw hɔn a wɔasoma hɔn wo nkyɛn abo, mpɛn ahen na mepɛɛ dɛ moboaboa wo mba ano, dɛ mbrɛ akokɔtan boaboa ne mba ano wɔ ne ntsaban ase, naaso hom ammpɛ!", ""
"MAT.23.38", "Hwɛ, woegyaa wo fie ato hɔ pan ama hom.", "#Jer 22.5"
"MAT.23.39", "Na mese hom dɛ, Ofitsi sesei yi hom runnhu me ara dze akɛpem dɛ hom bɛse dɛ, Nhyira nye nyia ɔnam Ewuradze ne dzin mu reba no.", "#Dwom 118.26"
