"1KI.22.1", "Na Siria na Israel tsenaa hɔ mfe ebiasa a ɔko bi nnyi hɔn ntamu.", ""
"1KI.22.19", "Na ɔsee dɛ, Dɛm ntsi tsie EWURADZE n'asɛm: Muhun EWURADZE dɛ ɔtse n'ahengua do, na ɔsor dɔm nyinara gyinagyina no ho wɔ n'enyimfa na n'abankum.", ""
"1KI.22.20", "Na EWURADZE see dɛ, Woana na ɔbɛdaadaa Ahab, ma ɔaafow akɔ akɔtɔr wɔ Ramot-gilead? Na obi see dɛm; na obi so see dɛm.", ""
"1KI.22.21", "Na sunsum bi fiir edzi begyinaa EWURADZE enyim na ɔsee dɛ, Mara mebɛdaadaa no.", ""
"1KI.22.22", "Na EWURADZE see no dɛ, Edze ebɛnadze? Na ɔsee dɛ, Mibefir edzi, na makɛyɛ sunsum torfo wɔ no nkɔnhyɛfo no nyinara anomu. Na ɔsee dɛ, Ɔwo bɛdaadaa no, na ibedzi nyim so: fir edzi kɔ, na kɛyɛ dɛm.", ""
"1KI.22.23", "Dɛm ntsi afei, hwɛ, EWURADZE dze sunsum torfo ahyɛ wo nkɔnhyɛfo yi nyinara anomu; na EWURADZE akasa wo ho bɔn.", ""
"1KI.22.24", "Nna Kenaana ne ba Zedekia twee pinii, na ɔbɔɔ Mikaia sotɔr see dɛ, Ebɛn kwan do na EWURADZE no sunsum fii me nkyɛn bɛkaa iyi kyerɛɛ wo?", ""
"1KI.22.25", "Na Mikaia see dɛ, Hwɛ da no a ebɔkɔ mpiakyir pia mu dɛ irukosuma woho no na ibohu.", ""
"1KI.22.26", "Na Israelhen no see dɛ, Fa Mikaia, na fa no san kɔ kɛma kurow no mu ambrado Amon, na ɔhen ne ba Joas;", ""
"1KI.22.27", "na se dɛ, Mbrɛ ɔhen se nye yi, Hom mfa akowaa yi nto efiadze, na hom mfa ahohiahia edziban na ahohiahia nsu mbɔ no akɔhoma, ma onkodu dɛ mebɛba no asomdwee mu.", ""
"1KI.22.28", "Na Mikaia see dɛ, Sɛ ɔwoara esan ba no asomdwee mu ara dze a, nna nnyɛ EWURADZE na ɔnam mo do akasa. Na ɔsee dɛ, Aman, hom nyinara hom ntsie.", ""
"1KI.22.29", "Nna Israelhen na Judahen Jehosafat sii mu kɔr Ramot-gilead.", ""
"1KI.22.30", "Na Israelhen no see Jehosafat dɛ, Mebɛsakyer moho na makɔ ɔko no mu; na ɔwo dze hyɛ wo ntar. Na Israelhen no sakyeer noho na ɔkɔr ɔko no mu.", ""
"1KI.22.31", "Afei Siriahen no ahyɛ ne tseaseanam do asafohemfo eduasa ebien no dɛ, Mma hom nnye kakraba anaa kɛse nnko, gyedɛ Israelhen no nkotsee.", ""
"1KI.22.32", "Na ɔbaa dɛ aber a ntseaseanam do asafohemfo no hun Jehosafat no, nna wɔsee dɛ, Ampa, Israelhen no nye no; na wɔdaan hɔnho dɛ wɔnye no rokɔko: na Jehosafat kekaa mu.", ""
"1KI.22.33", "Na ɔbaa dɛ, aber a ntseaseanam do asafohemfo no hun dɛ nnyɛ Israelhen nye no no, nna wogyaa no tsiw saan hɔn ekyir.", ""
"1KI.22.34", "Na ɔbarimba bi twee n'egyen mu ntɔgon mu ara, na ɔdze bɔɔ Israelhen no wɔ mbɔtoa mu na akatabo no ntamu: dɛm ntsi ɔsee ne tseaseanamkanyi no dɛ, Dan wo nsa, na fa me fi dɔm yi mu; na mepira dzendzen.", ""
"1KI.22.35", "Na ɔko no mu yɛɛ dzen da no: na wosuoo ɔhen no mu gyinaa ne tseaseanam mu wɔ Siriafo enyim, na ɔtɔɔr ewimbir: na bɔgya fi epirakur no mu pemee kɔr tseaseanam no ase.", ""
"1KI.22.36", "Na nkekamu bi faa dɔm no mu witɔree ber no, dɛ, Nyimpa biara nkɔ no kurow mu, na nyimpa biara nkɔ ne man mu.", ""
"1KI.22.37", "Nna ɔhen no wui, na wɔdze no baa Samaria; na wosiee ɔhen no wɔ Samaria.", ""
"1KI.22.38", "Na wɔkɔhohoor tseaseanam no mu wɔ Samaria nsutaae ho; na nkraman tafeer no bɔgyaa; (afei mbaa ehuhufo hohor hɔnho wɔ hɔ;) dɛ mbrɛ EWURADZE n'asɛm a ɔkae no tse no.", ""
"1KI.22.39", "Afei Ahab no ho nsɛm nkaa no, na dza ɔyɛe nyinara, na asombɛn dan a osii, na nkurow a ɔkyekyeree nyinara, ana wɔnnkyerɛɛw no wɔ Israel ahemfo hɔn Mbermunsɛm nwoma no mu?", ""
"1KI.22.40", "Na Ahab kɔr ne nsamankyir; na ne babanyin Ahazia dzii hen wɔ n'ananmu.", ""
"1KI.22.41", "Na Israelhen Ahab n'afe a otsia anan no mu na Asa ne ba Jehosafat hyɛɛ ase dzii hen wɔ Juda do.", ""
"1KI.22.42", "Jehosafat dzii mfe eduasa enum no nna ɔhyɛɛ ase dzii hen; na odzii hen mfe eduonu enum wɔ Jerusalɛm. Na ne na ne dzin dze Azuba, Silhi ne babaa a.", ""
"1KI.22.43", "Na ɔnantseew n'egya Asa kwan no nyinara do; ɔanndan emmfi ho, dɛ ɔyɛ dza ɔtsen wɔ EWURADZE enyiwa do: naaso oennyi mbea sorɔnsorɔm no emmfi hɔ; ɔman no daa ho bɔɔ afɔr na wɔhyeew eduhuam wɔ mbeambea sorɔnsorɔm no.", ""
"1KI.22.44", "Na nsiesie baa Jehosafat nye Israelhen no ntamu.", ""
"1KI.22.45", "Afei Jehosafat no ho nsɛm nkaa no, na ne mbanyinndam a ɔkyerɛe, na mbrɛ osii dzii ako no, ana wɔnnkyerɛɛw no wɔ Juda ahemfo hɔn Mbermunsɛm nwoma no mu?", ""
"1KI.22.46", "Na sodomfo nkaa a wɔkae wɔ n'egya Asa nda no mu no, otuu hɔn fii asaase no do.", ""
"1KI.22.47", "Nna ɔhen bi nnyi Edom: na ahyɛnanmu bi na odzi hen.", ""
"1KI.22.48", "Jehosafat yɛɛ Tarsis ahɛn dɛ wɔnkɔ Ofir nkɛfa sika: na wɔannkɔ, osiandɛ ahɛn no bobɔe wɔ Ezion-geber.", ""
"1KI.22.49", "Nna Ahab ne ba Ahazia see Jehosafat dɛ, Ma mo nkowaa nka wo nkowaa ho nkɔ ahɛn no mu. Na Jehosafat ammpen.", ""
"1KI.22.50", "Na Jehosafat kɔr ne nsamankyir, na wosiee no kaa n'egyanom ho wɔ n'egya David kurow mu: na ne babanyin Jehoram dzii hen wɔ n'ananmu.", ""
"1KI.22.51", "Judahen Jehosafat n'afe a otsia duesuon no mu na Ahab ne ba Ahazia hyɛɛ ase dzii hen wɔ Israel, na odzii hen mfe ebien wɔ Israel do.", ""
"1KI.22.52", "Na ɔyɛɛ dza omuo wɔ EWURADZE enyi do, na ɔnantseew n'egya no kwan no do, na ne na no kwan do, na Nebat ne ba Jeroboam a ɔmaa Israel yɛɛ bɔn no, no kwan do.", ""
"1KI.22.53", "Na ɔsoom Baal, na ɔsɔɔr no, na oyii EWURADZE, Israel Nyankopɔn no ebufuw, dɛ mbrɛ dza n'egya yɛe no nyinara tse.", ""
