"1KI.2.1", "Afei David ne nda bɛɛn dɛ obowu; na ɔhyɛɛ ne ba Solomon, dɛ,", ""
"1KI.2.32", "Na EWURADZE mma no bɔgyaa nsan ngu nankasa n’etsifi, osiandɛ otui hyɛɛ mbarimba beenu a wɔtsen na woye sen no no do, na ɔdze afona kunkum hɔn, ber a m’egya David nnyim ho hwee, hɔn nye, Ner ne ba Abner, Israel dɔm mu ɔsafohen, na Jeter ne ba Amasa, Juda dɔm mu ɔsafohen no.", ""
"1KI.2.33", "Na hɔn bɔgyaa bɛsan ebogu Joab n’etsifi, na n’asefo etsifi daa: na David, na n’asefo na ne fie, na n’ahengua dze, wobenya EWURADZE hɔ asomdwee daa.", ""
"1KI.2.34", "Nna Jehoiada ne ba Benaia sii mu kɔree, na okotui hyɛɛ no do, na okum no, na wokesiee no wɔ nankasa ne fie wɔ sar no do.", ""
"1KI.2.35", "Na ɔhen no dze Jehoiada ne ba Benaia hyɛɛ n’ananmu wɔ dɔm no do: na ɔhen no dze ɔsɔfo Zadok hyɛɛ Abiathar n’ananmu.", ""
"1KI.2.36", "Na ɔhen no somaa ma wokehyiaa Simei, na ɔsee no dɛ, Si dan ma woho wɔ Jerusalɛm, na tsena hɔ, na mma mmfi hɔ mmpue nnkɔ beebiara.", ""
"1KI.2.37", "Na da no ara a ibopue, na ekotwa ɔwora Kidron no, ɔno hu no ampaara dɛ, owu ara na ibowu: wo bɔgyaa bogu wankasa w’etsifi.", ""
"1KI.2.38", "Na Simei see ɔhen no dɛ, Asɛm no ye: dɛ mbrɛ mo wura ɔhen ase no, dɛmara so na w’akowaa bɛyɛ. Na Simei tsenaa Jerusalɛm nda pii.", ""
"1KI.2.39", "Na ɔbaa dɛ mfe ebiasa ekyir no, Simei no nkowaa mu beenu guanee kɔr Maaka ne ba Akis, Gat hen no nkyɛn. Na wɔkaa kyerɛɛ Simei, dɛ, Hwɛ, wo nkowaa no wɔ Gat.", ""
"1KI.2.40", "Na Simei soɛree, na ɔhyehyɛɛ n’asoaso, na osii mu kɔr Akis nkyɛn wɔ Gat, dɛ ɔrokɔhwehwɛ no nkowaa no: na ɔkɛfaa hɔn fi Gat bae.", ""
"1KI.2.41", "Na wɔkaa kyerɛɛ Solomon dɛ, Simei efi Jerusalɛm akɔ Gat, na ɔaba bio.", ""
"1KI.2.42", "Na ɔhen no somaa ma wɔkɛfrɛɛ Simei, na obisaa no dɛ, Ana mamma ammfa EWURADZE annka ntam, na menndzi wo dase, dɛ, Da no ara a ibopue akɛnantsenantsew beebiara no, ɔno hu no ampaara dɛ, owu ara na ibowu? Na ɔwoara see me dɛ, Asɛm a matse no oye.", ""
"1KI.2.43", "Ɔyɛ dɛn ntsi na enndzi EWURADZE ne ntam, na mbrasɛm a medze hyɛɛ wo no do?", ""
"1KI.2.44", "Nkyii so ɔhen no see Simei dɛ, Ɔwoara nyim emumuyɛ nyinara a w’akoma nyim a edze yɛɛ m’egya David no: dɛm ntsi EWURADZE bɛdan w’emumuyɛ no egu wankasa w’etsifi.", ""
"1KI.2.45", "Na ɔhen Solomon dze, nhyira bɛka no, na David n’ahengua no betsim wɔ EWURADZE enyim daa.", ""
"1KI.2.46", "Nna ɔhen no hyɛɛ Jehoiada ne ba Benaia; na ofiir edzi kokum no. Na ahendzi no tsimii wɔ Solomon ne nsamu.", ""
