"2SA.14.1", "Afei Zeruia ba Joab hun dɛ ɔhen no n’akoma wɔ Absalom ho.", ""
"2SA.14.19", "Na ɔhen no see dɛ, Ana Joab ne nsa ka wo ho wɔ iyi nyinara mu a? Na ɔbaa no buae see dɛ, Mo wura ɔhen, dɛ wo kra tse ase yi, obi runntum nndan mmfi asɛm a mo wura ɔhen aka no ho mmfa enyimfa anaa abankum: na w’akowaa Joab, na ɔhyɛɛ me, na ɔnoara na ɔdze nsɛm yi nyinara hyɛɛ w’afonabaa n’ano:", ""
"2SA.14.20", "dɛ ɔbɛdan asɛm no n’enyi ntsi na w’akowaa Joab ayɛ adze yi: na mo wura yɛ onyansafo, dɛ mbrɛ Nyankopɔn bɔfoe ne nyansaa tse, dɛ obohu dza ɔwɔ asaase do nyinara.", ""
"2SA.14.21", "Ekyir no, ɔhen no see Joab dɛ, Afei hwɛ, mayɛ dza epɛ: dɛm ntsi kɔ, kɛfa aberantsɛ Absalom san bra.", ""
"2SA.14.22", "Na Joab dze n’enyim boom famu, na ɔyɛɛ enyidzi, na ohyiraa ɔhen no: na Joab see dɛ, Ndɛ na w’akowaa ehu dɛ menya w’enyim enyimnyam, mo wura ɔhen, dɛ ɔhen ayɛ n’akowaa n’ebisadze yi.", ""
"2SA.14.23", "Nna Joab soɛree na osii mu kɔr Gesur, na ɔkɛfaa Absalom baa Jerusalɛm.", ""
"2SA.14.24", "Na ɔhen no see dɛ, Wɔmma ɔmman nkɔ nankasa ne fie, na mma wɔmma onnhu m’enyim. Nna Absalom manee kɔr nankasa ne fie, na oennhu ɔhen no enyim.", ""
"2SA.14.25", "Afei obi nnyi Israel nyinara mu a wɔkamfo n’ahoɔfɛw dodow dɛm dɛ Absalom: ofi n’ananadze araa dze kodu n’etsifi pampamu no dzɛm biara nnyi no ho.", ""
"2SA.14.26", "Na sɛ oyi ne tsir a, (afei afrenhyia biara n’ewiei oyi: osiandɛ nhwi no yɛ no do dur dodow:) oker ne tsinhwi no ma ɔtow dwetɛbona ahaenu, dɛ mbrɛ ɔhen n’abrambo tse.", ""
"2SA.14.27", "Na Absalom woo mbabanyin baasa, na ɔbabaa kor a ne dzin dze Tamar: ɔyɛ ɔbaa a n’enyim yɛ fɛw.", ""
"2SA.14.28", "Na Absalom tsenaa Jerusalɛm mfe pɔrpɔr ebien; na oennhu ɔhen no n’enyim da.", ""
"2SA.14.29", "Nna Absalom somae ma wɔkɛfrɛɛ Joab, dɛ ɔrosoma no wɔ ɔhen nkyɛn; na ɔammpɛ dɛ ɔba ne nkyɛn: na ɔsomaa bio ne mpɛn ebien, na ɔammpɛ dɛ ɔba.", ""
"2SA.14.30", "Dɛm ntsi ɔsee no nkowaa dɛ, Hom nhwɛ, Joab ne haban bɛn medze, na ɔwɔ atoko wɔ hɔ; hom nkɔ nkɔto mu gya.", ""
"2SA.14.31", "Nna Joab soɛree na ɔbaa Absalom nkyɛn wɔ ne fie, na obisaa no dɛ, Ɔyɛ dɛn ntsi na wo nkowaa akɔto me haban mu gya yi?", ""
"2SA.14.32", "Na Absalom buaa Joab dɛ, Hwɛ, mosomae ma wɔbaa wo hɔ, dɛ, Bra ha, ma monsoma wo wɔ ɔhen hɔ, dɛ, Ɔyɛ dɛn ntsi na mifi Gesur mebae? Oye ma me dɛ nkyɛ meda ho mowɔ hɔ: dɛm ntsi afei ma munhu ɔhen no n’enyim; na sɛ emumuyɛ bi wɔ mo mu a, wɔmma onku me.", ""
"2SA.14.33", "Nna Joab baa ɔhen no nkyɛn, na ɔbɛkaa kyerɛɛ no: na wɔkɛfrɛɛ Absalom no, ɔbaa ɔhen no nkyɛn, na ɔbɔɔ no mu adze dze n’enyim boom famu wɔ ɔhen no enyim: na ɔhen no feew Absalom n’ano.", ""
