"2SA.19.1", "Nna wɔkaa kyerɛɛ Joab dɛ, Hwɛ, ɔhen rusu na origyam Absalom.", ""
"2SA.19.12", "Hom nye mo nuanom, hom nye me biew na mo honam: ɔyɛ dɛn ntsi na hom aka ekyir dɛ wɔdze ɔhen bɛsan akɔ?", ""
"2SA.19.13", "Na hom nse Amasa dɛ, Ana ɔwo nnyɛ me biew na mo honam bi a? Nyankopɔn nyɛ me dɛm, na bi so nka ho, sɛ ɔwo enndzi dɔm no do ɔsafohen wɔ m'enyim daa nyina annhyɛ Joab n'ananmu a.", ""
"2SA.19.14", "Na ɔbrɛɛ Juda mbarimba no nyinara hɔn akoma adze, dɛ nyimpa baako n'akoma; ma dɛm ntsi wɔsomae ma wɔkɔr ɔhen no nkyɛn, dɛ, San bra, ɔwo na wo nkowaa nyinara.", ""
"2SA.19.15", "Nna ɔhen no sanee, na ɔbaa Jordan do. Na Juda baa Gilgal, dɛ wɔrokɔ ekehyia ɔhen no, na wɔdze ɔhen no etwa Jordan.", ""
"2SA.19.16", "Na Simei, Gera ba no, Benjaminnyi a ofi Bahurim no, yɛɛ ntsɛm na ɔnye Juda mbarimba no sianee baa dɛ woribehyia ɔhen David.", ""
"2SA.19.17", "Na Benjamin mbarimba apem ka no ho, na Ziba, Saul ne fie akowaa no, na ne mbabanyin duenum na no nkowaa eduonu ka no ho bae; na wotwaa Jordan baa ɔhen no enyim.", ""
"2SA.19.18", "Na esutwahɛn twae kɔr dɛ wɔdze rekɛfa ɔhen ne fiefo etwa, na wɔayɛ dza ohia biara. Na Simei, Gera ba no, boom ɔhen no n'enyim famu, aber a otwaa Jordan bae no.", ""
"2SA.19.19", "Na ɔsee ɔhen no dɛ, Mma mma mo wura mmbu emumuyɛ mma me, nkyii so mma nnkaa dza w'akowaa yɛɛ no nkɔnkɔnsa mu wɔ da a mo wura ɔhen fii Jerusalɛm no, dɛ ɔhen bɛfa ato n'akoma mu.", ""
"2SA.19.20", "Osiandɛ w'akowaa nyim dɛ mayɛ bɔn: dɛm ntsi, hwɛ, emi na medzi Josef fi nyinara ne kan maba ndɛ da yi dɛ mirisian mekehyia mo wura ɔhen.", ""
"2SA.19.21", "Na Abishai, Zeruia ne ba no, buae see dɛ, Ana worunnku Simei wɔ iyi ntsi, osiandɛ ɔadom nyia EWURADZE asera no no?", ""
"2SA.19.22", "Na David see dɛ, Ebɛnadze na mowɔ menye hom yɛ, hom Zeruia mba, dɛ hom bɛyɛ atamfo ama me ndɛ da yi? Ana ndɛ da yi wonku nyimpa wɔ Israel a? Ana minnyim dɛ ndɛ da yi midzi hen wɔ Israel do bi a?", ""
"2SA.19.23", "Na ɔhen no see Simei dɛ, Innkowu. Na ɔhen no kaa ntam kyerɛɛ no.", ""
"2SA.19.24", "Na Mefiboset, Saul ne ba no, sianee baa dɛ oribehyia ɔhen no; ɔnnyɛɛ n'anan ho yie, nkyii so onnsiesiee n'abɔdwesa ho, na ɔannhor ne ntar so ara ofi da no a ɔhen sii mu kɔree no bodur da a ɔbaa fie asomdwee mu no.", ""
"2SA.19.25", "Na ɔbaa dɛ, aber a ɔbaa Jerusalɛm dɛ oribehyia ɔhen no, ɔhen see no dɛ, Mefiboset, ɔyɛ dɛn ntsi na ennye me annkɔ?", ""
"2SA.19.26", "Na obuaa dɛ, Ao mo wura ɔhen, m'akowaa na ɔdaadaa me: na w'akowaa see dɛ, Mebɛhyehyɛ asoaso, na nkyɛ matsena do, na menye ɔhen akɔ, osiandɛ w'akowaa yɛ ebubua.", ""
"2SA.19.27", "Na oebotwir w'akowaa ama mo wura ɔhen; na mo wura ɔhen dze ɔtse dɛ Nyankopɔn no bɔfoe: dɛm ntsi yɛ dza oye wɔ w'enyiwa do.", ""
"2SA.19.28", "Osiandɛ m'egya fie nyinara yɛ ewufo ara wɔ mo wura ɔhen enyim: naaso ɔwo dze w'akowaa hyɛɛ hɔn a wodzidzi wankasa wo pon do mu. Dɛm ntsi ebɛn kwan na mowɔ bio dɛ medze mebɛkeka mu afrɛ ɔhen bio?", ""
"2SA.19.29", "Na ɔhen no see no dɛ, Ɔyɛ dɛn ntsi na eda ho kasa wo nsɛm yi ho bio yi? Mese dɛ, Ɔwo na Ziba wɔnkɛkyɛ asaase no mu.", ""
"2SA.19.30", "Na Mefiboset see ɔhen dɛ, Mpo, ma ɔmfa ne nyinara, susuampa dɛ mo wura ɔhen aba nankasa ne fie asomdwee mu yi.", ""
"2SA.19.31", "Na Barzillai, Gileadnyi no, sianee fi Rogelim bae; na ɔnye ɔhen twaa Jordan, dɛ orikegya no Jordan egya.", ""
"2SA.19.32", "Nna Barzillai yɛ nyimpa a oenyin dodow, oedzi mfe eduowɔtwe: na ɔno na ɔbɔɔ ɔhen akɔhoma mber a ɔda Mahanaim no; osiandɛ ɔyɛ nyimpa kɛse dɛ.", ""
"2SA.19.33", "Na ɔhen no see Barzillai dɛ, Bra bɛnye me ntwa nkɔ Jerusalɛm, na mobɔhwɛ wo me nkyɛn.", ""
"2SA.19.34", "Na Barzillai see ɔhen no dɛ, Mo nkwa mfe mu nda yɛ ahen, na menye ɔhen mfow nkɔ Jerusalɛm yi?", ""
"2SA.19.35", "Mowɔ hɔ yi medzi mfe eduowɔtwe: ana mubotum ehu papa na bɔn mu? Ana w'akowaa botum atse dza midzi anaa dza monom? Ana mubotum atse mbarimba adwontofo na mbaa adwontofo ndze bio a? Ɔyɛ dɛn ntsi na w'akowaa bɛda ho ara ayɛ adzesoa ama mo wura ɔhen yi?", ""
"2SA.19.36", "W'akowaa nye ɔhen botwa Jordan akɔ kakra: na ɔyɛ dɛn ntsi na ɔhen dze dɛm akatua botua me kaw?", ""
"2SA.19.37", "Meserɛ wo, ma w'akowaa nsan ekyir bio, ma munkowu wɔ mankasa mo kurow mu, wɔ m'egya na me na nda nkyɛn. Mbom hwɛ, w'akowaa Kimham; ma ɔnye mo wura ɔhen ntwa nkɔ; na dza ehwɛ a oye ma wo no fa yɛ no.", ""
"2SA.19.38", "Na ɔhen buaa dɛ, Kimham nye me botwa akɔ, na mebɛyɛ no dza oye wɔ w'enyi do: na biribiara a ebɔhwehwɛ wɔ mo hɔ no, mebɛyɛ ama wo.", ""
"2SA.19.39", "Na ɔman no nyinara twaa Jordan, na ɔhen no so twae: na ɔhen no feew Barzillai n'ano, na ohyiraa no; na ɔsanee kɔr nankasa ne tsenabew.", ""
"2SA.19.40", "Nna ɔhen no sii mu kɔr Gilgal, na Kimham nye no sii mu kɔree: na Juda ɔman no nyinara, na Israel ɔman no ne fa, na wɔdze ɔhen no twae bae.", ""
"2SA.19.41", "Na, hwɛ, Israel mbarimba no nyinara baa ɔhen no nkyɛn, na wɔbɛsee ɔhen no dɛ, Ɔyɛ dɛn ntsi na hɛn nuanom Juda mbarimba ewia wo kɔ, na wɔdze ɔhen, na ne fiefo, na David ne mbarimba a wɔka no ho nyinara etwa Jordan aba yi?", ""
"2SA.19.42", "Na Juda mbarimba no nyinara buaa Israel mbarimba no dɛ, Osiandɛ ɔhen yɛ obusuanyi a ɔbɛn hɛn: ɔyɛ dɛn ntsi na hom bo bofuw wɔ asɛm yi ntsi yi? Ana yeedzi ɔhen ho biribi? Ana ɔama hɛn akyɛdze bi?", ""
"2SA.19.43", "Na Israel mbarimba no buaa Juda mbarimba no see dɛ, Yɛwɔ kyɛfa du wɔ ɔhen mu, na eso yɛwɔ David mu ɔkwan sen hom: ɔyɛ dɛn ntsi na hom bu hɛn enyimtsia, dɛ hɛn apam enndzi kan ammba mu dɛ wɔdze hɛn hen bɛsan aba? Na Juda mbarimba no hɔn nsɛm no yɛɛ dzen seen Israel mbarimba no hɔn nsɛm no.", ""
