"ROM.8.1", "Dɛm ntsi afei afɔbu biara nnyi hɔ ma hɔn a wɔwɔ Kraest Jesus mu no .", "#8.1 Tsetse akyerɛwfo no bi dze ka ho dɛ hɔn a wɔnnantsew honam mu na mbom wɔnantsew sunsum mu no."
"ROM.8.23", "Na nnyɛ abɔdze no nko, na hɛnankasa so a yɛwɔ Sunsum no aba a odzi kan no, hɛn so yesi nkrum wɔ hɛn mu rotweɔn abayɛ no a wɔdze bɔpon nyimpadua no.", "#2 Kor 5.2-4"
"ROM.8.24", "Na enyidado mu na wɔgyee hɛn nkwa: na enyidado a wohu no nnyɛ enyidado, na dza obi hu no, ɔbɛyɛ dɛn na n’enyi bɛda do?", ""
"ROM.8.25", "Na sɛ hɛn enyi da dza yennhu do a, nna yɛdze abotar tweɔn.", ""
"ROM.8.26", "Dɛmara so na Sunsum no suo hɛn mu wɔ hɛn mberɛwyɛ mu, osiandɛ yennyim mbrɛ yendua mbɔ mpaa a ɔsɛ; na Sunsum nankasa na ɔdze apensi a onnyi kabea dzi ma hɛn.", ""
"ROM.8.27", "Na nyia ɔpɛnsa akoma mu no nyim Sunsum no n’adwen mbrɛ ɔtse, osiandɛ odzi ma ahotseweefo no dɛ mbrɛ Nyankopɔn ne pɛ tse.", ""
"ROM.8.28", "Na yenyim dɛ hɔn a wɔdɔ Nyankopɔn no, ɔdze adze nyina bɔ mu yɛ edwuma ma hɔn yieyɛ, mekyerɛ hɔn a wɔnam ne tsirmpɔw do afrɛ hɔn no.", ""
"ROM.8.29", "Na hɔn a ohun hɔn siei no, hɔn so na oyii hɔn too hɔ dɛ wɔnye ne Ba no suban nsɛ, ama ɔno dze, ɔaayɛ enuanom pii mu abakan.", ""
"ROM.8.30", "Na hɔn a oyii hɔn too hɔ no, hɔn so na ɔfrɛɛ hɔn, na hɔn a ɔfrɛɛ hɔn no, hɔn so na obuu hɔn bem, na hɔn a obuu hɔn bem no, hɔn so na ɔhyɛɛ hɔn enyimnyam.", ""
"ROM.8.31", "Nna afei yɛbɛka dɛn wɔ iyinom ho? Sɛ Nyankopɔn wɔ hɛn afa a, woana na obotum asoɛr etsia hɛn?", ""
"ROM.8.32", "Ɔno a ɔannkam nankasa ne Ba, na oyii no mae wɔ hɛn nyina ntsi no, ɔbɛyɛ dɛn na ɔnnkɛfa adze nyina aka no ho adom hɛn?", ""
"ROM.8.33", "Woana botum atoatoa hɔn a Nyankopɔn asan mu eyi hɔn no? Nyia obu bem nye Nyankopɔn.", ""
"ROM.8.34", "Woana nye nyia obu fɔ? Kraest Jesus a, ɔno a owui, nyew, na ɔsoɛree fii ewufo mu, nyia ɔtse Nyankopɔn nyimfa no a, na ɔnoara so na odzi ma hɛn no.", ""
"ROM.8.35", "Woana bɛtsew hɛn efi Kraest dɔ no ho? Ahohia, anaa ahomtsew a, ɔhaw anaa ɔkɔm, adagyaw, anaa amandzenya a, anaa afona a?", ""
"ROM.8.36", "Dɛ mbrɛ wɔakyerɛw no dɛ, Ɔwo ntsi woku hɛn daa nyina; Woebu hɛn dɛ nguan a woruboku hɔn.", "#Dwom 44.22"
"ROM.8.37", "Naaso iyi nyina mu yɛnam nyia ɔdɔɔ hɛn no do dzi konyim bor do.", ""
"ROM.8.38", "Na megye dzi ampa dɛ, owu anaa nkwa, anaa abɔfo, anaa etumfo, anaa dza ɔwɔ hɔ sesei, anaa dza ɔrebɛba, anaa ahoɔdzenfo,", ""
"ROM.8.39", "anaa dza ɔkrɔn, anaa bun, anaa abɔdze biara nnkotum atsew hɛn efi Nyankopɔn dɔ no a ɔwɔ hɛn Ewuradze Kraest Jesus mu no ho.", ""
