"NUM.15.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.15.19", "ɔno ɔba dɛ, sɛ hom ridzi asaase no do edziban no bi a, hom mbɔ ohim afɔr mma EWURADZE.", ""
"NUM.15.20", "Hom mbɔrkan no bi ne tatar na hom mfa nyɛ ohim afɔr: dɛ mbrɛ hom yɛ ewuporoweebea ohim afɔr no, dɛmara so na hom nhim no.", ""
"NUM.15.21", "Hom mbɔrkan no bi na hom mfa mma EWURADZE dɛ ohim afɔr wɔ hom ebusuasantsen nyina mu.", ""
"NUM.15.22", "Na sɛ hom fom, na hom annhyɛ mbransɛm yi a EWURADZE aka akyerɛ Moses no nyinara nsew,", ""
"NUM.15.23", "mekyerɛ dza EWURADZE nam Moses nsa do ahyɛ hom nyinara, ofi da a EWURADZE hyɛɛ mbra no, na ɔdze ba yi wɔ hom ebusuasantsen nyina mu no a;", ""
"NUM.15.24", "ɔno ɔba dɛ, sɛ wɔyɛ no ntɔgon mu, dɛ mboanofo no nnyim a, mboanofo no nyinara mfa ɔnantwisaa eburwa kor mbɔ ɔhyew afɔr a oyi nka huanhuam ma EWURADZE, nka n’edziban afɔr, nye no nom afɔr no ho dɛ mbrɛ mbra no tse, nye apɔnkyenyin kor na ɔnyɛ bɔn ho afɔr.", ""
"NUM.15.25", "Na ɔsɔfo no mpata mma Israelmba mboanofo no nyina, na wɔdze bɛkyɛ hɔn; na ɔyɛ mfom, na hɔn mfom no ntsi, wɔdze hɔn ayɛyɛdze aba dɛ EWURADZE ogya afɔr, nye hɔn bɔn ho afɔr wɔ EWURADZE enyim:", ""
"NUM.15.26", "na wɔdze befir Israelmba mboanofo no nyinara, nye ɔhɔho a ɔabɔsoɛ hɔn mu no; na ɔman no nyinara afamu na wɔyɛɛ no ntɔgon mu.", ""
"NUM.15.27", "Na sɛ nyimpa kor bi annhyɛ da na ɔyɛ bɔn a, ɔno ɔmfa apɔnkyeber a oedzi afrenhyia mbra mbɔbɔ bɔn ho afɔr.", ""
"NUM.15.28", "Na ɔsɔfo no mpata mma ɔkra a ɔfom no, sɛ ɔyɛ bɔn no ber a ɔnndze enyidaho wɔ EWURADZE enyim a, ɔmpata mma no; na wɔdze bɛkyɛ no.", ""
"NUM.15.29", "Hom nnya mbra kor nto hɔ mma nyia ɔyɛ biribi a ɔnndze enyidaho dɛ ɔyɛ okuromnyi wɔ Israelmba mu, anaa ɔhɔho a ɔbɔsoɛ hom mu no.", ""
"NUM.15.30", "Ɔkra a ɔhyɛ da ara yɛ bɔn no dze, sɛ ɔyɛ okuromnyi bi o, ɔhɔho bi o, oedzi etsia EWURADZE; na dɛm ɔkra no wobotwa no efi ne man mu akyen.", ""
"NUM.15.31", "Osiandɛ oebu EWURADZE n’asɛm enyimtsia, na ɔato ne mbra no; otwa ara na wobotwa ɔkra no akyen, n’emumuyɛ nda no do.", ""
"NUM.15.32", "Na aber a Israelmba wɔwɔ sar no do no, wohun ɔbanyin bi a ɔrepɛ nyena ahomgyeda.", ""
"NUM.15.33", "Na hɔn a wohun no dɛ ɔrepɛ nyena no wɔdze no brɛɛ Moses nye Aaron, nye mboanofo no nyinara.", ""
"NUM.15.34", "Na wɔbɔɔ no dua mu, osiandɛ wonnyae nnkyerɛɛ dza wɔmfa nyɛ no.", ""
"NUM.15.35", "Na EWURADZE see Moses dɛ, Oku na wonku banyin no: mboanofo no nyinara nsiw no abo wɔ nseraban no ekyir.", ""
"NUM.15.36", "Na mboanofo no nyinara dze no baa nseraban no ekyir na wosiiw no abo ma owui; dɛ mbrɛ EWURADZE hyɛɛ Moses no.", ""
"NUM.15.37", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.15.38", "Kasa kyerɛ Israelmba, na hyɛ hɔn ma wɔnyɛ hɔn ntar ano ndwow wɔ hɔn ebusuasantsen nyina mu, na wɔmfa bibir ahoma nsusuo n’ano n’ano ndwow no mu:", ""
"NUM.15.39", "na ɔnyɛ ndwow mma hom, ma hom aahwɛ, na wɔaakaa EWURADZE mbrasɛm nyinara, na wɔaayɛ; na hom eennkekyin enndzi hom akoma nye hom enyiwa ekyir, dza hom tɔ dɛ wodzi ekyir ndwamanyɛ mu no:", ""
"NUM.15.40", "ama hom aakaa na wɔayɛ me mbransɛm nyinara, na hom ayɛ krɔnkrɔn ama hom Nyankopɔn.", ""
"NUM.15.41", "Emi nye EWURADZE hom Nyankopɔn a miyii hom fii Egypt asaase do dɛ mebɛyɛ hom Nyankopɔn no: emi nye EWURADZE hom Nyankopɔn.", ""
