"NUM.4.1", "Na EWURADZE kasaa kyerɛɛ Moses nye Aaron dɛ.", ""
"NUM.4.18", "Hom nhwɛ ma wontwa Kohatfo ebusua ebusua mu ebusuakuw no mmfi Levifo no mu:", ""
"NUM.4.19", "na dza hom nyɛ mma hɔn ama woeenya nkwa na woeennwuwu, sɛ wɔbɛn krɔnkrɔndze mu adzekrɔnkrɔn no a: Aaron nye ne mbabanyin no nhɛn mu, na wɔmfa hɔn nsisi obiara n’edwuma nye n’adzesoa ho:", ""
"NUM.4.20", "na hɔn dze, mma wɔnnhɛn mu nnkɔhwɛ ahotseweebea no dɛ enyi robɔ do mpo, amma woeennwuwu.", ""
"NUM.4.21", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.4.22", "Bu Gerson mbabanyin no so ano, dɛ mbrɛ hɔn egyanom efi, nye hɔn ebusua ebusua tsetsee;", ""
"NUM.4.23", "ofi hɔn a woedzi mfe eduasa nye ekyir do kodu hɔn a woedzi mfe eduonum do na kan hɔn; hɔn a wɔhɛn mu kɔsom dɛ wɔkɛyɛ edwuma wɔ ehyiadzibuw no mu no nyinara.", ""
"NUM.4.24", "Iyi nye Gersonfo ebusua ebusua hɔn som wɔ ɔsom nye ndzesoa soa mu.", ""
"NUM.4.25", "Hɔn na wɔnsoa ntamadan no ne nsensɛnho atam no, nye ehyiadzibuw no, ne nkatado, nye esukraman nwoma akatado no a ɔwɔ do wɔ sor no, nye ehyiadzibuw no n’abowano nkataano;", ""
"NUM.4.26", "nye pampan no ne nsensɛnho no, nye pampan no n’abotsen abowano nkataano, dza etwa ntamadan no nye afɔrmbukyia no ho ehyia no, nye ne ntampehoma, nye no ho edwuma ho ndzɛmba nyinara, nye biribiara a wɔdze bɛyɛ no, no mu na wɔnsom.", ""
"NUM.4.27", "Aaron nye ne mbabanyin mbrasɛm do na Gersonfo mbabanyin no nyɛ hɔn edwuma nyinara, wɔ hɔn adzesoa nyinara, nye hɔn edwuma nyinara mu: na hom mfa hɔn adzesoa nyinara nhyɛ hɔn nsa ma wɔnhwɛ do.", ""
"NUM.4.28", "Iyi nye Gersonfo mbabanyin ebusua ebusua no hɔn edwuma wɔ ehyiadzibuw no mu: na hɔn ahwɛdodze wɔ ɔsɔfo Aaron ne babanyin Itamar nsamu.", ""
"NUM.4.29", "Merari ne mbabanyin no dze, kan hɔn dɛ mbrɛ hɔn ebusua ebusua, nye hɔn egyanom efi tsetsee;", ""
"NUM.4.30", "ofi hɔn a woedzi mfe eduasa nye ekyir do kodu hɔn a woedzi mfe eduonum do no mu, obiara a ɔhɛn ɔsom no mu, dɛ ɔkɛyɛ edwuma wɔ ehyiadzibuw no mu no.", ""
"NUM.4.31", "Na iyi nye hɔn adzesoa ahwɛdodze, dɛ mbrɛ hɔn edwuma nyinara tse wɔ ehyiadzibuw no mu; ntamadan no ne ntaabow, nye n’adaban, nye n’edum, nye ne ngyinado na kan hɔn;", ""
"NUM.4.32", "na pampan no n’edum a etwa ho ehyia no, nye ne ngyinado, nye no mbɔfondua, nye ne ntampehoma, ɔnye no ho ndzɛmba nyinara, na ɔnye n’edwuma nyinara: na hom mfa hɔn adzesoa ahwɛdodze ndzɛmba no mbɔ dzin nhyɛ hɔn nsa.", ""
"NUM.4.33", "Iyi nye Merari mbabanyin ebusua ebusua edwuma, dɛ mbrɛ hɔn edwuma nyinara tse, wɔ ehyiadzibuw no mu, wɔ ɔsɔfo Aaron ne babanyin Itamar nsamu.", ""
"NUM.4.34", "Na Moses nye Aaron nye mboanofo no mu mbapɔmba no kaan Kohatfo mbabanyin no dɛ mbrɛ hɔn ebusua ebusua, nye hɔn egyanom efi tsetsee,", ""
"NUM.4.35", "ofi hɔn a woedzi mfe eduasa nye ekyir do kodu hɔn a woedzi mfe eduonum do, dɛ ɔkɛyɛ edwuma wɔ ehyiadzibuw no mu no:", ""
"NUM.4.36", "na hɔn a wɔkaan hɔn wɔ mu dɛ mbrɛ hɔn ebusua ebusua tsetsee no wɔyɛ mpemebien ahaesuon eduonum.", ""
"NUM.4.37", "Iyinom nye hɔn a wɔkaan hɔn wɔ Kohatfo ebusua ebusua mu, hɔn a wɔsoom wɔ ehyiadzibuw no mu nyinara a Moses nye Aaron nam EWURADZE mbrasɛm a ɔwɔ Moses nsamu no do kanee no.", ""
"NUM.4.38", "Na hɔn a wɔkaan hɔn wɔ Gerson mbabanyin mu, dɛ mbrɛ hɔn ebusua ebusua, nye hɔn egyanom efi tsetsee,", ""
"NUM.4.39", "ofi hɔn a woedzi mfe eduasa nye ekyir do kodu hɔn a woedzi mfe eduonum do, obiara a ɔhɛn ɔsom no mu, dɛ ɔkɛyɛ edwuma wɔ ehyiadzibuw no mu no,", ""
"NUM.4.40", "dɛ mbrɛ hɔn ebusua, nye hɔn egyanom efi tsetsee no, wɔyɛ mpemebien nye ahaesia eduasa.", ""
"NUM.4.41", "Iyinom nye hɔn a wɔkaan hɔn wɔ Gerson ne mbabanyin ebusua ebusua mu, hɔn a wɔsomee wɔ ehyiadzibuw no mu nyinara a Moses nye Aaron nam EWURADZE mbrasɛm do kanee no.", ""
"NUM.4.42", "Na hɔn a wɔkaan hɔn wɔ Merari mbabanyin ebusua ebusua mu, dɛ mbrɛ ebusua ebusua nye hɔn egyanom efi tsetsee,", ""
"NUM.4.43", "ofi hɔn a woedzi mfe eduasa nye ekyir kodu hɔn a woedzi mfe eduonum do, obiara a ɔhɛn ɔsom no mu, dɛ ɔkɛyɛ edwuma wɔ ehyiadzibuw no mu no,", ""
"NUM.4.44", "dɛ mbrɛ hɔn ebusua ebusua tse a wɔkaan hɔn no, wɔyɛ mpemebiasa nye ahaenu.", ""
"NUM.4.45", "Iyinom nye hɔn a wɔkaan hɔn wɔ Merari ne mbabanyin ebusua ebusua a Moses nye Aaron nam EWURADZE mbrasɛm a ɔwɔ Moses nsamu no do kanee no.", ""
"NUM.4.46", "Hɔn a wɔkaan hɔn wɔ Levifo mu nyinara a Moses nye Aaron nye Israel mbapɔmba no kanee, dɛ mbrɛ hɔn ebusua ebusua, nye hɔn egyanom efi tsetsee,", ""
"NUM.4.47", "ofi hɔn a woedzi mfe eduasa nye ekyir do kodu hɔn a woedzi mfe eduonum do, obiara a ɔhɛn mu dɛ ɔkɛyɛ ɔsom edwuma, nye ndzesoa soa mu edwuma wɔ ehyiadzibuw no mu", ""
"NUM.4.48", "a wɔkaan hɔn no, wɔyɛ mpemawɔtwe ahaenum eduawɔtwe.", ""
"NUM.4.49", "Dɛ mbrɛ EWURADZE mbrasɛm tse na wɔnam Moses nsa do kaan hɔn, obiara dɛ mbrɛ no som tse, nye mbrɛ n’adzesoa tse no ara: dɛm na kaan hɔn, dɛ mbrɛ EWURADZE hyɛɛ no no.", ""
