"NUM.22.1", "Na Israelmba no tui, na wɔkɛkyeer nsera wɔ Moab tɛtɛr mu wɔ Jeriko Jordan egya.", ""
"NUM.22.17", "na mebɛhyɛ wo enyimnyam kɛsenara, na biribiara a ebɛse me no mebɛyɛ: dɛm ntsi bra, meserɛ wo, bɛpaa ɔman yi ma me.", ""
"NUM.22.18", "Na Balaam buae na ɔsee Balak no nkowaa no dɛ, Sɛ Balak dze dwetɛ nye sika ne fi ma mpo bɛma me a, murunntum mummbu EWURADZE me Nyankopɔn n’asɛm do, mennkɛyɛ biribi, dɛ osuar anaa ɔyɛ kɛse.", "#1 Ahe 13.8"
"NUM.22.19", "Afei dɛm ntsi, mɛserɛ hom, hom so ntsintsim ha anadwe yi, ma munhu dza EWURADZE bɛka akyerɛ me bio.", ""
"NUM.22.20", "Na Nyankopɔn baa Balaam nkyɛn anadwe, na ɔsee no dɛ, Sɛ mbanyin no ba behyia wo a, Soɛr, nye hɔn nkɔ; mbom dza meka mekyerɛ wo no nko na yɛ.", ""
"NUM.22.21", "Na Balaam soɛɛr anapa no, na ɔhyehyɛɛ n’asoasopɔnkɔ, na ɔnye Moab mbapɔmba no kɔree.", ""
"NUM.22.22", "Na Nyankopɔn n’ebufuw dzɛwee dɛ ɔkɔree: na EWURADZE bɔfoe begyinaa ɔkwan no do dɛ ɔyɛfo bi a otsia no. Na ɔnodze ɔtse n’asoaso do reba, na no nkowaa beenu ka no ho.", ""
"NUM.22.23", "Na asoaso no hun EWURADZE no bɔfoe no dɛ ogyina ɔkwan no mu, ɔatwe ne nkrantsee kitsa ne nsamu: na asoaso no danee fii ɔkwan no mu faa nkyɛn, na ɔkɔr haban mu: na Balaam bɔɔ asoaso no dɛ ɔdze redan no aba ɔkwan mu.", ""
"NUM.22.24", "Nna EWURADZE no bɔfoe no kegyinaa wenyin nture ntamu ɔkwan tokur bi mu, ban wɔ afa ha, na ban wɔ afa ha.", ""
"NUM.22.25", "Na asoaso no hun EWURADZE no bɔfoe no, na ɔdze noho miaa ɔfadum no ho, na ɔdze Balaam n’anan miaa ɔfadum no: na ɔbɔɔ no bio.", ""
"NUM.22.26", "Na EWURADZE no bɔfoe no kɔr kan, na okegyinaa beebi a ɔmoa, mbrɛ ɔkwan bi nnyi a wɔdan fa enyimfa anaa abankum.", ""
"NUM.22.27", "Na asoaso no hun EWURADZE no bɔfoe no, na obutuuw famu wɔ Balaam n’ase: na Balaam n’ebufuw dzɛwee, na ɔdze n’abaa bɔɔ asoaso no.", ""
"NUM.22.28", "Na EWURADZE buee asoaso no ano, na ɔsee Balaam dɛ, Ebɛnadze na mayɛ wo, na abɔ me mpɛn ebiasa yi?", ""
"NUM.22.29", "Na Balaam see asoaso no dɛ, Osiandɛ esi me atwetwe: kɛtseankyɛ nkrantsee kitsa me nsamu, nkyɛ sisei meku wo.", ""
"NUM.22.30", "Na asoaso no see Balaam dɛ, Ana nnyɛ w’asoaso nye me a atsena mo do wo nkwa tsentsen nyinara dze ebodu ndɛ da yi? Ana menya wo dɛm nyɛe pɛn? Na ɔsee dɛ, Oho.", ""
"NUM.22.31", "Nna EWURADZE buee Balaam n’enyiwa, na ohun EWURADZE no bɔfoe no dɛ ogyina ɔkwan no mu, wɔatwe ne nkrantsee kitsa ne nsamu: na ɔbɔɔ ne tsir adze, na ɔdze n’enyim butuuw famu.", ""
"NUM.22.32", "Na EWURADZE no bɔfoe no see no dɛ, Ɔyɛ dɛn ntsi na abɔ w’asoaso mpɛn ebiasa yi? Hwɛ, emi na mefir edzi abɛyɛ wo ɔyɛfo osiandɛ wo kwan no akyea wɔ m’enyim:", ""
"NUM.22.33", "na asoaso no hun me, na ɔdanee fii m’enyim mpɛn ebiasa yi: sɛ wɔanndan emmfi m’enyim dze a, nkyɛ wo so sisei meku wo, na magye no nkwa.", ""
"NUM.22.34", "Na Balaam see EWURADZE no bɔfoe no dɛ, Mayɛ bɔn; na minnyim dɛ ɔwo na igyinaa ɔkwan no mu tsiaa me: dɛm ntsi afei, sɛ emmpɛ a, mebɛsan m’ekyir bio.", ""
"NUM.22.35", "Na EWURADZE no bɔfoe no see Balaam dɛ, Nye mbanyin no nkɔ: na mbom asɛm a mebɛka makyerɛ wo no nko na ka. Nna Balaam nye Balak mbapɔmba no kɔree.", ""
"NUM.22.36", "Na aber a Balak tsee dɛ Balaam reba no, ofiir edzi kehyiaa no wɔ Moab Kurow a ɔda Arnon ntoaado a ɔwɔ ntoaado ano no.", ""
"NUM.22.37", "Na Balak see Balaam dɛ, Ana nnyɛ enyiberdo ara na mosomaa dɛ wombehyia wo ma bra? Ɔyɛ dɛn ntsi na ammba me nkyɛn? Egye dzi dɛ murunntum mennhyɛ wo enyimnyam a?", ""
"NUM.22.38", "Na Balaam see Balak dɛ, Hwɛ, maba wo nkyɛn: ana afei mowɔ tum biara a medze meka asɛm bi? Asɛm a Nyankopɔn dze bɛhyɛ m’anomu no, ɔno na mebɛka.", ""
"NUM.22.39", "Na Balaam nye Balak kɔree, na wɔbaa Kiriat-huzoth.", ""
"NUM.22.40", "Na Balak dze anantwi nye nguan bɔɔ okum afɔr, na ɔdze kɛmaa Balaam nye mbapɔmba a wɔnye no wɔ hɔ no.", ""
"NUM.22.41", "Na ɔbaa dɛ anapa no, Balak faa Balaam, na ɔdze no fowee kɔr Baal ne mbea sorɔnsorɔm no do, na ofi hɔ hun ɔman no ano.", ""
