"NUM.31.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.31.32", "Afei afonam a ɔbor asadze a mbanyin asayɛfo no fae no do no, ɔyɛ nguan mpemahaesia eduosuon enum,", ""
"NUM.31.33", "nye anantwi mpemeduosuon ebien,", ""
"NUM.31.34", "nye nsoasopɔnkɔ mpemeduosia biako,", ""
"NUM.31.35", "nye nyimpa, mbaa a wonnhun ɔbanyin dɛ wɔnye no ada, nyinara wɔyɛ mpemeduasa ebien.", ""
"NUM.31.36", "Na ɔfa no a ɔyɛ hɔn a wotui kɔr ɔsa no hɔn kyɛfa no, no dodow yɛ nguan mpemahaebiasa eduasa esuon nye ahaenum:", ""
"NUM.31.37", "na nguan no mu ɔtow a woyiyii maa EWURADZE no yɛ ahaesia eduosuon enum.", ""
"NUM.31.38", "Na anantwi no yɛ mpemeduasa esia; hɔn mu ɔtow a woyiyii maa EWURADZE yɛ eduosuon ebien.", ""
"NUM.31.39", "Na nsoasopɔnkɔ no yɛ mpemeduasa nye ahaenum; hɔn mu ɔtow a woyiyii maa EWURADZE yɛ eduosia biako.", ""
"NUM.31.40", "Na nyimpa no yɛ mpemduesia; hɔn mu ɔtow a woyiyii maa EWURADZE yɛ nyimpa eduasa ebien.", ""
"NUM.31.41", "Na Moses dze ɔtow a ɔyɛ EWURADZE ɔmado afɔr no maa ɔsɔfo Eleazar, dɛ mbrɛ EWURADZE hyɛɛ Moses no.", ""
"NUM.31.42", "Na Israelmba hɔn ɔfa no a Moses gyee no wɔ akofo no hɔ no mu dze,", ""
"NUM.31.43", "(afei mboanofo no hɔn ɔfa no yɛ nguan mpemahaebiasa eduasa, esuon nye ahaenum,", ""
"NUM.31.44", "nye anantwi mpemeduasa esia,", ""
"NUM.31.45", "nye nsoasopɔnkɔ mpemeduasa nye ahaenum,", ""
"NUM.31.46", "nye nyimpa mpemduesia;)", ""
"NUM.31.47", "nye Israelmba hɔn ɔfa no mu dze, Moses faa eduonum eduonum mu nkorkor, nyimpa nye mbowa nyina, na ɔdze maa Levifo no a wɔhwɛ EWURADZE ntamadan ahwɛdodze do no; dɛ mbrɛ EWURADZE hyɛɛ Moses no.", ""
"NUM.31.48", "Na asafohemfo a wɔhwɛ dɔm mpempem do no, nye apem apem do asafohemfo, nye ɔha ɔha do asafohemfo no, baa Moses nkyɛn:", ""
"NUM.31.49", "na wɔbɛsee no dɛ, Wo nkowaa yeebu akofo a wɔwɔ hɛn nsamu no ano, na hɛn mu nyimpa kor mpo annyew.", ""
"NUM.31.50", "Na yɛdze EWURADZE n'ayɛyɛdze aba, dza nyimpa biara enya no a, sika ndwindze, ananadze ntweaban, nye nsakɔnadze, nsɔwanonkaba, nsowamuadze, nye nkɔnmuadze, dɛ wɔmfa mpata mma hɛn akra wɔ EWURADZE enyim.", ""
"NUM.31.51", "Na Moses nye ɔsɔfo Eleazar gyee hɔn hɔ sika no, mekyerɛ edwindze no nyinara.", ""
"NUM.31.52", "Na ɔmado afɔr sika nyinara a wɔdze brɛ EWURADZE a ofi apem apem do asafohemfo, nye ɔha ɔha do asafohemfo hɔ no, ɔyɛ dwetɛbona mpemduesia ahaesuon eduonum.", ""
"NUM.31.53", "Na akofo no hɔn afom asadze dze, hɔnankasa na wɔfefae.", ""
"NUM.31.54", "Na Moses nye ɔsɔfo Eleazar gyee sika no wɔ apem apem nye ɔha ɔha do asafohemfo no hɔ, na wɔdze baa ehyiadzibuw no mu, dɛ ɔnyɛ Israelmba no nkaadze wɔ EWURADZE enyim.", ""
