"NUM.2.1", "Na EWURADZE kasaa kyerɛɛ Moses na Aaron dɛ,", ""
"NUM.2.24", "Hɔn a wɔkaan hɔn wɔ Efraim nseraban do nyinara yɛ mpem ɔha nye awɔtwe na ɔha, dɛ mbrɛ hɔn dɔm no tse. Na hɔn na wɔntɔ do ebiasa ntu.", ""
"NUM.2.25", "Dan ne nseraban do frankaa ndzi kwaamu afamu dɛ mbrɛ hɔn dɔm no tse: na Ammisaddai ne babanyin Ahiezer na ɔnyɛ Danmba no hɔn safohen panyin.", ""
"NUM.2.26", "Na no dɔm a wɔkaan hɔn wɔ mu no yɛ mpemeduosia ebien na ahaesuon.", ""
"NUM.2.27", "Na hɔn a wɔnkyer nsera ntoa no do nye Aser ebusuakuw: na Okran ne babanyin Pagiel na ɔnyɛ Asermba no hɔn safohen panyin.", ""
"NUM.2.28", "No dɔm na hɔn a wɔkaan hɔn wɔ mu no, wɔyɛ mpemeduanan biako na ahaenum.", ""
"NUM.2.29", "Naftali ebusuakuw no, Enan ne babanyin Ahira na ɔnyɛ Naftalimba no hɔn safohen panyin:", ""
"NUM.2.30", "na no dɔm a wɔkaan hɔn wɔ mu no, yɛ mpemeduonum ebiasa na ahaanan.", ""
"NUM.2.31", "Hɔn a wɔkaan hɔn wɔ Dan ne nseraban do nyinara yɛ mpem ɔha na eduonum esuon na ahaesia. Hɔn na wondzi ekyir ntu dɛ mbrɛ hɔn mfrankaa no tse.", ""
"NUM.2.32", "Iyinom nye Israelmba mu hɔn a wɔkaan hɔn dɛ mbrɛ hɔn egyanom efi tsetsee: hɔn a wɔkaan hɔn wɔ nseraban nseraban do dɛ mbrɛ hɔn dɔm no tse nyinara yɛ mpemahaesia nye ebiasa na ahaenum eduonum.", ""
"NUM.2.33", "Levifo no dze, wɔannkan hɔn ammfora Israelmba no; dɛ mbrɛ EWURADZE hyɛɛ Moses no.", ""
"NUM.2.34", "Na Israelmba no yɛɛ dɛ mbrɛ EWURADZE hyɛɛ Moses no nyinara, na wɔkyeer nsera dɛ mbrɛ hɔn mfrankaa no tse, na dɛmara so na wotui, obiara dɛ mbrɛ hɔn ebusua na hɔn egyanom efi tsetsee.", ""
