"1SA.23.1", "Na wɔkaa kyerɛɛ David dɛ, Hwɛ, Filistiafo nye Keila roko, na wɔrofow ewuporowee no.", ""
"1SA.23.19", "Nna Ziffo no baa Saul hɔ wɔ Gibea, dɛ, Ana nnyɛ David na oesuma noho wɔ hɛn nkyɛn wɔ akoban no mu wɔ Hores kwaa no mu, wɔ Hakila koko a ɔwɔ sar no no pomu afamu no, no do no?", ""
"1SA.23.20", "Dɛm ntsi afei, ɔhen, sian bra, dɛ mbrɛ wo kra no hwehwɛ a ɔrohwehwɛ dɛ osian ba no tse no ara; na hɛn afamudze nye dɛ yebeyi no ahyɛ ɔhen ne nsa.", ""
"1SA.23.21", "Na Saul see dɛ, EWURADZE nhyira hom; osiandɛ hom ehu me mbɔbɔr.", ""
"1SA.23.22", "Meserɛ hom, hom nkɔ, wonkesi no pi ara yie, na wɔnhwɛ wonhu ne tsenabew mbrɛ n’adae wɔ, na nyia oehu no hɔ: na wɔaka akyerɛ me dɛ ɔyɛ n’adze ndaadaa mu dɛ biribi.", ""
"1SA.23.23", "Dɛm ntsi hom nhwɛ, na wɔnhyɛ sumabew a osumasuma noho wɔ hɔ nyinara nsew, na wonsi no pi mbra me nkyɛn bio, na menye hom nkɔ: na ɔbɛba dɛ, sɛ ɔwɔ asaase no do a, ɔno mobɔhwehwɛ no meyi no epue wɔ Juda mpempem nyinara mu.", ""
"1SA.23.24", "Na wɔsoɛree, na wodzii Saul n’enyim kan kɔr Zif: na David na ne mbarimba no dze nna wɔwɔ Maon sar no do, wɔ Araba wɔ Jesimon no pomu afamu.", ""
"1SA.23.25", "Na Saul na ne mbarimba no sii mu kɔr dɛ wɔrokɔhwehwɛ no. Na wɔkaa kyerɛɛ David: dɛm ntsi osianee baa ɔbotan no ho, na ɔkɛtsenaa Maon sar no do. Na Saul tsee no, otsiiw David wɔ Maon sar no do.", ""
"1SA.23.26", "Na ber a Saul nam bepɔw no n’afa ha, nna David na ne mbarimba no so wɔnam bepɔw no n’afa noho: na David yɛɛ ntsɛm fii hɔ, wɔ Saul no ho hu ntsi; osiandɛ Saul na ne mbarimba no bɔɔ David na ne mbarimba no hɔn ho aprɔw dɛ wɔrekyer hɔn.", ""
"1SA.23.27", "Na ɔbɔfo bi baa Saul hɔ dɛ, Ka woho bra: na Filistiafo abɛta ahyɛ asaase no do.", ""
"1SA.23.28", "Nna Saul gyaa David tsiw na ɔsanee, na osii mu kɔr Filistiafo no hɔn do: dɛm ntsi wɔfrɛɛ bea no Sela-hammah-lekot (asekyerɛ nye mpaapaamu botan).", ""
"1SA.23.29", "Na David fii hɔ sii mu kɔree, na ɔkɛtsenaa En-gedi akoban no mu.", ""
