"ACT.4.1", "Na wɔrekasa kyerɛ nkorɔfo no, asɔfo nye asɔrfi safohen, nye Sadusiifo no baa hɔn do,", ""
"ACT.4.18", "Na wɔfrɛɛ hɔn hyɛɛ hɔn dɛ mma wɔnnkasa, eso mma wɔnnkyerɛkyerɛ wɔ Jesus dzin mu koraa.", ""
"ACT.4.19", "Na Peter nye John buae see hɔn dɛ, Sɛ ɔtsen wɔ Nyankopɔn enyim dɛ yetsie hom kyɛn Nyankopɔn a, hom mbua atsɛn:", ""
"ACT.4.20", "na hɛn dze, yerunntum gyedɛ yɛka dza yeehu na yɛatse.", ""
"ACT.4.21", "Na hɔn dze, wopupuuw hɔn bio no, wɔmaa wɔkɔree, na woennhu mbrɛ wɔbɛyɛ atsea hɔn wɔ ɔman no ntsi, osiandɛ hɔn nyina hyɛɛ Nyankopɔn enyimnyam wɔ dza esi no ho.", ""
"ACT.4.22", "Nna nyimpa no a wɔyɛɛ dɛm ayarsa asɛnkyerɛdze yi wɔ no do no, edzi bɔbor mfe eduanan.", ""
"ACT.4.23", "Na wogyaa hɔn no, wɔbaa hɔn mfɛfo nkyɛn, na wɔbɛkaa dza asɔfompanyin nye mpanyimfo no see hɔn nyina kyerɛɛ hɔn.", ""
"ACT.4.24", "Na wɔtsee no, wɔyɛɛ anokor maa hɔn ndze do maa Nyankopɔn see dɛ, Yewura, ɔwo a eyɛɛ ɔsor nye asaase nye po nye no mu dza ɔwɔ mu nyina", "#Eks 20.11; Neh 9.6; Dwom 146.6"
"ACT.4.25", "a enam Sunsum Krɔnkrɔn do kae wɔ w’akowaa David anomu dɛ, Ebɛnadze ntsi na amanaman reyɛ gyigyeegye, Na amanamamfo rususu adze gyangyan yi?", "#Dwom 2.1, 2"
"ACT.4.26", "Asaase do ahemfo baa mpasuar, Etsitsir boaa ano tsiaa Ewuradze nye ne Kraest no:", ""
"ACT.4.27", "ampaara w’Akowaa Krɔnkrɔn Jesus a asera no no, na Herod nye Pontius Pilate nye amanamamfo nye Israelmba hyiae tsiaa no, wɔ kurow yi mu,", "#Luk 23.7-11; Mat 27.1, 2; Mar 15.1; Luk 23.1; Joh 18.28, 29"
"ACT.4.28", "dɛ wɔrebɛyɛ dza wo nsa nye w’apam hyɛe too hɔ dɛ onsi no nyina.", ""
"ACT.4.29", "Na afei, Ewuradze, hwɛ hɔn empuw, na ma wo nkowaa mfa ndamyɛ nyina nka w’asɛm,", ""
"ACT.4.30", "dɛ ebɛtsen wo nsa asa yarba, ma wɔnam w’Akowaa Krɔnkrɔn Jesus ne dzin do aayɛ nsɛnkyerɛdze nye anwanwadze.", ""
"ACT.4.31", "Na wowiee nkotoserɛ mpaabɔ no, beebi mbrɛ woehyia hɔ no wosowee, na Sunsum Krɔnkrɔn hyɛɛ hɔn nyina ma, na wɔdze ndam kaa Nyankopɔn asɛm no.", ""
"ACT.4.32", "Na nyimpadodow a wɔgyee dzii no, yɛɛ akoma kor, nye ɔkra kor; na hɔn mu biara annse dɛ ndzɛmba a ɔwɔ yɛ nankasa nedze, na ne nyina yɛɛ hɔn kwasafodze.", "#Ndwu 2.44, 45"
"ACT.4.33", "Na ahoɔdzen kɛse na asomafo no dze gyee Jesus no wunyan ho dase, na adom kɛse baa hɔn nyina do.", ""
"ACT.4.34", "Eso obiara nnyi hɔn mu a ohiaa no, na hɔn a wɔwɔ nsaase nye adan tontɔnee, na wɔdze dza wɔtɔnee ne tsibo bae,", ""
"ACT.4.35", "na wɔdze boguu asomafo no ananadze, na wɔkyɛe maa obiara dɛ mbrɛ ohia no.", ""
"ACT.4.36", "Na Josef a asomafo no too no Barnabas (ne nkyerɛase nye dɛ Awerɛkyekyer Ba no) a ɔyɛ Levinyi a ofi Siprusman mu no,", ""
"ACT.4.37", "ɔwɔ asaase, na ɔtɔnee, na ɔdze ne sika bae boguu asomafo no ananadze.", ""
