"ACT.7.1", "Na ɔsɔfopanyin no bisaa no dɛ, Ana asɛm yi tse dɛm a?", ""
"ACT.7.17", "Na anohoba a Nyankopɔn kaa ho ntam kyerɛɛ Abraham n’aber rudu no, ɔman no dɔree na wɔyɛɛ pii wɔ Egypt,", "#Eks 1.7, 8"
"ACT.7.18", "dze kodur dɛ Egypthen bi soɛree a onnyim Josef.", ""
"ACT.7.19", "Ɔno na ɔnye hɛn ebusua dzii no yayaayaw, na ɔyɛɛ hɛn egyanom bɔn, na ɔmaa wɔtotoow hɔn nkɔkowaba gui ma wowuwui.", "#Eks 1.10, 11; Eks 1.22"
"ACT.7.20", "Na aber no ara mu na wɔwoo Moses, na no ho yɛɛ fɛw wɔ Nyankopɔn enyim; na wɔhwɛɛ no abosoom ebiasa wɔ n’egya fie,", "#Eks 2.2"
"ACT.7.21", "na wɔtoow no kyenee no, Farao babaa kɛfaa no, na ɔtsetsee no dze no yɛɛ ne ba.", "#Eks 2.3-10"
"ACT.7.22", "Na wɔdze Egyptfo nyansaa nyina tsetsee Moses, na ɔyɛɛ otumfo wɔ ne nsɛm nye ne ndzeyɛɛ nyina mu.", ""
"ACT.7.23", "Na odzii mfe eduanan no, ɔbaa n’akoma mu dɛ ɔbɔkɔ akɔhwɛ no nuanom Israelmba no.", "#Eks 2.11-15"
"ACT.7.24", "Na ohun obi a wɔreyɛ no bɔn no, ɔgyee ne tsir, na ɔtɔɔ nyia wɔrehyɛ no do no no wer kum Egyptnyi no;", ""
"ACT.7.25", "na osusuu dɛ no nuanom tse ase dɛ Nyankopɔn nam ne nsa do rebɛgye hɔn: naaso wɔanntse ase.", ""
"ACT.7.26", "Na adze kyee no, okopuee no nuanom do dɛ wɔroko, na ɔpɛɛ dɛ ɔka hɔn bɔ mu dɛ, Mbarimba, hom yɛ enuanom: ɔyɛ dɛn na hom reyɛ homho bɔn yi?", ""
"ACT.7.27", "Na nyia ɔreyɛ ne nyɛnko bɔn no suun no dɛ, Woana yɛɛ wo ɔpanyin nye ɔtsɛmbuafo wɔ hɛn do?", ""
"ACT.7.28", "Epɛ dɛ iku me dɛ mbrɛ ikum Egyptnyi no ndeda no?", ""
"ACT.7.29", "Na asɛm yi ntsi Moses guanee, na ɔkɛyɛɛ hɔho wɔ Midian asaase do, na ɔwoo mbabanyin beenu wɔ hɔ.", "#Eks 18.3, 4"
"ACT.7.30", "Na mfe eduanan twaa mu no, Ewuradze bɔfoe yii noho kyerɛɛ no wɔ Sinai kokwaa ho sar no do, wɔ gyaframee a ofi haban bi mu.", "#Eks 3.1-10"
"ACT.7.31", "Na Moses hunii no, ɔyɛɛ no nwanwa wɔ n’enyi do, na ɔtwee pinii dɛ ɔrokɔhwɛ no, Ewuradze ndze baa dɛ,", ""
"ACT.7.32", "Emi nye w’egyanom Nyankopɔn, Abraham nye Isaak nye Jakob hɔn Nyankopɔn. Na Moses ho popoe na oenntum annhwɛ.", ""
"ACT.7.33", "Na Ewuradze see no dɛ, San w’anan mpaboa: na bea a igyina do yi yɛ asaase krɔnkrɔn.", ""
"ACT.7.34", "Ampaara mehu me man a ɔwɔ Egypt hɔn amandzehu, na matse hɔn apempen, na mesian dɛ merebɛgye hɔn: na afei bra ma monsoma wo wɔ Egypt.", ""
"ACT.7.35", "Moses yi ara a wɔpoow no dɛ, Woana na ɔyɛɛ wo ɔpanyin nye ɔtsɛmbuafo wɔ hɛn do no, ɔnoara na Nyankopɔn nam bɔfo a oyii noho kyerɛɛ no haban mu no ne nsa do somaa no dɛ ɔpanyin nye ɔgyefo.", "#Eks 2.14"
"ACT.7.36", "Oyi na ɔdze hɔn fii Egypt puei, yɛɛ anwanwadze nye asɛnkyerɛdze wɔ Egypt, nye Po Memen mu, nye sar no do mfe eduanan.", "#Eks 7.3; Eks 14.21; Nka 14.33"
"ACT.7.37", "Oyi nye Moses a ɔkaa kyerɛɛ Israelmba no dɛ, Nkɔnhyɛnyi bi na Nyankopɔn bɛma ɔasoɛr ama hom wɔ hom enuanom mu, dɛ mbrɛ ɔmaa me so.", "#Deut 18.15, 18"
"ACT.7.38", "Oyi na ɔwɔ dɔm a wɔaboa ano wɔ sar no do no mu a ɔnye ɔbɔfo a ɔkasaa kyerɛɛ no wɔ Sinai kokwaa do no nye hɛn egyanom wɔ hɔ, na onyaa nkwasɛm a nkwa wɔ mu dɛ ɔmfa mma hɛn no;", "#Eks 19.1—20.17; Deut 5.1-33"
"ACT.7.39", "na hɛn egyanom ammpɛ dɛ wotsie no, na wosuun no, na wɔdze hɔn akoma sanee kɔr Egypt,", ""
"ACT.7.40", "na wɔsee Aaron dɛ, Yɛ enyame a wobedzi hɛn enyim ma hɛn, na Moses yi a ɔdze hɛn fii Egypt bae no dze, yennyim dza ayɛ no.", "#Eks 32.1"
"ACT.7.41", "Na wɔyɛɛ nantwiba wɔ nda no mu, na wɔbɔɔ afɔr maa honyi no, na wodzii ehurusi wɔ hɔn nsaano edwuma ho.", "#Eks 32.2-6"
"ACT.7.42", "Na Nyankopɔn daan n’enyi, na ɔdze hɔn maa dɛ wɔnsom wimu ndzɛmba, dɛ mbrɛ wɔakyerɛw wɔ nkɔnhyɛfo nwoma no mu dɛ, Israel fifo, aso hom bɔɔ okum afɔr na afɔr horow maa me Mfe eduanan wɔ sar no do?", "#Amos 5.25-27"
"ACT.7.43", "Mbom hom faa Molɔk ntamadan, Nye ɔbosom Refan nworaba, Ehonyi a hom yɛɛ dɛ hom bɔsom hɔn; Na mobɔsoa hom akɔ Babilɔn ekyir noho.", ""
"ACT.7.44", "Hɛn egyanom nyaa adasehyɛ ntamadan no wɔ sar no do, dɛ mbrɛ nyia ɔkasaa kyerɛɛ Moses no hyɛɛ dɛ ɔnyɛ no dɛ mbrɛ nsusudo a ohunii no tse no.", "#Eks 25.9, 40"
"ACT.7.45", "Ɔno na hɛn egyanom nsa nyae kae no, wɔnye Josua dze baa amanaman a Nyankopɔn paam hɔn fii hɛn egyanom enyim no asaase do. Na ɔtse dɛm dze besi David n’aber do.", "#Jos 3.14-17"
"ACT.7.46", "Ɔno na onyaa Nyankopɔn enyim adom, na ɔserɛɛ dɛ wɔmma ɔnhwehwɛ tsenabew mma Jakob Nyankopɔn.", "#2 Sam 7.1-16; 1 Mbe 17.1-14"
"ACT.7.47", "Na Solomon sii dan maa no.", "#1 Ahe 6.1-38; 2 Mbe 3.1-17"
"ACT.7.48", "Naaso nyia ɔwɔ sorsor no nntsena dza nsa ayɛ mu; dɛ mbrɛ nkɔnhyɛnyi no ka dɛ,", ""
"ACT.7.49", "Ɔsor nye m’ahengua, Na asaase nye m’ananadzegua: Ɔdan bɛn na hom besi ama me? Ewuradze na ɔse, Anaadɛ henfa nye m’ahomgyebea?", "#Isa 66.1, 2"
"ACT.7.50", "Ana nnyɛ me nsa na ɔyɛɛ yinom nyina?", ""
"ACT.7.51", "Hom a hom asen hom kɔn a wonntwaa hom twatsia wɔ akoma nye asomu, daa hom siw Sunsum Krɔnkrɔn no kwan: dɛ mbrɛ hom egyanom yɛe no, mbrɛ hom so yɛ nye no.", "#Isa 63.10"
"ACT.7.52", "Nkɔnhyɛfo no mu woana na hom egyanom ennhiahia no ho? Na wokum hɔn a wodzii kan kaa ɔtseneneenyi no ne mbae no; ɔno na hom ayɛ no ho yimafo nye ewudzifo;", ""
"ACT.7.53", "hom a hom gyee mbra no dɛ abɔfo ahyɛdze, naaso hom enndzi do!", ""
"ACT.7.54", "Na wɔtsee yinom no, hɔn akoma mu wowɔɔ hɔn, na wɔtwɛɛr hɔn se guu no do.", ""
"ACT.7.55", "Naaso ɔno dze, Sunsum Krɔnkrɔn ahyɛ no ma no, ɔhwɛɛ sor hann, na ohun Nyankopɔn n’enyimnyam, nye Jesus dɛ ogyina Nyankopɔn n’enyimfa,", ""
"ACT.7.56", "na ɔsee dɛ, Hwɛ, muhu dɛ ɔsor ebue, na nyimpa Ba no gyina Nyankopɔn enyimfa.", ""
"ACT.7.57", "Na wɔdze ndze kɛse tseatseaa mu, na wosisiiw hɔn asowa, wɔdze adwenkor kotui hyɛɛ no do;", ""
"ACT.7.58", "na woyii no edzi fii kurow no mu kesiiw no abo: na adasefo no dze hɔn ntar guu aberantsɛ bi a wɔfrɛ no Saul n’ananadze.", ""
"ACT.7.59", "Na worisiw Stefen abo no, ɔbɔɔ mpaa dɛ, Ewuradze Jesus, gye mo sunsum.", ""
"ACT.7.60", "Na obuu ntwɛr, na ɔdze ndze kɛse tseaa mu dɛ, Ewuradze, mma mmfa bɔn yi nnto hɔn do. Na ɔkaa yi no, ɔkaa n’enyi guu do.", ""
