"ACT.9.1", "Na Saul da ho ara retseetsee na ɔrehyɛ Ewuradze n'esuafo no amen no, ɔkɔr ɔsɔfopanyin ne nkyɛn,", ""
"ACT.9.13", "Na Ananias buaa dɛ, Ewuradze, matse ɔbarimba yi ho asɛm wɔ nyimpa pii anomu, bɔn dodow a ɔdze ayɛ w'ahotseweefo no wɔ Jerusalɛm;", ""
"ACT.9.14", "na ha yi so ɔwɔ tum wɔ asɔfompanyin no nsamu dɛ ɔnkyer hɔn a wɔbɔ wo dzin nyina.", ""
"ACT.9.15", "Na Ewuradze see no dɛ, Kɔ ara, na oyi nye nyia meyi no dɛ ɔnsoa me dzin nkɔ amanaman nye ahemfo, nye Israelmba enyim;", ""
"ACT.9.16", "na mebɛkyerɛ no amandze pii a otwar dɛ ohu wɔ me dzin ntsi.", ""
"ACT.9.17", "Na Ananias kɔree, na ɔkɛhɛɛn ofi no mu, na ɔdze ne nsa too no do see no dɛ, Onua Saul, Ewuradze Jesus a oyii noho kyerɛɛ wo wɔ ɔkwan a enam do reba no mu no, ɔasoma me dɛ hu adze, na Sunsum Krɔnkrɔn nhyɛ wo ma.", ""
"ACT.9.18", "Na ntsɛmara na biribi tse dɛ abon fii n'enyiwa do gui, na ohun adze; na ɔsoɛree ma wonumaa no;", ""
"ACT.9.19", "na ɔgyee edziban dzii ma no ho yɛɛ no dzen. Na odzii esuafo a wɔwɔ Damaskɔs no nkyɛn nda kakra.", ""
"ACT.9.20", "Na ntsɛmara ɔkaa Jesus ho asɛm wɔ nhyiamudan no mu dɛ ɔno nye Nyankopɔn Ba.", ""
"ACT.9.21", "Na hɔn a wɔtsee nyina hɔn ho boow hɔn, na wɔsee dɛ, Ana nnyɛ oyi nye nyia ɔsɛɛ hɔn a wɔbɔ dzin yi wɔ Jerusalɛm no, ana nyɛ iyi ntsi na ɔbaa ha dɛ ɔrebɛfa hɔn nkyehoma mu akɛma asɔfompanyin no bi?", ""
"ACT.9.22", "Na mbom Saul n'ahoɔdzen yɛɛ dzen mbordo, na ne nkyerɛkyerɛ kofee dɛ Jesus nye Kraest no ara no, maa Jewfo a wɔwɔ Damaskɔs ho boow hɔn.", ""
"ACT.9.23", "Na nda pii durii no Jewfo no paam ne tsir do dɛ woboku no:", "#2 Kor 11.32, 33"
"ACT.9.24", "na Saul tsee hɔn apam no. Na wɔweɔɔn mbobow no ano ewia nye anadwe dɛ woboku no;", ""
"ACT.9.25", "na n'esuafo no faa no anadwe dze no too kɛntsɛn mu duaa fasu mu gyaagyaa no too famu.", ""
"ACT.9.26", "Na odur Jerusalɛm no, ɔhwehwɛɛ dɛ ɔdze noho kɔbɔ esuafo no ho; naaso hɔn nyina suroo no, na wɔanngye enndzi dɛ ɔyɛ osuanyi.", ""
"ACT.9.27", "Na Barnabas faa no dze no kɔr asomafo no nkyɛn, na ɔkyerɛɛ mu kyerɛɛ hɔn mbrɛ ohun Ewuradze wɔ kwan no mu, na ɔkasaa kyerɛɛ no, na mbrɛ ɔnam Jesus dzin mu kaa asɛm ndam do wɔ Damaskɔs.", ""
"ACT.9.28", "Na ɔnye hɔn dzii ndɔfir wɔ Jerusalɛm,", ""
"ACT.9.29", "na ɔdze ndam kaa asɛm wɔ Ewuradze ne dzin mu; na ɔnye Helenifo no kasae na wɔgyee ekyingye; na wɔhwehwɛɛ dɛ woku no.", ""
"ACT.9.30", "Na enuanom no tsee no, wɔdze no kɔr Kaesarea, na wɔsomaa no fii hɔ kɔr Tarsus.", ""
"ACT.9.31", "Nna asɔrasɔr a wɔwɔ Judea nye Galilii nye Samaria nyina nyaa asomdwee, na wonyaa ntowdo na wɔnam Ewuradze no suro nye Sunsum Krɔnkrɔn no n'awerɛkyekyer do dɔree.", ""
"ACT.9.32", "Na ɔbaa dɛ Peter rikyin hɔn nyina do no, ɔbaa ahotseweefo a wɔwɔ Lida no so nkyɛn.", ""
"ACT.9.33", "Na obohun nyimpa bi a ne dzin dze Aeneas a ɔyar mbubui a ɔada ne kɛtɛ do mfe awɔtwe wɔ hɔ.", ""
"ACT.9.34", "Na Peter see no dɛ, Aeneas, Jesus Kraest nsa wo yarba: soɛr, na sɛw wo kɛtɛ. Na ɔsoɛɛr ntsɛmara.", ""
"ACT.9.35", "Na hɔn a wɔwɔ Lida nye Saron nyina hun no, na wɔdanee baa Ewuradze hɔ.", ""
"ACT.9.36", "Nna osuanyi bi wɔ Jopa a ne dzin dze Tabita a ne nkyerɛase nye Dorkas : nna ndwuma pa nye adɔyɛ ahyɛ ɔbaa yi ma.", "#9.36 Edzin Tabita wɔ Aramaik kasa na Dorkas wɔ Griik kasa mu no ne nkyerɛase nye: Ɔwansan."
"ACT.9.37", "Na ɔbaa dɛ nda no mu ɔyaree na owui; na wowiee no eguar no wɔdze no kɔtoo aborɔsan bi mu.", ""
"ACT.9.38", "Ɔnam dɛ Lida bɛn Jopa ntsi, esuafo no tsee dɛ Peter wɔ hɔ no, wɔsomaa mbarimba beenu wɔ no hɔ kɛserɛɛ no dɛ, Mma nnyɛ ekyim dɛ ebɛba hɛn nkyɛn.", ""
"ACT.9.39", "Na Peter soɛree nye hɔn kɔree. Na odurii no, wɔdze no kɔr aborɔsan no mu, na ekunafo no nyina begyinaa ne nkyɛn sui na wɔdze ntar nye atam a Dorkas nye hɔn wɔ hɔ no ɔyɛe no kyerɛɛ no.", ""
"ACT.9.40", "Na Peter yii hɔn nyina edzi, na obuu ntwɛr bɔɔ mpaa; na ɔdaan noho baa fun no do see dɛ, Tabita, soɛr. Na ɔtseew n'enyiwa, na ohun Peter no, ɔsoɛree tsenaa famu.", ""
"ACT.9.41", "Na Peter tseen ne nsa maa no ma osuoo mu soɛree, na ɔfrɛɛ ahotseweefo no nye ekunafo no dze no enyikan kyerɛɛ hɔn.", ""
"ACT.9.42", "Na wɔtsee no wɔ Jopa nyina, na dodowara gyee Ewuradze dzii.", ""
"ACT.9.43", "Na afei ɔtsenaa Jopa nda pii wɔ Simon nwomahyɛfo bi nkyɛn.", ""
