"COL.1.1", "Paul a ɔnam Nyankopɔn pɛ do yɛ Kraest Jesus somafo, nye hɛn nua Timoti,", ""
"COL.1.12", "ama hom aada Egya no ase, ɔno a ɔama yɛafata dɛ yɛnye ahotseweefo a wɔwɔ kan mu no nya kyɛfa wɔ hɔn egyapadze mu no.", ""
"COL.1.13", "Ɔno na oyii hɛn fii sum no tum no ase, na oebetsintsim hɛn wɔ no Dɔba no n'ahenman mu;", ""
"COL.1.14", "no mu na yeenya ɔpon nye bɔnfakyɛ.", "#Efe 1.7"
"COL.1.15", "Ɔnoara na ɔyɛ Nyankopɔn a wonntum nnhu no no ne saso, nye abɔdze nyina farbae;", ""
"COL.1.16", "osiandɛ no mu na wɔbɔɔ adze nyina, dza ɔwɔ sor nye dza ɔwɔ asaase do, dza wohu nye dza wonnhu, ahendzi o, wuradzi o, mpanyindzi o, tumdzi o, adze nyina wɔnam no do bɔe, na wɔbɔe maa no:", ""
"COL.1.17", "na ɔnoara na ɔyɛ adze nyina mu kandzifo, na no mu na adze nyina abɔ mu etsim.", ""
"COL.1.18", "Na ɔno nye nyimpadua a ɔyɛ asɔr no ne tsir: ɔno nye ahyɛse, ewufonyan mu farbae: ma adze nyina mu ɔaayɛ ɔkandzifo,", "#Efe 1.22, 23"
"COL.1.19", "osiandɛ ɔsɔɔ Nyankopɔn enyi dɛ n'amayɛ nyina ntsena no mu;", ""
"COL.1.20", "na ɔnam no do aka ɔnoara ankasa nye ndzɛmba nyina abɔ mu koraa, ɔno nye dɛ, ɔnam ne mbeamudua bɔgyaa no do ayɛ asomdwee, mese, ɔnam no do aka ndzɛmba nyina abɔ mu, dɛ ɔyɛ asaase dze o, ɔsor dze o.", "#Efe 2.16"
"COL.1.21", "Na hom so a nkyɛ mber a abɛsen no, nna hom yɛ etuatsewfo nye atamfo wɔ hom adwen mu, nye ndwuma bɔn mu no,", ""
"COL.1.22", "afei ɔnam owu do aka ɔno nye hom abɔ mu wɔ no honam nyimpadua no mu, dɛ ɔdze hom besi hɔ dɛ nyimpa krɔnkrɔn a wonndzii dzɛm na asɛm nnyi hom ho wɔ n'enyim;", ""
"COL.1.23", "sɛ hom bɛtsena gyedzi no mu, egyina hom fapem do, etsintsim, na wɔanntwe hom emmfi asɛmpa no ho enyidado a hom tsee na wɔkaa kyerɛɛ abɔdze nyina a wɔwɔ wiadze yi mu no, a emi Paul meyɛ ho ɔsomfo no mu dze a.", ""
"COL.1.24", "Afei midzi dɛw wɔ amandze a muruhu wɔ hom ntsi no mu, na mo so m'afamu mehyɛ Kraest amandzehu a aka no ma wɔ mo honam mu wɔ ne nyimpadua a ɔyɛ n'asɔr no ntsi;", ""
"COL.1.25", "ɔno ho na wɔayɛ me ɔsomfo, dɛ mbrɛ Nyankopɔn ofihwɛ edwuma no tse, dza ɔdze ama me wɔ hom afamu, dɛ mehyɛ Nyankopɔn asɛm no ma.", ""
"COL.1.26", "Nyew, esumasɛm a ofitsi mbersantsen nye mbasantsen nyina mu osumae no afei dze woebeyi akyerɛ n'ahotseweefo no a", ""
"COL.1.27", "Nyankopɔn pɛ dɛ ɔma wohu esumasɛm yi ho enyimnyam ahonya wɔ amanaman mu, a ɔno nye Kraest a ɔwɔ hom mu no ho enyimnyam enyidado no.", ""
"COL.1.28", "Ɔno na yɛbɔ no dawur, yetu nyimpa nyina fo na yɛkyerɛkyerɛ hɔn wɔ nyansa nyina mu, dɛ yɛdze obiara bopue dɛ wodzi mu wɔ Kraest mu.", ""
"COL.1.29", "Ɔno ho so na meyɛ edwuma berɛ, na meper, dɛ mbrɛ n'ahoɔdzen a ɔyɛ mo mu edwuma no tum no tse.", ""
